position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class,result_origin
P1,P1_x0_h42,0.0,42.0,0.0,-35.405,1.0,0.0,-33.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x0_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.1733379239610784e-05,1.8852417034665158e-06,155.05192088663497,13.449834203662018,8.674406693417078,moderate,original gamma scan
P1,P1_x4_h42,4.0,42.0,0.0,-39.405,1.0,0.0,-37.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x4_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.605624081306613e-05,1.6625932259436469e-06,114.54964977314192,11.861398565476199,10.354809978875467,high,original gamma scan
P1,P1_x57_h42,57.0,42.0,0.0,-92.405,1.0,0.0,-90.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x57_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.6132315878515344e-06,8.745513623974771e-07,25.77779056482703,6.2392905934577,24.204132537142314,high,original gamma scan
P1,P1_x114_h42,114.0,42.0,0.0,-149.405,1.0,0.0,-147.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x114_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.8643180716673723e-06,7.223794885219881e-07,13.30055924431888,5.153654480951532,38.74765253312814,very high,original gamma scan
P1,P1_x176_h42,176.0,42.0,0.0,-211.405,1.0,0.0,-209.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x176_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.2912497135900512e-06,6.023387034514064e-07,9.21213154333381,4.297250416736312,46.647731814532534,very high,original gamma scan
P1,P1_x199_h42,199.0,42.0,0.0,-234.405,1.0,0.0,-232.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x199_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.075113067086872e-07,3.075113067086872e-07,2.193870464131053,2.193870464131053,100.0,very high,original gamma scan
P1,P1_x320_h42,320.0,42.0,0.0,-355.405,1.0,0.0,-353.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x320_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,0.0,0.0,0.0,0.0,,unknown,original gamma scan
P1,P1_x420_h42,420.0,42.0,0.0,-455.405,1.0,0.0,-453.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x420_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.075656184956887e-07,3.075656184956887e-07,2.1942579393970263,2.1942579393970263,100.0,very high,original gamma scan
P1,P1_x0_h85,0.0,85.0,0.0,-35.405,44.0,0.0,-33.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x0_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.277823124472741e-06,5.396892021395959e-07,23.384894091841737,3.8502915975904335,16.464866517970165,high,original gamma scan
P1,P1_x4_h85,4.0,85.0,0.0,-39.405,44.0,0.0,-37.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x4_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.896396952616928e-06,4.618570066089911e-07,20.663694596326067,3.295015250971979,15.94591536190155,high,original gamma scan
