position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,detector_volume_cm3
P1,P1_x0_h42,0.0,42.0,0.0,-35.405,1.0,0.0,-33.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x0_h85,0.0,85.0,0.0,-35.405,44.0,0.0,-33.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x4_h42,4.0,42.0,0.0,-39.405,1.0,0.0,-37.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x4_h85,4.0,85.0,0.0,-39.405,44.0,0.0,-37.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x7_h85,7.0,85.0,0.0,-42.405,44.0,0.0,-40.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x57_h42,57.0,42.0,0.0,-92.405,1.0,0.0,-90.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x57_h85,57.0,85.0,0.0,-92.405,44.0,0.0,-90.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x114_h42,114.0,42.0,0.0,-149.405,1.0,0.0,-147.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x114_h85,114.0,85.0,0.0,-149.405,44.0,0.0,-147.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x176_h42,176.0,42.0,0.0,-211.405,1.0,0.0,-209.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x176_h85,176.0,85.0,0.0,-211.405,44.0,0.0,-209.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x199_h42,199.0,42.0,0.0,-234.405,1.0,0.0,-232.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x199_h85,199.0,85.0,0.0,-234.405,44.0,0.0,-232.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x320_h42,320.0,42.0,0.0,-355.405,1.0,0.0,-353.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x320_h85,320.0,85.0,0.0,-355.405,44.0,0.0,-353.5,44.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x420_h42,420.0,42.0,0.0,-455.405,1.0,0.0,-453.5,1.0,0.0,-1.0,0.0,2.477979114806917
P1,P1_x420_h85,420.0,85.0,0.0,-455.405,44.0,0.0,-453.5,44.0,0.0,-1.0,0.0,2.477979114806917
P2,P2_x0_h85,0.0,85.0,43.84703841816037,-34.84703841816037,44.0,42.5,-33.5,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x2_h55,2.0,55.0,45.261251980533466,-36.261251980533466,14.0,43.91421356237309,-34.91421356237309,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x5_h85,5.0,85.0,47.38257232409311,-38.38257232409311,44.0,46.03553390593274,-37.03553390593274,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x30_h85,30.0,85.0,65.06024185375679,-56.0602418537568,44.0,63.71320343559643,-54.71320343559643,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x57_h55,57.0,55.0,84.15212494579359,-75.15212494579359,14.0,82.80508652763322,-73.80508652763322,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x57_h85,57.0,85.0,84.15212494579359,-75.15212494579359,44.0,82.80508652763322,-73.80508652763322,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x114_h55,114.0,55.0,124.4572114734268,-115.4572114734268,14.0,123.11017305526643,-114.11017305526643,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x114_h85,114.0,85.0,124.4572114734268,-115.4572114734268,44.0,123.11017305526643,-114.11017305526643,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x156_h85,156.0,85.0,154.1556962832618,-145.1556962832618,44.0,152.80865786510142,-143.80865786510142,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x176_h55,176.0,55.0,168.29783190699274,-159.29783190699274,14.0,166.95079348883237,-157.95079348883237,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x176_h85,176.0,85.0,168.29783190699274,-159.29783190699274,44.0,166.95079348883237,-157.95079348883237,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x199_h55,199.0,55.0,184.56128787428332,-175.56128787428332,14.0,183.21424945612296,-174.21424945612296,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x199_h85,199.0,85.0,184.56128787428332,-175.56128787428332,44.0,183.21424945612296,-174.21424945612296,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x300_h85,300.0,85.0,255.97907277412463,-246.97907277412463,44.0,254.63203435596427,-245.63203435596427,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x321_h55,321.0,55.0,270.82831517904214,-261.82831517904214,14.0,269.48127676088177,-260.48127676088177,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x321_h85,321.0,85.0,270.82831517904214,-261.82831517904214,44.0,269.48127676088177,-260.48127676088177,44.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P2,P2_x420_h55,420.0,55.0,340.83188651651034,-331.83188651651034,14.0,339.48484809834997,-330.48484809834997,14.0,0.7071067811865476,-0.7071067811865476,0.0,2.477979114806917
P3,P3_x0_h45,0.0,45.0,44.405,0.0,4.0,42.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x0_h85,0.0,85.0,44.405,0.0,44.0,42.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x5_h45,5.0,45.0,49.405,0.0,4.0,47.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x5_h85,5.0,85.0,49.405,0.0,44.0,47.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x57_h45,57.0,45.0,101.405,0.0,4.0,99.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x57_h85,57.0,85.0,101.405,0.0,44.0,99.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
