position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,tally,statepoint_file,detector_volume_cm3,flux_per_source [n/cm2/source],u_mc_per_source [n/cm2/source],flux_physical [n/cm2/s],u_mc_physical [n/cm2/s],rel_u_mc [%],mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,flux_P1_x0_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.003189294972665e-05,4.756706742663901e-07,219.15770049612652,5.20404593950701,2.374566774394034,low
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,flux_P1_x4_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.581800622178889e-05,3.9688227898216445e-07,173.05593029579262,4.342066316332837,2.509053754419881,low
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,flux_P1_x57_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.718837821038852e-06,2.2078676353930484e-07,40.68571789108037,2.415504092333738,5.936982846905337,moderate
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,flux_P1_x114_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.3242257686636658e-06,1.2124301875514322e-07,14.487611087298905,1.3264518364924924,9.155766457973012,moderate
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,flux_P1_x176_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.716858370217291e-07,8.638170433289983e-08,7.348537847468223,0.9450537567291135,12.860432596869744,high
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,flux_P1_x199_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,5.064420594749658e-07,7.007710708089472e-08,5.540698398678822,0.7666743070069811,13.837142032307595,high
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,flux_P1_x320_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.1022757578136612e-07,5.5692955895653436e-08,2.2999819440303106,0.6093053801033892,26.491746236741736,very high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,flux_P1_x420_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.8932254856367206e-07,4.724018597374905e-08,2.0712717714401916,0.5168283673938806,24.95222377479324,high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,flux_P1_x0_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.944845125819246e-06,2.9388919354677256e-07,75.97965364012428,3.215276759915524,4.231760222472982,low
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,flux_P1_x4_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.256925839019524e-06,2.698364523449112e-07,68.45351472752492,2.9521292148653546,4.312604293024436,low
