position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,detector_side_cm,detector_volume_cm3
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,2.0,8.0
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,2.0,8.0
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,2.0,8.0
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,2.0,8.0
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,2.0,8.0
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,2.0,8.0
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,2.0,8.0
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,2.0,8.0
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,2.0,8.0
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,2.0,8.0
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,2.0,8.0
P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,2.0,8.0
P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,2.0,8.0
P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,2.0,8.0
P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,2.0,8.0
P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,2.0,8.0
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,2.0,8.0
P2,P2_x2_h55,2.0,55.0,51.515611460128476,-42.515611460128476,14.0,2.0,8.0
P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,2.0,8.0
P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,2.0,8.0
P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,2.0,8.0
P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,2.0,8.0
P2,P2_x321_h55,321.0,55.0,277.08267465863713,-268.08267465863713,14.0,2.0,8.0
P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,2.0,8.0
P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,2.0,8.0
P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,2.0,8.0
P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,2.0,8.0
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,2.0,8.0
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,2.0,8.0
P2,P2_x156_h85,156.0,85.0,160.41005576285679,-151.41005576285679,44.0,2.0,8.0
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,2.0,8.0
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,2.0,8.0
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,2.0,8.0
P2,P2_x321_h85,321.0,85.0,277.08267465863713,-268.08267465863713,44.0,2.0,8.0
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,2.0,8.0
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,2.0,8.0
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,2.0,8.0
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,2.0,8.0
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,2.0,8.0
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,2.0,8.0
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,2.0,8.0
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,2.0,8.0
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,2.0,8.0
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,2.0,8.0
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,2.0,8.0
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,2.0,8.0
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,2.0,8.0
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,2.0,8.0
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,2.0,8.0
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,2.0,8.0
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,2.0,8.0
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,2.0,8.0
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,2.0,8.0
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,2.0,8.0
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,2.0,8.0
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,2.0,8.0
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,2.0,8.0
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,2.0,8.0
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,2.0,8.0
P5,P5_x0_h85,0.0,85.0,0.0,44.25,44.0,2.0,8.0
P5,P5_x6_h85,6.0,85.0,0.0,50.25,44.0,2.0,8.0
