point_name,position,distance_cm,height_cm,neutron_flux_x_cm,neutron_flux_y_cm,neutron_flux_z_cm,neutron_flux [n/cm2/s],u_mc_neutron_flux [n/cm2/s],rel_u_mc_neutron_flux [%],neutron_flux_tally_volume_cm3,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,gamma_flux_tally_volume_cm3,gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_gamma_flux [%],common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%],common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%],x_cm,y_cm,z_cm,flux_centre_separation_cm,total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],rel_u_mc_total_dose_rate [%],total_dose_mc_uncertainty_class,neutron_dose_rate_std [uSv/h],gamma_dose_rate_std [uSv/h],total_dose_rate_std [uSv/h],neutron_dose_rel_unc [%],gamma_dose_rel_unc [%],total_dose_rel_unc [%],neutron_flux_std [n/cm2/s],gamma_flux_std [photon/cm2/s],neutron_flux_rel_unc [%],gamma_flux_rel_unc [%],common_gamma_to_neutron_flux_ratio,common_total_particle_flux [particles/cm2/s],u_mc_common_total_particle_flux [particles/cm2/s],u_mc_common_gamma_to_neutron_flux_ratio,gamma_to_neutron_dose_ratio,neutron_dose_fraction,gamma_dose_fraction,u_mc_gamma_to_neutron_dose_ratio,u_mc_neutron_dose_fraction,u_mc_gamma_dose_fraction,height_group
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,219.15770049612647,5.20404593950701,2.374566774394034,8.0,0.0,-35.405,1.0,2.477979114806917,155.05192088663495,13.449834203662018,8.674406693417078,0.0,-44.25,1.0,0.004174988401465552,0.00013181457169958986,164.43433957310708,5.191593355307401,3.1572440214041984,low,8.787800335183571e-05,1.2688648932445774e-06,2.2570052757732966,0.03258875542302258,1.443893630769516,low,0.0,-44.25,1.0,8.0,208.84814436774306,5.1424719675981345,2.4623019673774023,102.40768248472251,1.1832309082501575,1.1554122498833772,0.0,-44.25,1.0,8.844999999999999,166.6913448488804,5.191695637636319,3.114556213067346,low,5.191593355307401,0.03258875542302258,5.191695637636319,3.1572440214041984,1.443893630769516,3.114556213067346,5.20404593950701,13.449834203662018,2.374566774394034,8.674406693417078,0.49034518738362104,311.2558268524656,5.276841225560148,0.013336946017287164,0.013725875517442254,0.9864599732048507,0.013540026795149204,0.0004765275014102093,0.00046371047402982195,0.00046371047402982195,Lower height group (42–55 cm)
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,173.05593029579262,4.342066316332837,2.509053754419881,8.0,0.0,-39.405,1.0,2.477979114806917,114.54964977314192,11.8613985654762,10.354809978875467,0.0,-48.25,1.0,0.0035191622830218028,0.00011520365342431593,138.60424753662696,4.537362705148299,3.273610142394283,low,7.467575893885122e-05,1.1634878346078815e-06,1.9179268470924056,0.02988231503729519,1.5580529091918731,low,0.0,-48.25,1.0,8.0,176.70034009632369,4.6535467489755735,2.6335810935275004,86.0044139784287,1.078864816228806,1.2544295883457828,0.0,-48.25,1.0,8.844999999999999,140.52217438371937,4.537461104056174,3.229000066328233,low,4.537362705148299,0.02988231503729519,4.537461104056174,3.273610142394283,1.5580529091918731,3.229000066328233,4.342066316332837,11.8613985654762,2.509053754419881,10.354809978875467,0.48672466579037477,262.7047540747524,4.776970445438986,0.01419813723717556,0.013837431977584832,0.9863514291925544,0.013648570807445554,0.0005016723174647419,0.00048807155043830455,0.00048807155043830455,Lower height group (42–55 cm)
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,40.68571789108037,2.415504092333738,5.936982846905337,8.0,0.0,-92.405,1.0,2.477979114806917,25.77779056482703,6.2392905934577,24.204132537142318,0.0,-101.25,1.0,0.0007639826774567085,5.4896813911959745e-05,30.089900841111238,2.1621428546034105,7.185609769937551,moderate,1.6267866975354272e-05,5.626371975715924e-07,0.41781401702939114,0.014450432131249143,3.4585800241911526,low,0.0,-101.25,1.0,8.0,38.1760437374509,2.299988977707164,6.024691802861864,16.754276699601036,0.4819643870636332,2.8766648402978214,0.0,-101.25,1.0,8.844999999999999,30.50771485814063,2.162191142961548,7.087358568203585,moderate,2.1621428546034105,0.014450432131249143,2.162191142961548,7.185609769937551,3.4585800241911526,7.087358568203585,2.415504092333738,6.2392905934577,5.936982846905337,24.204132537142318,0.4388688575177056,54.93032043705193,2.34994446061435,0.0292999156608675,0.01388552322706694,0.986304643957366,0.013695356042633992,0.0011073194484046167,0.0010771968721178657,0.0010771968721178657,Lower height group (42–55 cm)
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,14.487611087298903,1.3264518364924924,9.155766457973012,8.0,0.0,-149.405,1.0,2.477979114806917,13.30055924431888,5.153654480951532,38.74765253312814,0.0,-158.25,1.0,0.0003198094289542389,3.61015053164136e-05,12.595879840260842,1.4218787247925404,11.28844306888129,high,6.539046005173614e-06,3.628254305678643e-07,0.1679448868804192,0.009318588039577727,5.548598836600954,moderate,0.0,-158.25,1.0,8.0,14.382390861096894,1.4284540588784982,9.931965225213988,6.741668309679637,0.3128804872151042,4.640994971020344,0.0,-158.25,1.0,8.844999999999999,12.763824727141262,1.4219092601501377,11.140150311893272,high,1.4218787247925404,0.009318588039577727,1.4219092601501377,11.28844306888129,5.548598836600954,11.140150311893272,1.3264518364924924,5.153654480951532,9.155766457973012,38.74765253312814,0.468744617969969,21.124059170776533,1.4623184323554212,0.05138748873968706,0.013333319229007611,0.9868421189987592,0.013157881001240773,0.0016771168977467164,0.001633272647582767,0.001633272647582767,Lower height group (42–55 cm)
P1_x176_h42,P1,176.0,42.0,0.0,-220.25,1.0,7.348537847468223,0.9450537567291136,12.860432596869744,8.0,0.0,-211.405,1.0,2.477979114806917,9.21213154333381,4.297250416736312,46.64773181453253,0.0,-220.25,1.0,0.00021724647441587249,3.204331781210149e-05,8.556378392002259,1.2620446562952117,14.749752739720567,high,3.3906304364042842e-06,2.569467508937915e-07,0.08708289323009666,0.0065992643237265825,7.57814087123809,moderate,0.0,-220.25,1.0,8.0,8.753624706671864,1.055764605839602,12.060884961573873,3.480783354083643,0.22080462016618022,6.3435324093679375,0.0,-220.25,1.0,8.844999999999999,8.643461285232355,1.2620619100396435,14.60134856155275,high,1.2620446562952117,0.0065992643237265825,1.2620619100396435,14.749752739720567,7.57814087123809,14.60134856155275,0.9450537567291136,4.297250416736312,12.860432596869744,46.64773181453253,0.39763908903138706,12.234408060755507,1.078607242340965,0.054187769822662976,0.010177541155904699,0.9899249975957108,0.010075002404289208,0.0016877034014221417,0.0016538674812383706,0.0016538674812383706,Lower height group (42–55 cm)
P1_x199_h42,P1,199.0,42.0,0.0,-243.25,1.0,5.540698398678822,0.7666743070069811,13.837142032307597,8.0,0.0,-234.405,1.0,2.477979114806917,2.193870464131053,2.193870464131053,100.0,0.0,-243.25,1.0,0.00013869627198478032,2.51914950568205e-05,5.4626331122413685,0.9921816432048953,18.163065738050165,high,2.5026910374967206e-06,2.2927350409135702e-07,0.06427759689356494,0.005888521456927409,9.161079040770627,moderate,0.0,-243.25,1.0,8.0,5.576588507541045,0.8380254928255019,15.02756553925875,2.5494509266670686,0.19158042811028145,7.51457602522819,0.0,-243.25,1.0,8.844999999999999,5.526910709134933,0.9921991170111546,17.952146673389134,high,0.9921816432048953,0.005888521456927409,0.9921991170111546,18.163065738050165,9.161079040770627,17.952146673389134,0.7666743070069811,2.193870464131053,13.837142032307597,100.0,0.4571703512316762,8.126039434208113,0.8596451518273943,0.07681231689033707,0.011766779055602958,0.9883700677871771,0.01162993221282303,0.002393671547861161,0.0023383188289974044,0.0023383188289974044,Lower height group (42–55 cm)
P1_x320_h42,P1,320.0,42.0,0.0,-364.25,1.0,2.29998194403031,0.6093053801033892,26.491746236741736,8.0,0.0,-355.405,1.0,2.477979114806917,0.0,0.0,,0.0,-364.25,1.0,5.1333462150226574e-05,1.3537872978647615e-05,2.0217981788190227,0.5331969788675592,26.372413649072108,very high,1.3397611939858161e-06,1.6503577619686433e-07,0.034409612960774584,0.004238678660874273,12.318297987559978,high,0.0,-364.25,1.0,8.0,2.53239100326932,0.5518644629822625,21.792229646599,1.212337564737562,0.1318972337450771,10.879579877872485,0.0,-364.25,1.0,8.845000000000027,2.0562077917797974,0.53321382640577,25.93190379578489,very high,0.5331969788675592,0.004238678660874273,0.53321382640577,26.372413649072108,12.318297987559978,25.93190379578489,0.6093053801033892,0.0,26.491746236741736,,0.4787323770983362,3.744728568006882,0.5674074953437824,0.11660514799859055,0.017019311482847414,0.9832654982155327,0.0167345017844673,0.004953890566558833,0.004789476090607006,0.004789476090607006,Lower height group (42–55 cm)
P1_x420_h42,P1,420.0,42.0,0.0,-464.25,1.0,2.071271771440192,0.5168283673938806,24.95222377479324,8.0,0.0,-455.405,1.0,2.477979114806917,2.1942579393970263,2.1942579393970263,100.0,0.0,-464.25,1.0,1.9831953822069047e-05,1.0054741156055776e-05,0.781093003283925,0.3960118119116678,50.69970032335813,very high,5.764469755591152e-07,1.0736542369534742e-07,0.014805114083344789,0.002757508346495363,18.625377224194843,high,0.0,-464.25,1.0,8.0,0.9949465640099093,0.35167844573482004,35.346465675247806,0.597641551447878,0.09278597898113454,15.52535608616006,0.0,-464.25,1.0,8.845000000000027,0.7958981173672698,0.39602141233251914,49.75780237331228,very high,0.3960118119116678,0.002757508346495363,0.39602141233251914,50.69970032335813,18.625377224194843,49.75780237331228,0.5168283673938806,2.1942579393970263,24.95222377479324,100.0,0.6006770343918949,1.5925881154577874,0.3637127535431584,0.23189629308082815,0.018954355014191793,0.9813982295468693,0.018601770453130648,0.010237745800802075,0.00986040793095007,0.00986040793095007,Lower height group (42–55 cm)
P1_x0_h85,P1,0.0,85.0,0.0,-44.25,44.0,75.97965364012428,3.215276759915524,4.231760222472982,8.0,0.0,-35.405,44.0,2.477979114806917,23.384894091841737,3.8502915975904335,16.464866517970165,0.0,-44.25,44.0,0.0012495588001502386,6.746207901148586e-05,49.21459805453401,2.6570331080652645,5.39887190609795,moderate,1.926550880791218e-05,5.698132229012003e-07,0.4948036295934618,0.014634736808304252,2.9576858238344723,low,0.0,-44.25,44.0,8.0,71.18853158747504,3.1848140013054067,4.473773977753666,23.21447769265326,0.5535225812751486,2.3843852470147247,0.0,-44.25,44.0,8.844999999999999,49.70940168412747,2.6570734112697014,5.345213020574581,moderate,2.6570331080652645,0.014634736808304252,2.6570734112697014,5.39887190609795,2.9576858238344723,5.345213020574581,3.215276759915524,3.8502915975904335,4.231760222472982,16.464866517970165,0.32609856075100774,94.4030092801283,3.2325574195816626,0.01653160396192288,0.010054001234454395,0.9900460755344103,0.009953924465589691,0.0006189193125798443,0.0006066592833088493,0.0006066592833088493,Upper height group (85–113 cm)
P1_x4_h85,P1,4.0,85.0,0.0,-48.25,44.0,68.45351472752492,2.952129214865354,4.312604293024436,8.0,0.0,-39.405,44.0,2.477979114806917,20.663694596326067,3.295015250971979,15.94591536190155,0.0,-48.25,44.0,0.0013478338193870175,6.861128352543037e-05,53.08521668405201,2.7022951943547895,5.090485380210607,moderate,2.0449757664387674e-05,5.972768450092887e-07,0.5252191581096527,0.015340095801744617,2.9207037795338735,low,0.0,-48.25,44.0,8.0,72.96538062673523,2.7592150729473826,3.781540025210777,23.515146256781872,0.5595794129263391,2.3796552520482575,0.0,-48.25,44.0,8.844999999999999,53.61043584216166,2.7023387344987295,5.04069532740767,moderate,2.7022951943547895,0.015340095801744617,2.7023387344987295,5.090485380210607,2.9207037795338735,5.04069532740767,2.952129214865354,3.295015250971979,4.312604293024436,15.94591536190155,0.32227812772028075,96.4805268835171,2.8153857529921216,0.014399307432173271,0.009893887430762627,0.9902030425632803,0.009796957436719751,0.0005806586907720053,0.000569337045653393,0.000569337045653393,Upper height group (85–113 cm)
