point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%]
P1_x0_h42,0.0,-44.25,1.0,8.0,102.40768248472251,1.1832309082501575,1.1554122498833772
P1_x4_h42,0.0,-48.25,1.0,8.0,86.0044139784287,1.078864816228806,1.2544295883457828
P1_x57_h42,0.0,-101.25,1.0,8.0,16.754276699601036,0.4819643870636332,2.8766648402978214
P1_x114_h42,0.0,-158.25,1.0,8.0,6.741668309679637,0.3128804872151042,4.640994971020344
P1_x176_h42,0.0,-220.25,1.0,8.0,3.480783354083643,0.22080462016618022,6.3435324093679375
P1_x199_h42,0.0,-243.25,1.0,8.0,2.5494509266670686,0.19158042811028145,7.51457602522819
P1_x320_h42,0.0,-364.25,1.0,8.0,1.212337564737562,0.1318972337450771,10.879579877872485
P1_x420_h42,0.0,-464.25,1.0,8.0,0.597641551447878,0.09278597898113454,15.52535608616006
P1_x0_h85,0.0,-44.25,44.0,8.0,23.21447769265326,0.5535225812751486,2.3843852470147247
P1_x4_h85,0.0,-48.25,44.0,8.0,23.515146256781872,0.5595794129263391,2.3796552520482575
P1_x7_h85,0.0,-51.25,44.0,8.0,22.749754780817202,0.5438764353857567,2.3906914189877693
P1_x57_h85,0.0,-101.25,44.0,8.0,13.037884966202018,0.4178631322919102,3.204991709737681
P1_x114_h85,0.0,-158.25,44.0,8.0,5.861706793951843,0.280216879472533,4.780465644608206
P1_x176_h85,0.0,-220.25,44.0,8.0,3.347165785245312,0.21578609067177384,6.446830080033189
P1_x199_h85,0.0,-243.25,44.0,8.0,2.379435582869419,0.18415275824713825,7.739346237104851
P1_x320_h85,0.0,-364.25,44.0,8.0,1.1757586791580188,0.1272584762319204,10.823520037551617
P1_x420_h85,0.0,-464.25,44.0,8.0,0.7075053772598233,0.10163600687434908,14.365404156783448
P2_x2_h55,51.51561146012848,-42.51561146012848,14.0,8.0,3.5538851140903964,0.21844401128841448,6.146625573863673
P2_x57_h55,90.40648442538858,-81.40648442538858,14.0,8.0,2.577036505760666,0.1857759068111992,7.208896978988026
P2_x114_h55,130.7115709530218,-121.7115709530218,14.0,8.0,0.9713144928138476,0.11434443582605458,11.772133193936465
P2_x176_h55,174.55219138658774,-165.55219138658774,14.0,8.0,0.811185766298075,0.1068368019261645,13.170448294935525
P2_x199_h55,190.81564735387835,-181.81564735387835,14.0,8.0,0.5438299464940981,0.08357213252994866,15.367328163649704
P2_x321_h55,277.0826746586372,-268.0826746586372,14.0,8.0,0.43927318861953485,0.0782704474376466,17.818170893520783
P2_x420_h55,347.0862459961053,-338.0862459961053,14.0,8.0,0.17402629903729727,0.04378963277531426,25.162652436761455
P2_x0_h85,50.10139789775538,-41.10139789775538,44.0,8.0,3.5633325828891893,0.210980631261629,5.920879579827589
P2_x5_h85,53.63693180368812,-44.63693180368812,44.0,8.0,3.7201697029380623,0.21853470444686596,5.874320848166543
P2_x30_h85,71.3146013333518,-62.3146013333518,44.0,8.0,2.6704527561219895,0.19192900288279352,7.187133434313637
P2_x57_h85,90.40648442538858,-81.40648442538858,44.0,8.0,2.1068171226778216,0.16748223284658031,7.949538241539725
P2_x114_h85,130.7115709530218,-121.7115709530218,44.0,8.0,1.182013221666093,0.12372378126034121,10.467207895183083
P2_x156_h85,160.4100557628568,-151.4100557628568,44.0,8.0,0.7451274261168787,0.0997574533221751,13.387972288450891
P2_x176_h85,174.55219138658774,-165.55219138658774,44.0,8.0,0.6757193134099774,0.09143254056985534,13.531142111129908
P2_x199_h85,190.81564735387835,-181.81564735387835,44.0,8.0,0.5568322139610195,0.08846214994571673,15.88667963666151
P2_x300_h85,262.2334322537196,-253.23343225371963,44.0,8.0,0.3151164815866949,0.06424816039461247,20.38870200349597
P2_x321_h85,277.0826746586372,-268.0826746586372,44.0,8.0,0.22565071859002642,0.05650719753564145,25.041886810166368
P3_x0_h45,53.25,0.0,4.0,8.0,7.208942370728527,0.31176310842753024,4.324671947627511
P3_x5_h45,58.25,0.0,4.0,8.0,6.3688414930562365,0.2907913093815436,4.565843092477414
P3_x57_h45,110.25,0.0,4.0,8.0,1.6402141741475365,0.1553859815549186,9.473517788350835
P3_x114_h45,167.25,0.0,4.0,8.0,0.5989908240774857,0.09053401052207331,15.114423607658102
P3_x176_h45,229.25,0.0,4.0,8.0,0.23550911582879014,0.05788321521732628,24.5779085933158
P3_x199_h45,252.25,0.0,4.0,8.0,0.16204536181286636,0.04778382385107151,29.487930611832848
P3_x225_h45,278.25,0.0,4.0,8.0,0.16533954398371592,0.04855403299200528,29.36625553823186
P3_x300_h45,353.25,0.0,4.0,8.0,0.13529451483751206,0.04323970883153735,31.95969096268832
P3_x0_h85,53.25,0.0,44.0,8.0,7.73738306378958,0.328248744991533,4.242374227634076
P3_x5_h85,58.25,0.0,44.0,8.0,5.950503168244179,0.28210079585003883,4.740788936228372
P3_x57_h85,110.25,0.0,44.0,8.0,1.333261236137577,0.13425669820099217,10.069796868161436
P3_x100_h85,153.25,0.0,44.0,8.0,0.7777623839092049,0.10380351948024773,13.346430944436833
P3_x114_h85,167.25,0.0,44.0,8.0,0.5733599444507778,0.08753011536683711,15.26617201183845
P3_x176_h85,229.25,0.0,44.0,8.0,0.42166460305801434,0.07828924504698259,18.566710242977457
P3_x200_h85,253.25,0.0,44.0,8.0,0.2976227703931709,0.06513471385168651,21.88499010530716
