point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%]
P1_x0_h42,0.0,-44.25,1.0,8.0,208.84814436774306,5.1424719675981345,2.4623019673774023
P1_x4_h42,0.0,-48.25,1.0,8.0,176.70034009632369,4.6535467489755735,2.6335810935275004
P1_x57_h42,0.0,-101.25,1.0,8.0,38.1760437374509,2.299988977707164,6.024691802861864
P1_x114_h42,0.0,-158.25,1.0,8.0,14.382390861096894,1.4284540588784982,9.931965225213988
P1_x176_h42,0.0,-220.25,1.0,8.0,8.753624706671864,1.055764605839602,12.060884961573873
P1_x199_h42,0.0,-243.25,1.0,8.0,5.576588507541045,0.8380254928255019,15.02756553925875
P1_x320_h42,0.0,-364.25,1.0,8.0,2.53239100326932,0.5518644629822625,21.792229646599
P1_x420_h42,0.0,-464.25,1.0,8.0,0.9949465640099093,0.35167844573482004,35.346465675247806
P1_x0_h85,0.0,-44.25,44.0,8.0,71.18853158747504,3.1848140013054067,4.473773977753666
P1_x4_h85,0.0,-48.25,44.0,8.0,72.96538062673523,2.7592150729473826,3.781540025210777
P1_x7_h85,0.0,-51.25,44.0,8.0,60.6625483762251,2.7376850301988895,4.512973990508853
P1_x57_h85,0.0,-101.25,44.0,8.0,28.047467653397952,1.760136676460289,6.27556362025806
P1_x114_h85,0.0,-158.25,44.0,8.0,10.54885948127028,1.070252413693029,10.145669449794875
P1_x176_h85,0.0,-220.25,44.0,8.0,6.24843385842565,0.8506554904871897,13.61389925477294
P1_x199_h85,0.0,-243.25,44.0,8.0,5.012880688481378,0.8665991920842038,17.287448992661638
P1_x320_h85,0.0,-364.25,44.0,8.0,2.2895062320116155,0.5260060301584312,22.974649415837998
P1_x420_h85,0.0,-464.25,44.0,8.0,1.7761598175405027,0.4619736289982611,26.009688116802952
P2_x2_h55,51.51561146012848,-42.51561146012848,14.0,8.0,37.320063353145564,2.0808781536675256,5.575762650714086
P2_x57_h55,90.40648442538858,-81.40648442538858,14.0,8.0,14.666173284324161,1.2805733083778565,8.73147537228807
