position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,gamma_dose_P1_x0_h42,8.0,8.787800335183571e-05,1.2688648932445774e-06,2.2570052757732966,0.03258875542302258,1.443893630769516,low
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,gamma_dose_P1_x4_h42,8.0,7.467575893885122e-05,1.1634878346078815e-06,1.9179268470924056,0.02988231503729519,1.5580529091918731,low
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,gamma_dose_P1_x57_h42,8.0,1.6267866975354272e-05,5.626371975715924e-07,0.41781401702939114,0.014450432131249143,3.4585800241911526,low
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,gamma_dose_P1_x114_h42,8.0,6.539046005173614e-06,3.628254305678643e-07,0.1679448868804192,0.009318588039577727,5.548598836600954,moderate
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,gamma_dose_P1_x176_h42,8.0,3.3906304364042842e-06,2.569467508937915e-07,0.08708289323009666,0.0065992643237265825,7.57814087123809,moderate
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,gamma_dose_P1_x199_h42,8.0,2.5026910374967206e-06,2.2927350409135702e-07,0.06427759689356494,0.005888521456927409,9.161079040770627,moderate
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,gamma_dose_P1_x320_h42,8.0,1.3397611939858161e-06,1.6503577619686433e-07,0.034409612960774584,0.004238678660874273,12.318297987559978,high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,gamma_dose_P1_x420_h42,8.0,5.764469755591152e-07,1.0736542369534742e-07,0.014805114083344789,0.002757508346495363,18.625377224194843,high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,gamma_dose_P1_x0_h85,8.0,1.926550880791218e-05,5.698132229012003e-07,0.4948036295934618,0.014634736808304252,2.9576858238344723,low
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,gamma_dose_P1_x4_h85,8.0,2.0449757664387674e-05,5.972768450092887e-07,0.5252191581096527,0.015340095801744617,2.9207037795338735,low
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,gamma_dose_P1_x7_h85,8.0,2.0079088816258454e-05,5.926786083655683e-07,0.5156991244962015,0.015221997483982664,2.951720637271469,low
P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,gamma_dose_P1_x57_h85,8.0,1.2059584309693887e-05,4.55442510293223e-07,0.30973104044748867,0.011697308875210869,3.776602066848387,low
P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,gamma_dose_P1_x114_h85,8.0,5.8778490757986065e-06,3.250678057911467e-07,0.15096310644613123,0.00834884413244172,5.530387078660754,moderate
P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,gamma_dose_P1_x176_h85,8.0,3.303352193912805e-06,2.5489073668685446e-07,0.08484129184806691,0.006546458903312752,7.7161235534179475,moderate
P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,gamma_dose_P1_x199_h85,8.0,2.415378380774853e-06,2.1843961596690785e-07,0.0620351116373393,0.005610270453020085,9.043701711730666,moderate
P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,gamma_dose_P1_x320_h85,8.0,1.2976572375609354e-06,1.5810286525867254e-07,0.0333282405108178,0.004060617986221514,12.183715443674574,high
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,gamma_dose_P1_x420_h85,8.0,5.721660952269521e-07,1.0253291653224914e-07,0.014695166552380042,0.00263339316697021,17.920131477133232,high
P2,P2_x2_h55,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,gamma_dose_P2_x2_h55,8.0,1.947080448995979e-06,1.5349172451741732e-07,0.05000763192291128,0.003942188247454255,7.8831732195023605,moderate
P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,gamma_dose_P2_x57_h55,8.0,1.6244460366703033e-06,1.4758024036967906e-07,0.041721285590602904,0.00379036127824471,9.084958012651537,moderate
P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,gamma_dose_P2_x114_h55,8.0,5.65978248952157e-07,8.442133685272858e-08,0.014536241666115031,0.0021682263524079354,14.9160037526221,high
P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,gamma_dose_P2_x176_h55,8.0,5.813256734562063e-07,9.573926071576818e-08,0.014930415597633334,0.002458909036303339,16.469126530497302,high
P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,gamma_dose_P2_x199_h55,8.0,3.808806142419259e-07,7.479708118408504e-08,0.00978230641338124,0.00192104281396827,19.637933354249373,high
P2,P2_x321_h55,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,gamma_dose_P2_x321_h55,8.0,2.740778466129119e-07,5.805621347141117e-08,0.007039248983630947,0.0014910805332226356,21.18238091435593,high
P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,gamma_dose_P2_x420_h55,8.0,1.3141120986402147e-07,4.4207017545024054e-08,0.003375085717086364,0.0011353861947210222,33.64021805351882,very high
P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,gamma_dose_P2_x0_h85,8.0,3.2418356575039872e-06,2.2566722322452082e-07,0.08326133848173793,0.0057958999289918905,6.96109386983147,moderate
P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,gamma_dose_P2_x5_h85,8.0,2.942492985805099e-06,2.1431262418342399e-07,0.07557320307220315,0.005504275302093598,7.283369075722218,moderate
P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,gamma_dose_P2_x30_h85,8.0,1.6393957498725679e-06,1.3885615494621064e-07,0.0421052449465491,0.0035662971657701536,8.469959432126384,moderate
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,gamma_dose_P2_x57_h85,8.0,1.1532841058061802e-06,1.1135935893253624e-07,0.02962024866278056,0.0028600861538829697,9.655847884480531,moderate
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,gamma_dose_P2_x114_h85,8.0,8.287661851224369e-07,1.024797434875894e-07,0.021285527445529685,0.0026320275027795314,12.365338418392357,high
P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,gamma_dose_P2_x156_h85,8.0,3.835459763351401e-07,6.263538353954371e-08,0.00985076195489082,0.0016086891566350202,16.330606342957253,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,gamma_dose_P2_x176_h85,8.0,3.6544208398552443e-07,6.063468014055792e-08,0.009385792577041831,0.0015573043054261293,16.592144910973015,high
