position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,neutron_dose_P1_x0_h42,8.0,0.004174988401465552,0.00013181457169958986,164.43433957310708,5.191593355307401,3.1572440214041984,low
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,neutron_dose_P1_x4_h42,8.0,0.0035191622830218028,0.00011520365342431593,138.60424753662696,4.537362705148299,3.273610142394283,low
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,neutron_dose_P1_x57_h42,8.0,0.0007639826774567085,5.4896813911959745e-05,30.089900841111238,2.1621428546034105,7.185609769937551,moderate
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,neutron_dose_P1_x114_h42,8.0,0.0003198094289542389,3.61015053164136e-05,12.595879840260842,1.4218787247925404,11.28844306888129,high
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,neutron_dose_P1_x176_h42,8.0,0.00021724647441587249,3.204331781210149e-05,8.556378392002259,1.2620446562952117,14.749752739720567,high
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,neutron_dose_P1_x199_h42,8.0,0.00013869627198478032,2.51914950568205e-05,5.4626331122413685,0.9921816432048953,18.163065738050165,high
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,neutron_dose_P1_x320_h42,8.0,5.1333462150226574e-05,1.3537872978647615e-05,2.0217981788190227,0.5331969788675592,26.372413649072108,very high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,neutron_dose_P1_x420_h42,8.0,1.9831953822069047e-05,1.0054741156055776e-05,0.781093003283925,0.3960118119116678,50.69970032335813,very high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,neutron_dose_P1_x0_h85,8.0,0.0012495588001502386,6.746207901148586e-05,49.21459805453401,2.6570331080652645,5.39887190609795,moderate
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,neutron_dose_P1_x4_h85,8.0,0.0013478338193870175,6.861128352543037e-05,53.08521668405201,2.7022951943547895,5.090485380210607,moderate
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,neutron_dose_P1_x7_h85,8.0,0.001063142699475646,6.17797925476175e-05,41.87249181312259,2.4332329601119413,5.811053641066999,moderate
P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,neutron_dose_P1_x57_h85,8.0,0.0005787255722202088,4.3555370147149956e-05,22.793442307215404,1.7154535141929355,7.526083559787273,moderate
P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,neutron_dose_P1_x114_h85,8.0,0.00021060433687132422,2.7892795700755187e-05,8.294773952548454,1.0985739357482436,13.244169666742058,high
P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,neutron_dose_P1_x176_h85,8.0,0.00015056042793402716,2.5693227469477746e-05,5.9299097751949565,1.0119426652687542,17.065060070589098,high
P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,neutron_dose_P1_x199_h85,8.0,9.091394308367397e-05,1.8423024667575284e-05,3.580698376001063,0.7256015113930366,20.26424555210347,high
P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,neutron_dose_P1_x320_h85,8.0,5.752488789074904e-05,1.484735294503477e-05,2.2656510724705043,0.5847716068070047,25.810311830998753,very high
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,neutron_dose_P1_x420_h85,8.0,4.2953008786334494e-05,1.3807073607821375e-05,1.691729162643772,0.5437996017767183,32.14460173559273,very high
P2,P2_x2_h55,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,neutron_dose_P2_x2_h55,8.0,0.000620565854627565,4.6059694865212564e-05,24.441346096071637,1.8140877956550536,7.422209024512872,moderate
P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,neutron_dose_P2_x57_h55,8.0,0.0002641669499513879,2.8625879816280138e-05,10.404368533586908,1.1274468788073349,10.836283578073598,high
P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,neutron_dose_P2_x114_h55,8.0,0.00011516387269789909,1.9242037617045255e-05,4.535795918166616,0.7578588114134732,16.708397491565325,high
P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,neutron_dose_P2_x176_h55,8.0,5.1763132143478166e-05,1.2656429556443525e-05,2.038720980700318,0.4984808184704883,24.450664077595157,high
P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,neutron_dose_P2_x199_h55,8.0,6.703624627807614e-05,1.6901909600143155e-05,2.6402614388883494,0.6656915122562479,25.213090736064736,very high
P2,P2_x321_h55,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,neutron_dose_P2_x321_h55,8.0,3.0963374052022864e-05,1.2799325845886008e-05,1.2195104449660756,0.5041088717061989,41.33698680376798,very high
P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,neutron_dose_P2_x420_h55,8.0,1.823213775995595e-05,6.179505867233981e-06,0.7180833198271585,0.24338342252880724,33.89347946243749,very high
P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,neutron_dose_P2_x0_h85,8.0,0.0003746279191734487,3.486837353353534e-05,14.754937870799653,1.3733111143404928,9.307467956597133,moderate
P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,neutron_dose_P2_x5_h85,8.0,0.00032288058944791566,3.2145115386864625e-05,12.716839277495083,1.266054012817123,9.95572866174106,moderate
P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,neutron_dose_P2_x30_h85,8.0,0.0003347935826699204,2.9643133141249308e-05,13.18603942476055,1.1675119909909124,8.854152133039856,moderate
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,neutron_dose_P2_x57_h85,8.0,0.00025527763106179564,3.44367005184163e-05,10.05425755355359,1.356309422281249,13.489901318490425,high
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,neutron_dose_P2_x114_h85,8.0,0.00011339261153175324,1.9230948612791854e-05,4.466033769853953,0.7574220645496278,16.95961346423936,high
P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,neutron_dose_P2_x156_h85,8.0,7.927432833605875e-05,1.4917053575397816e-05,3.1222653985016167,0.5875168065583509,18.817004052259676,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,neutron_dose_P2_x176_h85,8.0,3.60105361581639e-05,9.047756541437119e-06,1.418295851735202,0.3563511388408219,25.12530361030438,very high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,neutron_dose_P2_x199_h85,8.0,3.9840244745638325e-05,9.214173188359714e-06,1.5691311455812296,0.36290555499706373,23.12780267086204,high
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,neutron_dose_P2_x300_h85,8.0,3.945536956350376e-05,1.3587507974849454e-05,1.5539726133155687,0.5351518819799362,34.43766494945698,very high
P2,P2_x321_h85,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,neutron_dose_P2_x321_h85,8.0,3.795245323606716e-05,1.2111374950405805e-05,1.4947793821082849,0.4770135266946282,31.91196857571269,very high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,neutron_dose_P3_x0_h45,8.0,0.002142170379414188,9.942761880155891e-05,84.37062279463932,3.916014431853718,4.641443078339503,low
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,neutron_dose_P3_x5_h45,8.0,0.0016985068878884416,7.753888970549018e-05,66.89667886796255,3.0539141415287765,4.565120710336675,low
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,neutron_dose_P3_x57_h45,8.0,0.0003410924807021368,3.7336575859310394e-05,13.434125176951445,1.4705226944323464,10.946173830174526,high
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,neutron_dose_P3_x114_h45,8.0,0.00014816712366148981,2.4645085281570992e-05,5.8356480983687335,0.9706609773036673,16.633302093301356,high
