point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,h1_gamma_group_1_target_reached,h1_gamma_group_1_configured_target_percent,h1_gamma_group_1_max_relative_error_percent,h1_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_3h,neutron_proxy_response_reference,gamma_proxy_response_reference
P1_x0_h42,P1,0.0,42.0,Lower height group (42–55 cm),0.0,-44.25,1.0,0.0,-35.405,1.0,164.43433957310708,5.191593355307401,155.05192088663495,13.449834203662018,8.674406693417078,Moderate (5–<10%),1.7686546325817634,0.15342029583210376,166.20299420568884,5.193859774199258,0.010641532910008342,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x4_h42,P1,4.0,42.0,Lower height group (42–55 cm),0.0,-48.25,1.0,0.0,-39.405,1.0,138.60424753662696,4.537362705148299,114.54964977314192,11.8613985654762,10.354809978875467,High (10–<25%),1.306651137073075,0.13530124233073254,139.91089867370002,4.539379554988426,0.00933916620834839,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x57_h42,P1,57.0,42.0,Lower height group (42–55 cm),0.0,-101.25,1.0,0.0,-92.405,1.0,30.089900841111238,2.1621428546034105,25.77779056482703,6.2392905934577,24.204132537142318,High (10–<25%),0.2940434948467233,0.07117067720954615,30.38394433595796,2.163313890540864,0.00967759457414279,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x114_h42,P1,114.0,42.0,Lower height group (42–55 cm),0.0,-158.25,1.0,0.0,-149.405,1.0,12.595879840260842,1.4218787247925404,13.30055924431888,5.153654480951532,38.74765253312814,Very high (≥25%),0.151717538156733,0.058786984516786996,12.747597378417575,1.4230934676142104,0.01190165751654501,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x176_h42,P1,176.0,42.0,Lower height group (42–55 cm),0.0,-220.25,1.0,0.0,-211.405,1.0,8.556378392002259,1.2620446562952117,9.21213154333381,4.297250416736312,46.64773181453253,Very high (≥25%),0.10508144005505417,0.04901810834373043,8.661459832057313,1.2629962349226924,0.012132070354483732,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x199_h42,P1,199.0,42.0,Lower height group (42–55 cm),0.0,-243.25,1.0,0.0,-234.405,1.0,5.4626331122413685,0.9921816432048953,2.193870464131053,2.193870464131053,100.0,Very high (≥25%),0.025025160201057224,0.025025160201057224,5.487658272442426,0.9924971897974597,0.00456026212979168,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x320_h42,P1,320.0,42.0,Lower height group (42–55 cm),0.0,-364.25,1.0,0.0,-355.405,1.0,2.0217981788190227,0.5331969788675592,0.0,0.0,,Unknown,0.0,0.0,2.0217981788190227,0.5331969788675592,0.0,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x420_h42,P1,420.0,42.0,Lower height group (42–55 cm),0.0,-464.25,1.0,0.0,-455.405,1.0,0.781093003283925,0.3960118119116678,2.1942579393970263,2.1942579393970263,100.0,Very high (≥25%),0.025029580074866303,0.025029580074866303,0.8061225833587913,0.39680200988942366,0.031049347322063634,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x0_h85,P1,0.0,85.0,Upper height group (85–113 cm),0.0,-44.25,44.0,0.0,-35.405,44.0,49.21459805453401,2.6570331080652645,23.384894091841737,3.8502915975904335,16.464866517970165,High (10–<25%),0.2667480740094133,0.04391971432490617,49.48134612854342,2.657396071093156,0.005390881511518521,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x4_h85,P1,4.0,85.0,Upper height group (85–113 cm),0.0,-48.25,44.0,0.0,-39.405,44.0,53.08521668405201,2.7022951943547895,20.663694596326067,3.295015250971979,15.94591536190155,High (10–<25%),0.23570774850811343,0.03758575807854753,53.32092443256012,2.702556568629661,0.004420548799866265,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x7_h85,P1,7.0,85.0,Upper height group (85–113 cm),0.0,-51.25,44.0,0.0,-42.405,44.0,41.87249181312259,2.4332329601119413,21.873392155595877,0.6605482382683933,3.0198710541538256,Low (<5%),0.249506592018022,0.007534777350557924,42.121998405140616,2.433244626223357,0.005923427222474135,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x57_h85,P1,57.0,85.0,Upper height group (85–113 cm),0.0,-101.25,44.0,0.0,-92.405,44.0,22.793442307215404,1.7154535141929355,10.993859055651246,3.120865942748857,28.387356313656014,Very high (≥25%),0.12540534575476256,0.03559926233577674,22.918847652970168,1.7158228541535818,0.005471712524713722,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x114_h85,P1,114.0,85.0,Upper height group (85–113 cm),0.0,-158.25,44.0,0.0,-149.405,44.0,8.294773952548454,1.0985739357482436,6.414346939354496,2.5076234047253823,39.09397836497032,Very high (≥25%),0.07316751939868338,0.028604094203906742,8.367941471947137,1.0989462618848167,0.00874378957405136,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x176_h85,P1,176.0,85.0,Upper height group (85–113 cm),0.0,-220.25,44.0,0.0,-211.405,44.0,5.9299097751949565,1.0119426652687542,1.820897886585921,1.3525090736472465,74.2770412119662,Very high (≥25%),0.020770716442289065,0.015427873611859691,5.950680491637246,1.0120602635591487,0.0034904775128624483,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
