height_group,position,number_of_points,exact_heights_cm,median_total_dose_rate_uSv_h,minimum_total_dose_rate_uSv_h,maximum_total_dose_rate_uSv_h,median_gamma_dose_fraction
Lower height group (42–55 cm),P1,8,42,10.703643006186809,0.7958981173672698,166.6913448488804,0.013594298801297379
Lower height group (42–55 cm),P2,7,55,2.6500437453017307,0.7214584055442448,24.49135372799455,0.00399396198125816
Lower height group (42–55 cm),P3,8,45,4.313395277806454,1.0694675426834606,84.52856483448261,0.002209973008744585
Lower height group (42–55 cm),P4,4,"42, 45",12.016163888526835,6.279839125996351,27.589152248829123,0.0012336441531231009
Lower height group (42–55 cm),P5,2,45,116.58081198979619,103.31429760517331,129.84732637441908,0.002344547677627468
Upper height group (85–113 cm),P1,9,85,8.445737058994585,1.706424329196152,53.61043584216166,0.013406428449744587
Upper height group (85–113 cm),P2,10,85,3.8097177288779953,1.4276816443122438,14.83819920928139,0.004383818060841156
Upper height group (85–113 cm),P3,10,85,3.4414902784708956,0.20646174662699696,34.102348174165456,0.003592564164145125
Upper height group (85–113 cm),P4,1,113,3.3609799409803083,3.3609799409803083,3.3609799409803083,0.0016343448380304604
Upper height group (85–113 cm),P5,2,85,44.699150702413895,41.81583972710236,47.58246167772543,0.008672907984918857
