position,distance_cm,common_dose_x_cm,common_dose_y_cm,median_total_dose_rate_uSv_h,number_of_heights
P1,0.0,0.0,-44.25,108.20037326650393,2
P1,4.0,0.0,-48.25,97.06630511294051,2
P1,7.0,0.0,-51.25,42.388190937618795,1
P1,57.0,0.0,-101.25,26.80544410290176,2
P1,114.0,0.0,-158.25,10.604780893067923,2
P1,176.0,0.0,-220.25,7.329106176137689,2
P1,199.0,0.0,-243.25,4.584822098386668,2
P1,320.0,0.0,-364.25,2.17759355238056,2
P1,420.0,0.0,-464.25,1.2511612232817109,2
P2,0.0,50.10139789775538,-41.10139789775538,14.83819920928139,1
P2,2.0,51.51561146012848,-42.51561146012848,24.49135372799455,1
P2,5.0,53.63693180368812,-44.63693180368812,12.792412480567286,1
P2,30.0,71.3146013333518,-62.3146013333518,13.228144669707099,1
P2,57.0,90.40648442538858,-81.40648442538858,10.26498381069694,2
P2,114.0,130.7115709530218,-121.7115709530218,4.518825728566107,2
P2,156.0,160.4100557628568,-151.4100557628568,3.1321161604565075,1
P2,176.0,174.55219138658774,-165.55219138658774,1.7406665203050975,2
P2,199.0,190.81564735387835,-181.81564735387835,2.114858959427518,2
P2,300.0,262.2334322537196,-253.23343225371963,1.560251301848052,1
P2,321.0,277.0826746586372,-268.0826746586372,1.3629105944405082,2
P2,420.0,347.0862459961053,-338.0862459961053,0.7214584055442448,1
P3,0.0,53.25,0.0,59.31545650432403,2
P3,5.0,58.25,0.0,47.41291418938857,2
P3,57.0,110.25,0.0,11.293087729055841,2
P3,100.0,153.25,0.0,4.52587695198912,1
P3,114.0,167.25,0.0,5.506652544460341,2
P3,176.0,229.25,0.0,2.5670895645602667,2
P3,199.0,252.25,0.0,2.0820254968989267,1
P3,200.0,253.25,0.0,1.6691513835619773,1
P3,225.0,278.25,0.0,1.7143812812236066,2
P3,300.0,353.25,0.0,1.4832233403668562,2
P3,400.0,453.25,0.0,0.20646174662699696,1
P4,0.0,50.10139789775538,41.10139789775538,27.589152248829123,1
P4,20.0,64.24353352148633,55.243533521486334,17.718622005205386,1
P4,71.0,100.30597936200024,91.30597936200024,6.279839125996351,1
P4,85.0,110.20547429861192,101.20547429861192,6.313705771848283,1
P4,152.0,157.5816286381106,148.5816286381106,3.3609799409803083,1
P5,0.0,0.0,44.25,88.71489402607226,2
P5,6.0,0.0,50.25,72.56506866613783,2
