position,point_name,distance_cm,height_cm,total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],rel_u_mc_total_dose_rate [%],neutron_dose_mc_uncertainty_class,gamma_dose_mc_uncertainty_class
P1,P1_x320_h42,320.0,42.0,2.0562077917797974,0.53321382640577,25.93190379578489,very high,high
P1,P1_x420_h42,420.0,42.0,0.7958981173672698,0.39602141233251914,49.75780237331228,very high,high
P1,P1_x320_h85,320.0,85.0,2.2989793129813223,0.584785704977538,25.43675367914409,very high,high
P1,P1_x420_h85,420.0,85.0,1.706424329196152,0.5438059779480998,31.868156626920065,very high,high
P2,P2_x199_h55,199.0,55.0,2.6500437453017307,0.6656942841090822,25.120124348486446,very high,high
P2,P2_x321_h55,321.0,55.0,1.2265496939497065,0.5041110769007694,41.09993091901909,very high,high
P2,P2_x420_h55,420.0,55.0,0.7214584055442448,0.24338607080859637,33.73528798586715,very high,very high
P2,P2_x300_h85,300.0,85.0,1.560251301848052,0.5351541244406713,34.2992262725116,very high,high
P2,P2_x321_h85,321.0,85.0,1.4992714949313102,0.47701522423743464,31.81646725427067,very high,very high
P3,P3_x199_h45,199.0,45.0,2.0820254968989267,0.5655218892740156,27.1621020067397,very high,very high
P3,P3_x225_h45,225.0,45.0,2.01583715464142,0.5786912505492852,28.707242011928468,very high,very high
P3,P3_x300_h45,300.0,45.0,1.0694675426834606,0.40052880809821295,37.45123550858064,very high,very high
P3,P3_x225_h85,225.0,85.0,1.4129254078057931,0.37097576445782837,26.255863360397512,very high,very high
P3,P3_x300_h85,300.0,85.0,1.8969791380502519,0.5500489989848801,28.9960489259903,very high,very high
P3,P3_x400_h85,400.0,85.0,0.20646174662699696,0.13543483576099025,65.59802867776416,very high,very high
