component,position,number_of_comparisons,median_agreement_gain_log10,mean_agreement_gain_log10,fraction_hollow_centrally_closer
neutron,P1,29,0.17132488643331936,0.1945583370504508,0.9310344827586207
neutron,P2,18,0.1700405202021483,0.1310465949674278,0.8333333333333334
neutron,P3,18,0.14802221927390907,0.16108274242022896,0.9444444444444444
neutron,P4,5,0.14575230558609115,0.12984235864763835,1.0
neutron,P5,4,0.14200487545566862,0.14144096486356209,1.0
gamma,P1,17,0.4043774464143852,0.5173433896709152,1.0
gamma,P2,9,0.7197793010896263,0.6859647109054772,1.0
gamma,P3,5,0.6304684768706106,0.6436347307319881,1.0
gamma,P4,3,0.6859779847113097,0.6928287425787586,1.0
gamma,P5,3,0.525420337598691,0.5349347527452492,1.0
total,P1,17,0.22190309366887606,0.23697648969642707,1.0
total,P2,9,0.027868270016226715,0.038594187672884694,0.6666666666666666
total,P3,5,0.11684810627588593,0.1181217621804435,1.0
total,P4,3,0.14614318959744269,0.1393169235712536,1.0
total,P5,3,0.14260261205640518,0.13859272170906448,1.0
