position,analysis_height_interval,analysis_height_interval_label,comparison_grid_points,target_heights_cm,minimum_distance_cm,maximum_distance_cm,exact_hollow_points,interpolated_hollow_points,hollow_total_comparisons,exact_massive_points,interpolated_massive_points,massive_total_comparisons,direct_hollow_massive_total_comparisons
P1,lower,Lower height interval (38–65 cm),20,42,0.0,420.0,8,12,17,8,12,17,20
P1,upper,Upper height interval (85–113 cm),9,85,0.0,420.0,9,0,0,9,0,0,9
P2,lower,Lower height interval (38–65 cm),7,55,2.0,420.0,7,0,6,7,0,6,7
P2,upper,Upper height interval (85–113 cm),12,85,0.0,400.0,10,1,3,10,1,3,11
P3,lower,Lower height interval (38–65 cm),9,45,0.0,320.0,8,0,4,8,0,4,8
P3,upper,Upper height interval (85–113 cm),10,85,0.0,400.0,10,0,1,10,0,1,10
P4,lower,Lower height interval (38–65 cm),8,"42, 45",0.0,85.0,4,0,3,4,0,3,4
P4,upper,Upper height interval (85–113 cm),2,113,138.0,152.0,1,0,0,1,0,0,1
P5,lower,Lower height interval (38–65 cm),2,45,0.0,6.0,2,0,2,2,0,2,2
P5,upper,Upper height interval (85–113 cm),2,85,0.0,6.0,2,0,1,2,0,1,2
