component,position,number_of_points,geometric_mean_hollow_to_massive_ratio,median_hollow_to_massive_ratio,median_hollow_minus_massive_percent,fraction_hollow_lower_than_massive,median_mc_standard_uncertainty_of_ratio
neutron,P1,29,1.6276312429496482,1.540860484205512,54.08604842055121,0.034482758620689655,0.2996977304265621
neutron,P2,18,1.3522176333238227,1.4808835223843402,48.08835223843401,0.16666666666666666,0.3136650883600511
neutron,P3,18,1.4490479019741396,1.4061202768050327,40.61202768050326,0.05555555555555555,0.3520321094253895
neutron,P4,5,1.3484733213559603,1.3987893130758864,39.87893130758863,0.0,0.2456451302262356
neutron,P5,4,1.3849719091528856,1.3867713993461481,38.677139934614814,0.0,0.09619046474710106
gamma,P1,29,3.1225374777060697,2.537332874814325,153.7332874814325,0.0,0.6359622881152556
gamma,P2,18,5.581278140679229,5.276133137358645,427.6133137358645,0.0,2.137900708544687
gamma,P3,18,4.7768622358546144,4.207212621214822,320.72126212148225,0.0,1.294310733422648
gamma,P4,5,4.293439625553821,4.640033917773072,364.0033917773071,0.0,0.8978031058426624
gamma,P5,4,3.6338823890469745,3.842402914197163,284.24029141971636,0.0,0.31734939680489055
total,P1,29,1.6365593837046708,1.5403464128056132,54.03464128056132,0.034482758620689655,0.2977091082999038
total,P2,18,1.3568560402389531,1.4844190916427595,48.44190916427597,0.16666666666666666,0.3133749458527254
total,P3,18,1.4522840095709202,1.4094389813825154,40.94389813825156,0.05555555555555555,0.3520636766622378
total,P4,5,1.3497899976432925,1.4000488513161296,40.00488513161295,0.0,0.24571702072746227
total,P5,4,1.3899470445701694,1.3916709383412154,39.16709383412152,0.0,0.09621348967091807
