point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode,measured_neutron_ap_component_uSv_h,u_measured_neutron_ap_component_uSv_h,measured_gamma_ap_component_uSv_h,u_measured_gamma_ap_component_uSv_h,measured_total_ap_estimate_uSv_h,u_measured_total_ap_estimate_uSv_h,neutron_component_available,gamma_component_available,total_estimate_available,neutron_height_interpolation_mode,gamma_height_interpolation_mode,neutron_support_minimum_height_cm,neutron_support_maximum_height_cm,gamma_support_minimum_height_cm,gamma_support_maximum_height_cm,horizontal_position_limit_cm,vertical_uncertainty_scope,result_status,relative_total_uncertainty_percent,hollow_neutron_ap_uSv_h,u_mc_hollow_neutron_ap_uSv_h,hollow_gamma_ap_uSv_h,u_mc_hollow_gamma_ap_uSv_h,hollow_total_ap_uSv_h,u_mc_hollow_total_ap_uSv_h,hollow_grid_status,massive_neutron_ap_uSv_h,u_mc_massive_neutron_ap_uSv_h,massive_gamma_ap_uSv_h,u_mc_massive_gamma_ap_uSv_h,massive_total_ap_uSv_h,u_mc_massive_total_ap_uSv_h,massive_grid_status,hollow_simulation_available,massive_simulation_available,hollow_neutron_comparison_available,hollow_to_measured_neutron_ratio,log10_hollow_to_measured_neutron_ratio,hollow_minus_measured_neutron_relative_residual_percent,massive_neutron_comparison_available,massive_to_measured_neutron_ratio,log10_massive_to_measured_neutron_ratio,massive_minus_measured_neutron_relative_residual_percent,hollow_massive_neutron_comparison_available,hollow_to_massive_neutron_ratio,log10_hollow_to_massive_neutron_ratio,u_mc_hollow_to_massive_neutron_ratio,hollow_minus_massive_neutron_relative_percent,hollow_central_agreement_gain_neutron_log10,hollow_centrally_closer_to_measured_neutron,hollow_gamma_comparison_available,hollow_to_measured_gamma_ratio,log10_hollow_to_measured_gamma_ratio,hollow_minus_measured_gamma_relative_residual_percent,massive_gamma_comparison_available,massive_to_measured_gamma_ratio,log10_massive_to_measured_gamma_ratio,massive_minus_measured_gamma_relative_residual_percent,hollow_massive_gamma_comparison_available,hollow_to_massive_gamma_ratio,log10_hollow_to_massive_gamma_ratio,u_mc_hollow_to_massive_gamma_ratio,hollow_minus_massive_gamma_relative_percent,hollow_central_agreement_gain_gamma_log10,hollow_centrally_closer_to_measured_gamma,hollow_total_comparison_available,hollow_to_measured_total_ratio,log10_hollow_to_measured_total_ratio,hollow_minus_measured_total_relative_residual_percent,massive_total_comparison_available,massive_to_measured_total_ratio,log10_massive_to_measured_total_ratio,massive_minus_measured_total_relative_residual_percent,hollow_massive_total_comparison_available,hollow_to_massive_total_ratio,log10_hollow_to_massive_total_ratio,u_mc_hollow_to_massive_total_ratio,hollow_minus_massive_total_relative_percent,hollow_central_agreement_gain_total_log10,hollow_centrally_closer_to_measured_total,comparison_dependence_status,simulation_measurement_ratio_uncertainty_status,hollow_massive_ratio_uncertainty_status
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,0.0,-35.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,541.6,25.412725161054105,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,,164.43433957310708,5.191593355307401,2.257005275773297,0.0325887554230225,166.6913448488804,5.191695637636319,exact hollow target point,121.49949771851662,3.986761923758079,0.9595209207722926,0.0663805032087654,122.45901863928891,3.987314510787112,exact massive target point,True,True,True,0.3036084556371992,-0.5176861373040956,-69.63915443628008,True,0.22433437540346496,-0.649104173121584,-77.5665624596535,True,1.3533746448405866,0.13141803581748837,0.061627030990718715,35.33746448405865,0.13141803581748834,True,False,,,,False,,,,True,2.352221016668083,0.3714781259966766,0.16623525963888824,135.22210166680827,,,False,,,,False,,,,True,1.361201050776674,0.13392227567673617,0.06133303109726156,36.12010507766741,,,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,0.0,-39.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,470.4833333333332,22.373504640442857,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,,138.60424753662696,4.537362705148299,1.9179268470924056,0.0298823150372951,140.52217438371937,4.537461104056174,exact hollow target point,104.25980719390064,3.4618123974567365,0.7741706392916285,0.0580008058519855,105.03397783319228,3.4622982495251096,exact massive target point,True,True,True,0.29459969719783274,-0.5307677038795995,-70.54003028021674,True,0.22160148895228454,-0.6544273258858977,-77.83985110477154,True,1.3294120837846275,0.12365962200629817,0.06198737483894922,32.94120837846276,0.12365962200629821,True,False,,,,False,,,,True,2.4773954858935516,0.3939953419233545,0.1895773858674384,147.73954858935514,,,False,,,,False,,,,True,1.3378734889664656,0.1264150479299924,0.061734464150941755,33.78734889664656,,,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x6_h42,P1,6.0,42.0,0.0,-50.25000000000003,1.0000000000000142,0.0,-41.405000000000186,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,441.3039994285113,21.79586763767228,43.3431846289391,3.8180871102318377,484.6471840574503,22.12775712222656,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,4.565745525842883,130.8411178126366,4.412204223536289,1.810742117226694,0.029074169570960214,132.65186032058878,4.412300015969045,log-linear hollow interpolation within identical P and height,97.74361891682858,3.3703543803528113,0.730246499453606,0.056091107143203776,98.47423022177767,3.3708220581040904,log-linear massive interpolation within identical P and height,True,True,True,0.2964874961071639,-0.5279936175987678,-70.35125038928362,True,0.22148817831564313,-0.6546494488056691,-77.8511821684357,True,1.3386154437761422,0.1266558312069013,0.06456155378019707,33.861544377614216,0.12665583120690127,True,True,0.04177685910088179,-1.3790642145814505,-95.82231408991183,True,0.016848012108598955,-1.7734513340327684,-98.3151987891401,True,2.4796313554143015,0.39438711945131794,0.19458030567696583,147.96313554143015,0.394387119451318,True,True,0.27370810082920893,-0.5627123487595469,-72.6291899170791,True,0.20318745978745745,-0.6921030991103958,-79.68125402125425,True,1.3470718178942687,0.1293907503508489,0.0642950575348296,34.70718178942686,0.1293907503508489,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x10_h42,P1,10.0,42.0,0.0,-54.25000000000002,1.0000000000000142,0.0,-45.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,388.26219318141176,20.684948730651957,22.70781615686542,2.126203009944749,410.9700093382772,20.79393765570143,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.059721435435827,116.59492794781896,4.172149134104406,1.6140081852305925,0.027522854684893905,118.2089370957573,4.172239918541371,log-linear hollow interpolation within identical P and height,85.90756487870891,3.1946232306277595,0.6497331992293153,0.05245827213836206,86.5581881418096,3.195056403197741,log-linear massive interpolation within identical P and height,True,True,True,0.3002994625679176,-0.522445445037105,-69.97005374320823,True,0.22126173082880987,-0.6550936946452125,-77.873826917119,True,1.3572137461053273,0.1326482496081076,0.07004193025993027,35.72137461053272,0.1326482496081075,True,True,0.07107720857351656,-1.1482696366478775,-92.89227914264835,True,0.02861275583442121,-1.5434403111551223,-97.13872441655786,True,2.484109149948098,0.3951706745072448,0.2049870266798522,148.4109149948098,0.39517067450724475,True,True,0.2876339742797565,-0.5411598179734513,-71.23660257202434,True,0.21061923297318252,-0.6765019731660126,-78.93807670268176,True,1.3656586353458995,0.13534215519256132,0.06974603881951771,36.565863534589944,0.13534215519256132,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x13_h42,P1,13.0,42.0,0.0,-57.25000000000002,1.0000000000000142,0.0,-48.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,352.70818123641214,19.88907859775069,32.3715756021093,3.1596930511005525,385.0797568385215,20.138498147694072,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,45.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.22969535273154,106.93779325204173,4.000718434977635,1.4806164836873787,0.02641393444814073,108.41841097572689,4.000805635707325,log-linear hollow interpolation within identical P and height,77.98097383971461,3.068864431566175,0.5952292152691944,0.04988890351113621,78.57734108243399,3.0692732605247497,log-linear massive interpolation within identical P and height,True,True,True,0.3031905664256872,-0.5182843156158579,-69.68094335743129,True,0.22109204716021533,-0.6554268790248698,-77.89079528397846,True,1.3713318516879027,0.13714256340901196,0.07446179754942756,37.13318516879027,0.13714256340901199,True,True,0.04573816554023102,-1.3397212580006217,-95.4261834459769,True,0.018387403275805018,-1.7354795987998115,-98.16125967241949,True,2.4874728015790777,0.3957583407991899,0.21315693939839875,148.74728015790777,0.3957583407991898,True,True,0.2815479366296339,-0.5504476511098584,-71.84520633703661,True,0.2040547177227611,-0.6902533599337038,-79.5945282277239,True,1.3797668574963258,0.13980570882384538,0.07414175448607807,37.97668574963258,0.13980570882384546,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x30_h42,P1,30.0,42.0,0.0,-74.25000000000001,1.0000000000000142,0.0,-65.40500000000016,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,204.67335269002297,15.924136202664153,18.82758745470974,2.3577351525968493,223.5009401447327,16.097733655728995,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,7.20253509685667,65.51741009743728,3.1541396194330824,0.9081370220307895,0.0209230150552658,66.42554846672864,3.1542090226790096,log-linear hollow interpolation within identical P and height,45.05535125383324,2.4442185394853397,0.36229549278781703,0.03753304754760381,45.41883283509671,2.4445112462907264,log-linear massive interpolation within identical P and height,True,True,True,0.320107181693863,-0.49470458222878966,-67.9892818306137,True,0.22013296143181568,-0.6573149238429283,-77.98670385681844,True,1.4541537969224723,0.1626103416141386,0.10547009493825985,45.415379692247235,0.16261034161413868,True,True,0.048234380757244504,-1.3166432926645,-95.17656192427555,True,0.019242799623654834,-1.715731742451379,-98.07572003763453,True,2.506619707142345,0.39908844978687885,0.26602475623408334,150.6619707142345,0.39908844978687896,True,True,0.2972047832269224,-0.5269442053006221,-70.27952167730776,True,0.20321539947744646,-0.6920433847017453,-79.67846005225536,True,1.4625111285422403,0.16509917940112312,0.10497092581005346,46.25111285422402,0.16509917940112318,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,0.0,-92.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,86.23333333333332,11.186592560827348,9.697431846851996,1.7630818221113624,95.93076518018532,11.324677065303774,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,11.80505236670718,30.08990084111124,2.1621428546034105,0.4178140170293911,0.0144504321312491,30.50771485814063,2.162191142961548,exact hollow target point,18.852180564317575,1.7027957531797662,0.1646666155539271,0.0238849107452606,19.016847179871505,1.7029632603225344,exact massive target point,True,True,True,0.34893584276510914,-0.457254417437564,-65.10641572348908,True,0.21861825161558845,-0.6603135832598445,-78.13817483844116,True,1.5960965755899792,0.20305916582228056,0.18422053266698418,59.60965755899791,0.20305916582228045,True,True,0.0430850171084237,-1.365673730266452,-95.69149828915762,True,0.01698043545491702,-1.7700511766808371,-98.3019564545083,True,2.537332874814325,0.4043774464143851,0.3783580402133121,153.7332874814325,0.4043774464143852,True,True,0.3180180497970432,-0.4975482300004933,-68.19819502029569,True,0.19823512451039502,-0.702819392083175,-80.1764875489605,True,1.604246727629578,0.20527116208268167,0.1832096887198073,60.424672762957805,0.2052711620826817,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x75_h42,P1,75.0,42.0,0.0,-119.25,1.000000000000007,0.0,-110.4050000000001,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,61.64138838162845,9.201473895589984,7.311357434708696,1.5970753629273553,68.95274581633714,9.339045538281384,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,13.544124208130754,22.85554731899054,1.8941039391307672,0.3133202108576305,0.01258094425964576,23.16892225418212,1.8941457278990992,log-linear hollow interpolation within identical P and height,13.768281459998953,1.434848018925993,0.1303878325012306,0.0216452337493879,13.899613959898147,1.4350152524651678,log-linear massive interpolation within identical P and height,True,True,True,0.3707824875307706,-0.43088078625450316,-62.921751246922945,True,0.22336098880119384,-0.6509926764658169,-77.6639011198806,True,1.660014533069567,0.22011189021131386,0.22102810930501787,66.0014533069567,0.22011189021131378,True,True,0.04285390416972741,-1.3680096058964328,-95.71460958302725,True,0.017833601169907187,-1.748760950133616,-98.21663988300928,True,2.402986573572142,0.3807513442371833,0.41041496486020457,140.29865735721424,0.38075134423718326,True,True,0.33601159721608437,-0.4736457329672026,-66.39884027839156,True,0.20158173246532088,-0.6955488266360786,-79.84182675346791,True,1.6668752327242258,0.221903093668876,0.21951204680023517,66.68752327242257,0.22190309366887606,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x87_h42,P1,87.0,42.0,0.0,-131.24999999999997,1.000000000000007,0.0,-122.40500000000009,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,49.2799854205426,8.077874786707422,5.7125063799634965,1.3895907013165003,54.9924918005061,8.196525079990225,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,14.904807568503,19.027082673203005,1.734137070749386,0.2586179588439293,0.011471006009006643,19.285753046971124,1.734175016925445,log-linear hollow interpolation within identical P and height,11.165851099039687,1.280073180350823,0.11159842624344968,0.02027004526286332,11.27834962089045,1.280237889013635,log-linear massive interpolation within identical P and height,True,True,True,0.3861016295120792,-0.4132983654657959,-61.38983704879208,True,0.22657983771206935,-0.644778738603132,-77.34201622879307,True,1.7040423076069338,0.231480373137336,0.24956701101814074,70.40423076069337,0.23148037313733605,True,True,0.04527223982646684,-1.344168018422541,-95.47277601735331,True,0.019535807720911954,-1.7091686278749232,-98.04641922790881,True,2.3173979020076816,0.36500060945238216,0.43328649775363665,131.73979020076817,0.3650006094523821,True,True,0.35069793012713846,-0.45506679738343847,-64.93020698728616,True,0.20508889944111705,-0.6880578454431105,-79.49111005588829,True,1.7099800675844337,0.23299104805967205,0.24762719679432021,70.99800675844335,0.23299104805967208,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,0.0,-149.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,29.782861896838607,6.026102075492008,4.47833819232504,1.387265781208173,34.26120008916365,6.183721579434201,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,18.04875942273262,12.595879840260842,1.4218787247925404,0.1679448868804192,0.0093185880395777,12.763824727141262,1.4219092601501375,exact hollow target point,6.968977289841893,0.9901473160782884,0.078633087786375,0.0174868950933054,7.047610377628268,0.990301721212804,exact massive target point,True,True,True,0.4229237567528012,-0.37373791869120454,-57.70762432471988,True,0.2339928685826407,-0.6307973784120906,-76.60071314173594,True,1.8074215650868635,0.257059459720886,0.32798311645686073,80.74215650868635,0.25705945972088606,True,True,0.037501608781633,-1.4259501010723041,-96.2498391218367,True,0.017558541675377733,-1.7555115572588837,-98.24414583246224,True,2.1358042982704735,0.32956145618657967,0.4895336706244805,113.58042982704737,0.3295614561865796,True,True,0.372544589621024,-0.42882173937898793,-62.7455410378976,True,0.20570237934710672,-0.6867606848179513,-79.42976206528932,True,1.8110854663104505,0.25793894543896334,0.3247606484561066,81.10854663104506,0.25793894543896334,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
N5_P1_x124_h42,P1,124.0,42.0,0.0,-168.24999999999994,1.0,0.0,-159.40500000000003,1.0,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,27.32330208867031,5.828244167195386,3.650435823392263,1.2258605658474395,30.97373791206257,5.955767305674966,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,19.2284422454402,11.834274804564835,1.3947927446399724,0.15106411562349314,0.008814141487706772,11.986033482613676,1.3948209426496863,log-linear hollow interpolation within identical P and height,6.259444171749631,0.9377029726671784,0.06288109682934487,0.015266743749939754,6.3242092264691125,0.9378342148295898,log-linear massive interpolation within identical P and height,True,True,True,0.43312022705600994,-0.3633915339019158,-56.687977294399005,True,0.22908812966442765,-0.6399974134504781,-77.09118703355723,True,1.8906271035974327,0.2766058795485623,0.36037629828864653,89.06271035974326,0.2766058795485623,True,True,0.041382487717072876,-1.3831834051801357,-95.86175122829272,True,0.01722564095673129,-1.7638246092582124,-98.27743590432688,True,2.4023772364128946,0.38064120407807683,0.5998738416275122,140.23772364128945,0.38064120407807667,True,True,0.3869740719264553,-0.41231813264644845,-61.30259280735448,True,0.20417972297770945,-0.6899873897522727,-79.58202770222906,True,1.8952620087975225,0.27766925710582424,0.3572598037347824,89.52620087975225,0.27766925710582424,True,Notebook 5 AP estimates use massive Notebook 3 conversion fields; simulation-to-measurement ratios are descriptive,not propagated as independent because cross-covariance is unavailable,OpenMC batch-statistical standard uncertainty; independent-run assumption
