position,distance_cm,height_cm,common_dose_x_cm_hollow,common_dose_y_cm_hollow,common_dose_z_cm_hollow,common_dose_x_cm_massive,common_dose_y_cm_massive,common_dose_z_cm_massive,delta_x_cm,delta_y_cm,delta_z_cm
P1,0.0,42.0,0.0,-44.25,1.0,0.0,-44.25,1.0,0.0,0.0,0.0
P1,4.0,42.0,0.0,-48.25,1.0,0.0,-48.25,1.0,0.0,0.0,0.0
P1,57.0,42.0,0.0,-101.25,1.0,0.0,-101.25,1.0,0.0,0.0,0.0
P1,114.0,42.0,0.0,-158.25,1.0,0.0,-158.25,1.0,0.0,0.0,0.0
P1,176.0,42.0,0.0,-220.25,1.0,0.0,-220.25,1.0,0.0,0.0,0.0
P1,199.0,42.0,0.0,-243.25,1.0,0.0,-243.25,1.0,0.0,0.0,0.0
P1,320.0,42.0,0.0,-364.25,1.0,0.0,-364.25,1.0,0.0,0.0,0.0
P1,420.0,42.0,0.0,-464.25,1.0,0.0,-464.25,1.0,0.0,0.0,0.0
P1,0.0,85.0,0.0,-44.25,44.0,0.0,-44.25,44.0,0.0,0.0,0.0
P1,4.0,85.0,0.0,-48.25,44.0,0.0,-48.25,44.0,0.0,0.0,0.0
P1,7.0,85.0,0.0,-51.25,44.0,0.0,-51.25,44.0,0.0,0.0,0.0
P1,57.0,85.0,0.0,-101.25,44.0,0.0,-101.25,44.0,0.0,0.0,0.0
P1,114.0,85.0,0.0,-158.25,44.0,0.0,-158.25,44.0,0.0,0.0,0.0
P1,176.0,85.0,0.0,-220.25,44.0,0.0,-220.25,44.0,0.0,0.0,0.0
P1,199.0,85.0,0.0,-243.25,44.0,0.0,-243.25,44.0,0.0,0.0,0.0
P1,320.0,85.0,0.0,-364.25,44.0,0.0,-364.25,44.0,0.0,0.0,0.0
P1,420.0,85.0,0.0,-464.25,44.0,0.0,-464.25,44.0,0.0,0.0,0.0
P2,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,51.51561146012848,-42.51561146012848,14.0,0.0,0.0,0.0
P2,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,90.40648442538858,-81.40648442538858,14.0,0.0,0.0,0.0
P2,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,130.7115709530218,-121.7115709530218,14.0,0.0,0.0,0.0
P2,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,174.55219138658774,-165.55219138658774,14.0,0.0,0.0,0.0
P2,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,190.81564735387835,-181.81564735387835,14.0,0.0,0.0,0.0
P2,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,277.0826746586372,-268.0826746586372,14.0,0.0,0.0,0.0
P2,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,347.0862459961053,-338.0862459961053,14.0,0.0,0.0,0.0
P2,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,50.10139789775538,-41.10139789775538,44.0,0.0,0.0,0.0
P2,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,53.63693180368812,-44.63693180368812,44.0,0.0,0.0,0.0
P2,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,71.3146013333518,-62.3146013333518,44.0,0.0,0.0,0.0
P2,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,90.40648442538858,-81.40648442538858,44.0,0.0,0.0,0.0
P2,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,130.7115709530218,-121.7115709530218,44.0,0.0,0.0,0.0
P2,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,160.4100557628568,-151.4100557628568,44.0,0.0,0.0,0.0
P2,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,174.55219138658774,-165.55219138658774,44.0,0.0,0.0,0.0
P2,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,190.81564735387835,-181.81564735387835,44.0,0.0,0.0,0.0
P2,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,262.2334322537196,-253.23343225371963,44.0,0.0,0.0,0.0
P2,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,277.0826746586372,-268.0826746586372,44.0,0.0,0.0,0.0
P3,0.0,45.0,53.25,0.0,4.0,53.25,0.0,4.0,0.0,0.0,0.0
P3,5.0,45.0,58.25,0.0,4.0,58.25,0.0,4.0,0.0,0.0,0.0
P3,57.0,45.0,110.25,0.0,4.0,110.25,0.0,4.0,0.0,0.0,0.0
P3,114.0,45.0,167.25,0.0,4.0,167.25,0.0,4.0,0.0,0.0,0.0
P3,176.0,45.0,229.25,0.0,4.0,229.25,0.0,4.0,0.0,0.0,0.0
P3,199.0,45.0,252.25,0.0,4.0,252.25,0.0,4.0,0.0,0.0,0.0
P3,225.0,45.0,278.25,0.0,4.0,278.25,0.0,4.0,0.0,0.0,0.0
P3,300.0,45.0,353.25,0.0,4.0,353.25,0.0,4.0,0.0,0.0,0.0
P3,0.0,85.0,53.25,0.0,44.0,53.25,0.0,44.0,0.0,0.0,0.0
P3,5.0,85.0,58.25,0.0,44.0,58.25,0.0,44.0,0.0,0.0,0.0
P3,57.0,85.0,110.25,0.0,44.0,110.25,0.0,44.0,0.0,0.0,0.0
P3,100.0,85.0,153.25,0.0,44.0,153.25,0.0,44.0,0.0,0.0,0.0
P3,114.0,85.0,167.25,0.0,44.0,167.25,0.0,44.0,0.0,0.0,0.0
P3,176.0,85.0,229.25,0.0,44.0,229.25,0.0,44.0,0.0,0.0,0.0
P3,200.0,85.0,253.25,0.0,44.0,253.25,0.0,44.0,0.0,0.0,0.0
P3,225.0,85.0,278.25,0.0,44.0,278.25,0.0,44.0,0.0,0.0,0.0
P3,300.0,85.0,353.25,0.0,44.0,353.25,0.0,44.0,0.0,0.0,0.0
P3,400.0,85.0,453.25,0.0,44.0,453.25,0.0,44.0,0.0,0.0,0.0
P4,0.0,42.0,50.10139789775538,41.10139789775538,1.0,50.10139789775538,41.10139789775538,1.0,0.0,0.0,0.0
P4,20.0,42.0,64.24353352148633,55.243533521486334,1.0,64.24353352148633,55.243533521486334,1.0,0.0,0.0,0.0
P4,71.0,42.0,100.30597936200024,91.30597936200024,1.0,100.30597936200024,91.30597936200024,1.0,0.0,0.0,0.0
P4,85.0,45.0,110.20547429861192,101.20547429861192,4.0,110.20547429861192,101.20547429861192,4.0,0.0,0.0,0.0
P4,152.0,113.0,157.5816286381106,148.5816286381106,72.0,157.5816286381106,148.5816286381106,72.0,0.0,0.0,0.0
P5,0.0,45.0,0.0,44.25,4.0,0.0,44.25,4.0,0.0,0.0,0.0
P5,6.0,45.0,0.0,50.25,4.0,0.0,50.25,4.0,0.0,0.0,0.0
P5,0.0,85.0,0.0,44.25,44.0,0.0,44.25,44.0,0.0,0.0,0.0
P5,6.0,85.0,0.0,50.25,44.0,0.0,50.25,44.0,0.0,0.0,0.0
