position,distance_cm,common_dose_x_cm,common_dose_y_cm,median_log10_ratio,represented_target_heights,comparison
P1,0.0,0.0,-44.25,,"42, 85",Hollow / measured
P1,4.0,0.0,-48.25,,"42, 85",Hollow / measured
P1,6.0,0.0,-50.25000000000003,-0.5627123487595469,42,Hollow / measured
P1,7.0,0.0,-51.25,,85,Hollow / measured
P1,10.0,0.0,-54.25000000000002,-0.5411598179734513,42,Hollow / measured
P1,13.0,0.0,-57.25000000000002,-0.5504476511098584,42,Hollow / measured
P1,30.0,0.0,-74.25000000000001,-0.5269442053006221,42,Hollow / measured
P1,57.0,0.0,-101.25,-0.4975482300004933,"42, 85",Hollow / measured
P1,75.0,0.0,-119.25,-0.4736457329672026,42,Hollow / measured
P1,87.0,0.0,-131.24999999999997,-0.45506679738343847,42,Hollow / measured
P1,114.0,0.0,-158.25,-0.42882173937898793,"42, 85",Hollow / measured
P1,124.0,0.0,-168.24999999999994,-0.41231813264644845,42,Hollow / measured
P1,164.0,0.0,-208.24999999999997,-0.3275077237147585,42,Hollow / measured
P1,176.0,0.0,-220.25,-0.3162719301547356,"42, 85",Hollow / measured
P1,184.0,0.0,-228.2499999999999,-0.3538406541753756,42,Hollow / measured
P1,199.0,0.0,-243.25,-0.40631840455593393,"42, 85",Hollow / measured
P1,203.0,0.0,-247.2499999999999,-0.4036344426308056,42,Hollow / measured
P1,320.0,0.0,-364.25,-0.3664563661321906,"42, 85",Hollow / measured
P1,321.0,0.0,-365.24999999999983,-0.366886443492464,42,Hollow / measured
P1,334.0,0.0,-378.24999999999983,-0.35620474732516544,42,Hollow / measured
P1,420.0,0.0,-464.25,,"42, 85",Hollow / measured
P2,0.0,50.10139789775538,-41.10139789775538,,85,Hollow / measured
P2,2.0,51.51561146012848,-42.51561146012848,-0.3319222681854173,55,Hollow / measured
P2,5.0,53.63693180368812,-44.63693180368812,,85,Hollow / measured
P2,30.0,71.3146013333518,-62.3146013333518,,85,Hollow / measured
P2,57.0,90.40648442538858,-81.40648442538858,-0.4082177217382096,"55, 85",Hollow / measured
P2,114.0,130.7115709530218,-121.7115709530218,-0.49482294650804604,"55, 85",Hollow / measured
P2,156.0,160.4100557628568,-151.4100557628568,,85,Hollow / measured
P2,176.0,174.55219138658774,-165.55219138658774,-0.7692600786170662,"55, 85",Hollow / measured
P2,199.0,190.81564735387835,-181.81564735387835,-0.5772816818203629,"55, 85",Hollow / measured
P2,200.0,191.5227541350648,-182.5227541350648,-0.6949120546014683,85,Hollow / measured
P2,300.0,262.2334322537196,-253.23343225371963,,85,Hollow / measured
P2,321.0,277.0826746586372,-268.0826746586372,-0.4619712013881413,"55, 85",Hollow / measured
P2,400.0,332.9441103723741,-323.9441103723741,,85,Hollow / measured
P2,420.0,347.0862459961053,-338.0862459961053,,55,Hollow / measured
P3,0.0,53.25,0.0,,"45, 85",Hollow / measured
P3,5.0,58.25,0.0,-0.20042872393100086,"45, 85",Hollow / measured
