comparison,component,position,number_of_points,geometric_mean_ratio,median_ratio,minimum_ratio,maximum_ratio,fraction_between_0_5_and_2
hollow_to_measured,neutron,P1,29,0.4844875715971554,0.47338969895995453,0.29459969719783274,1.8502806674229428,0.3103448275862069
hollow_to_measured,neutron,P2,18,0.34480925656728234,0.34615399640266153,0.15249947345788648,0.5782652861846603,0.2777777777777778
hollow_to_measured,neutron,P3,18,0.4809321154323943,0.43215202351748727,0.2669018214403293,0.914956059428963,0.3888888888888889
hollow_to_measured,neutron,P4,5,0.42025625410732226,0.6387600147981476,0.08717498055311101,0.7477390882004665,0.6
hollow_to_measured,neutron,P5,4,0.6952585307827488,0.7239057238138749,0.5163122482956709,0.9284736973352706,1.0
hollow_to_measured,gamma,P1,17,0.06797467658596829,0.06430575235199429,0.037501608781633,0.21580912571404848,0.0
hollow_to_measured,gamma,P2,9,0.028114360224309895,0.030086170683800564,0.00484232478772911,0.16175902783062157,0.0
hollow_to_measured,gamma,P3,5,0.03240905445185271,0.032663286684980045,0.02548707993752923,0.04295678131265348,0.0
hollow_to_measured,gamma,P4,3,0.011631645897441086,0.010892795968423118,0.010860218205523253,0.013302877661809764,0.0
hollow_to_measured,gamma,P5,3,0.021897664016920965,0.021126342477152397,0.018655591341391994,0.026641583118953656,0.0
hollow_to_measured,total,P1,17,0.36973875828423425,0.3869740719264553,0.27370810082920893,0.48275643315331973,0.0
hollow_to_measured,total,P2,9,0.27227502690758737,0.32001995034589,0.1316069081381026,0.46566943349707624,0.0
hollow_to_measured,total,P3,5,0.4555607315917927,0.4492129435113433,0.355151126550773,0.630334787552113,0.4
hollow_to_measured,total,P4,3,0.31394350797276277,0.5987540026323394,0.08623655518938095,0.5992591731052419,0.6666666666666666
hollow_to_measured,total,P5,3,0.5623814794912746,0.5015628101751058,0.4883078543385404,0.7262296782877223,0.6666666666666666
massive_to_measured,neutron,P1,29,0.2976642121462051,0.22657983771206935,0.11855203340091043,1.2008099931104221,0.13793103448275862
massive_to_measured,neutron,P2,18,0.2549953854097606,0.2849718222948938,0.1418297371778168,0.4469192034429448,0.0
massive_to_measured,neutron,P3,18,0.33189524982382346,0.3357002344340834,0.11830708077882665,0.6337064483080879,0.2222222222222222
massive_to_measured,neutron,P4,5,0.3116533693708769,0.4103201044615439,0.07274479848629439,0.6499088772765779,0.2
massive_to_measured,neutron,P5,4,0.5020019006797054,0.5195509425533549,0.37233460206446073,0.6694819674815705,0.5
massive_to_measured,gamma,P1,17,0.020653980387070843,0.017833601169907187,0.015480783254069354,0.05611895943498173,0.0
massive_to_measured,gamma,P2,9,0.005793799929775256,0.005735715663342915,0.0017042664094844271,0.015562321141666984,0.0
massive_to_measured,gamma,P3,5,0.007362607175611457,0.007524196083764308,0.005969106428986884,0.008670475077169056,0.0
massive_to_measured,gamma,P4,3,0.002359458971906367,0.002424415527248265,0.001976344367886401,0.0027413697264487774,0.0
massive_to_measured,gamma,P5,3,0.0063894435156444055,0.006300920183015396,0.006139804634982417,0.006742649352918262,0.0
massive_to_measured,total,P1,17,0.21424884466582717,0.2040547177227611,0.14608046618943457,0.3677242400245631,0.0
massive_to_measured,total,P2,9,0.24912288345346079,0.27895880952614865,0.14997733661662824,0.3064522298573799,0.0
massive_to_measured,total,P3,5,0.3470759487817092,0.3541625542371498,0.24651854926301023,0.4816406898878255,0.0
massive_to_measured,total,P4,3,0.2277899625279476,0.3843015372482601,0.07185551835854476,0.4280273310048449,0.0
massive_to_measured,total,P5,3,0.4087316686008802,0.37292223127649804,0.3516341917568547,0.520721479910812,0.3333333333333333
hollow_to_massive,neutron,P1,29,1.6276312429496482,1.540860484205512,0.8242805674501511,3.9930964099036625,0.7931034482758621
hollow_to_massive,neutron,P2,18,1.3522176333238227,1.4808835223843402,0.7097266647309849,2.153141968867407,0.8888888888888888
hollow_to_massive,neutron,P3,18,1.4490479019741396,1.4061202768050327,0.42117580175004016,3.1453628391417183,0.7777777777777778
hollow_to_massive,neutron,P4,5,1.3484733213559603,1.3987893130758864,1.1505291193033753,1.556735845630527,1.0
hollow_to_massive,neutron,P5,4,1.3849719091528856,1.3867713993461481,1.3434012995928704,1.4241257675232322,1.0
hollow_to_massive,gamma,P1,29,3.1225374777060697,2.537332874814325,1.4833736843558236,6.363824378100862,0.06896551724137931
hollow_to_massive,gamma,P2,18,5.581278140679229,5.276133137358645,1.6840750410105672,17.176376209535512,0.05555555555555555
hollow_to_massive,gamma,P3,18,4.7768622358546144,4.207212621214822,2.094786794758171,25.974354237443112,0.0
hollow_to_massive,gamma,P4,5,4.293439625553821,4.640033917773072,2.624335880099199,5.511588033654482,0.0
hollow_to_massive,gamma,P5,4,3.6338823890469745,3.842402914197163,2.766804317551785,4.339158117044867,0.0
hollow_to_massive,total,P1,29,1.6365593837046708,1.5403464128056132,0.8338007332597065,3.919182277740478,0.7931034482758621
hollow_to_massive,total,P2,18,1.3568560402389531,1.4844190916427595,0.7138463672704884,2.16198820902746,0.8888888888888888
hollow_to_massive,total,P3,18,1.4522840095709202,1.4094389813825154,0.4246300900246029,3.1488797583691968,0.7777777777777778
hollow_to_massive,total,P4,5,1.3497899976432925,1.4000488513161296,1.1519449720050918,1.5580317656797251,1.0
hollow_to_massive,total,P5,4,1.3899470445701694,1.3916709383412154,1.34495282959741,1.4328966014326892,1.0
