category,name,value
box,BOX_CLEARANCE_CM,15.0
box,BOX_SIZE_X_CM,600.0
box,BOX_SIZE_Y_CM,600.0
box,BOX_SIZE_Z_CM,250.0
box,BOX_XMIN,-57.5
box,BOX_XMAX,542.5
box,BOX_YMIN,-551.5
box,BOX_YMAX,48.5
box,BOX_ZMIN,-56.0
box,BOX_ZMAX,194.0
box,CABINET_XMIN,-42.5
box,CABINET_XMAX,42.5
box,CABINET_YMIN,-33.5
box,CABINET_YMAX,33.5
box,CABINET_ZMIN,-41.0
box,CABINET_ZMAX,55.0
source,SOURCE_NEUTRON_EMISSION_n_per_s,12000000.0
source,SOURCE_GAMMA_EMISSION_photons_per_s,7825217.082711654
source,GAMMA_PER_NEUTRON_RATIO,0.6521014235593044
run,SURFACE_CURRENT_BATCHES,500.0
run,SURFACE_CURRENT_PARTICLES,200000.0
run,SURFACE_CURRENT_INACTIVE,0.0
run,number_of_models,4.0
