model_key,scenario,scenario_label,particle,side,openmc_net_current_per_source,openmc_net_current_std_per_source,outward_sign,outward_current_per_source,outward_current_std_per_source,surface_area_cm2,outward_current_per_source_per_cm2,outward_current_std_per_source_per_cm2,source_rate,source_rate_unit,outward_current_rate,outward_current_rate_std,current_rate_unit,relative_uncertainty
full_geometry_neutron,full_geometry,Full geometry,neutron,x_min,-0.08664135999867348,2.8638957383288928e-05,-1.0,0.08664135999867348,2.8638957383288928e-05,150000.0,5.776090666578232e-07,1.909263825552595e-10,12000000.0,n/s,1039696.3199840818,343.6674885994671,n/s,0.0003305460277138702
full_geometry_neutron,full_geometry,Full geometry,neutron,x_max,0.031268849998689105,1.6802705642625646e-05,1.0,0.031268849998689105,1.6802705642625646e-05,150000.0,2.084589999912607e-07,1.1201803761750431e-10,12000000.0,n/s,375226.1999842693,201.63246771150776,n/s,0.0005373624435606065
full_geometry_neutron,full_geometry,Full geometry,neutron,y_min,-0.03957602999932828,1.968649523172099e-05,-1.0,0.03957602999932828,1.968649523172099e-05,150000.0,2.6384019999552184e-07,1.312433015448066e-10,12000000.0,n/s,474912.35999193933,236.23794278065188,n/s,0.0004974348167831672
full_geometry_neutron,full_geometry,Full geometry,neutron,y_max,0.08539545999776739,2.924393601759487e-05,1.0,0.08539545999776739,2.924393601759487e-05,150000.0,5.693030666517826e-07,1.9495957345063249e-10,12000000.0,n/s,1024745.5199732087,350.92723221113846,n/s,0.00034245305333983135
full_geometry_neutron,full_geometry,Full geometry,neutron,z_min,-0.08149524999869157,2.5939438748315972e-05,-1.0,0.08149524999869157,2.5939438748315972e-05,360000.0,2.263756944408099e-07,7.205399652309993e-11,12000000.0,n/s,977942.9999842988,311.27326497979163,n/s,0.00031829387294023196
full_geometry_neutron,full_geometry,Full geometry,neutron,z_max,0.07154934999827693,2.4500502152426665e-05,1.0,0.07154934999827693,2.4500502152426665e-05,360000.0,1.9874819443965813e-07,6.805695042340741e-11,12000000.0,n/s,858592.1999793232,294.00602582911995,n/s,0.0003424280186055735
full_geometry_photon,full_geometry,Full geometry,photon,x_min,-0.016050989999999994,1.3475589888586417e-05,-1.0,0.016050989999999994,1.3475589888586417e-05,150000.0,1.0700659999999997e-07,8.983726592390945e-11,7825217.082711654,photons/s,125602.48114243388,105.44941619578286,photons/s,0.0008395488308563161
full_geometry_photon,full_geometry,Full geometry,photon,x_max,0.00210949,4.517055166228654e-06,1.0,0.00210949,4.517055166228654e-06,150000.0,1.4063266666666667e-08,3.011370110819103e-11,7825217.082711654,photons/s,16507.217183809407,35.34693725032339,photons/s,0.002141302004858356
full_geometry_photon,full_geometry,Full geometry,photon,y_min,-0.010285130000000007,9.8191291260086e-06,-1.0,0.010285130000000007,9.8191291260086e-06,150000.0,6.856753333333337e-08,6.546086084005734e-11,7825217.082711654,photons/s,80483.37497391016,76.83681697419405,photons/s,0.0009546917857147741
full_geometry_photon,full_geometry,Full geometry,photon,y_max,0.009175149999999993,9.621455180993593e-06,1.0,0.009175149999999993,9.621455180993593e-06,150000.0,6.116766666666663e-08,6.414303453995728e-11,7825217.082711654,photons/s,71797.54051644178,75.2899754428556,photons/s,0.0010486428212065852
full_geometry_photon,full_geometry,Full geometry,photon,z_min,-0.009323810000000007,1.0073162612093231e-05,-1.0,0.009323810000000007,1.0073162612093231e-05,360000.0,2.589947222222224e-08,2.7981007255814532e-11,7825217.082711654,photons/s,72960.8372879578,78.82468414908429,photons/s,0.0010803697857520932
full_geometry_photon,full_geometry,Full geometry,photon,z_max,0.015019569999999994,1.2243534558205753e-05,1.0,0.015019569999999994,1.2243534558205753e-05,360000.0,4.172102777777776e-08,3.4009818217238204e-11,7825217.082711654,photons/s,117531.39573898342,95.80831577764214,photons/s,0.0008151721093350713
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,x_min,-0.1782572200000001,3.701933285624806e-05,-1.0,0.1782572200000001,3.701933285624806e-05,150000.0,1.1883814666666673e-06,2.467955523749871e-10,12000000.0,n/s,2139086.640000001,444.2319942749768,n/s,0.00020767367995668304
