particle,side,leakage_value,side_fraction_of_total_leakage,order_number_1_is_largest,unit,share_of_total_percent
neutron,x_min,1039696.3199840818,0.21883204020685057,1,n/s,21.883204020685056
neutron,y_max,1024745.5199732087,0.21568524242925138,2,n/s,21.56852424292514
neutron,z_min,977942.9999842988,0.2058343939274967,3,n/s,20.583439392749668
neutron,z_max,858592.1999793232,0.18071380961513855,4,n/s,18.071380961513857
neutron,y_min,474912.35999193933,0.09995807300546905,5,n/s,9.995807300546906
neutron,x_max,375226.1999842693,0.07897644081579372,6,n/s,7.897644081579372
photon,x_min,125602.48114243388,0.2590367590028684,1,photons/s,25.90367590028684
photon,z_max,117531.39573898342,0.2423913250470352,2,photons/s,24.23913250470352
photon,y_min,80483.37497391016,0.1659851972447291,3,photons/s,16.59851972447291
photon,z_min,72960.8372879578,0.15047106277921404,4,photons/s,15.047106277921404
photon,y_max,71797.54051644178,0.14807193321814832,5,photons/s,14.807193321814832
photon,x_max,16507.217183809407,0.034043722708004986,6,photons/s,3.404372270800499
