position,point_name,distance_cm,height_cm,gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class
P1,P1_x176_h42,176.0,42.0,1.9000138854469026,0.4941729198822211,26.008910969931495,very high
P1,P1_x199_h42,199.0,42.0,1.1566768462971817,0.4078521746385294,35.260684602114104,very high
P1,P1_x320_h42,320.0,42.0,0.18459654584585997,0.14496500654889416,78.53072541776673,very high
P1,P1_x420_h42,420.0,42.0,0.37899001594128146,0.22595896218262587,59.62134955492724,very high
P1,P1_x199_h85,199.0,85.0,0.6746993437369094,0.2305694483222472,34.17365830611433,very high
P1,P1_x320_h85,320.0,85.0,0.5445749701766182,0.26159552688143334,48.03664163936728,very high
P1,P1_x420_h85,420.0,85.0,0.6039200678260572,0.26874478726482387,44.50005912739904,very high
P2,P2_x114_h55,114.0,55.0,0.30237908147310105,0.10082546488317574,33.34406083647851,very high
P2,P2_x176_h55,176.0,55.0,0.21633561747459293,0.13132075612068747,60.70232800944586,very high
P2,P2_x199_h55,199.0,55.0,0.25411053194396854,0.10112346785494811,39.79507149166327,very high
P2,P2_x321_h55,321.0,55.0,0.16098688435732622,0.09468689058949374,58.816524692363686,very high
P2,P2_x420_h55,420.0,55.0,0.051355844277005645,0.021471432805380077,41.80913215946061,very high
P2,P2_x114_h85,114.0,85.0,0.2139681325538592,0.06689784422669832,31.265330695849798,very high
P2,P2_x156_h85,156.0,85.0,0.2360432686046937,0.09036798924066346,38.28450172498014,very high
P2,P2_x176_h85,176.0,85.0,0.08428614404174806,0.04620902488160958,54.82398727212106,very high
P2,P2_x199_h85,199.0,85.0,0.11139133398640456,0.045060089467449466,40.45206018714984,very high
P2,P2_x300_h85,300.0,85.0,0.10182230200603486,0.07148000622048874,70.20073678579003,very high
P2,P2_x321_h85,321.0,85.0,0.057614374596926636,0.024337741528740357,42.24248149703706,very high
P3,P3_x114_h45,114.0,45.0,0.21437669977378998,0.054878711827606175,25.59919612789735,very high
P3,P3_x176_h45,176.0,45.0,0.10521930713033571,0.030347313285450216,28.841962671222344,very high
P3,P3_x199_h45,199.0,45.0,0.09328239742883566,0.055932809294732835,59.96073303905326,very high
P3,P3_x225_h45,225.0,45.0,0.10811689386698904,0.0568809587048862,52.61061122868003,very high
P3,P3_x300_h45,300.0,45.0,0.04890942298060889,0.01708559523093029,34.93313596789767,very high
P3,P3_x176_h85,176.0,85.0,0.09577398416829484,0.025463579239301353,26.587156690230763,very high
P3,P3_x200_h85,200.0,85.0,0.0709781111615854,0.021507661535619404,30.301822891082693,very high
P3,P3_x225_h85,225.0,85.0,0.03774006376381589,0.012429330097688096,32.93404636376102,very high
P3,P3_x300_h85,300.0,85.0,0.053207429164500906,0.01809722951942583,34.01259899905105,very high
P3,P3_x400_h85,400.0,85.0,0.03319933622669969,0.016639431783064578,50.119772484134046,very high
P4,P4_x152_h113,152.0,113.0,0.09243975077877503,0.026233222864052646,28.37872521620431,very high
