position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-35.405,1.0,0.0,-33.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x0_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.697054982842518e-06,3.0587762725830715e-07,62.047188625350756,2.182215344413969,3.517025336297633,low
P1,P1_x4_h42,4.0,42.0,0.0,-39.405,1.0,0.0,-37.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x4_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,7.345328394078227e-06,2.967927728746694e-07,52.40359837687933,2.1174014879203105,4.040565063284884,low
P1,P1_x57_h42,57.0,42.0,0.0,-92.405,1.0,0.0,-90.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x57_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.3612508844314652e-06,1.5609065390382852e-07,9.711539200266092,1.1135937699062102,11.466707253528856,high
P1,P1_x114_h42,114.0,42.0,0.0,-149.405,1.0,0.0,-147.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x114_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.4481855686174426e-07,7.524018694035755e-08,2.4600306749042997,0.5367842425401338,21.820225577513003,high
P1,P1_x176_h42,176.0,42.0,0.0,-211.405,1.0,0.0,-209.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x176_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.6632190105619866e-07,6.926742613913575e-08,1.9000138854469026,0.4941729198822211,26.008910969931495,very high
P1,P1_x199_h42,199.0,42.0,0.0,-234.405,1.0,0.0,-232.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x199_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.62129539669705e-07,5.7167985629794154e-08,1.1566768462971817,0.4078521746385294,35.260684602114104,very high
P1,P1_x320_h42,320.0,42.0,0.0,-355.405,1.0,0.0,-353.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x320_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.5874601967192323e-08,2.031951262379587e-08,0.18459654584585997,0.14496500654889416,78.53072541776673,very high
P1,P1_x420_h42,420.0,42.0,0.0,-455.405,1.0,0.0,-453.5,1.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x420_h42,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,5.312242310432408e-08,3.167230557107649e-08,0.37899001594128146,0.22595896218262587,59.62134955492724,very high
P1,P1_x0_h85,0.0,85.0,0.0,-35.405,44.0,0.0,-33.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x0_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,6.300561849317298e-07,3.6460955140192655e-08,4.494994573237803,0.26012250876958154,5.786937103735187,moderate
P1,P1_x4_h85,4.0,85.0,0.0,-39.405,44.0,0.0,-37.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x4_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,6.898987213768465e-07,3.858906374105024e-08,4.921927730950924,0.2753050223943816,5.593438941883696,moderate
P1,P1_x7_h85,7.0,85.0,0.0,-42.405,44.0,0.0,-40.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x7_h85,2,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_2/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.580119593510873e-07,4.875976724439279e-08,6.121293931070884,0.3478656259514901,5.682877343722541,moderate
P1,P1_x57_h85,57.0,85.0,0.0,-92.405,44.0,0.0,-90.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x57_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,6.100636416850815e-07,6.268623539431553e-08,4.352362256393484,0.4472208902205883,10.27535999705987,high
P1,P1_x114_h85,114.0,85.0,0.0,-149.405,44.0,0.0,-147.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x114_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.487888212455187e-07,5.4134347873853665e-08,2.488355635893801,0.38620936630454034,15.520665966455251,high
P1,P1_x176_h85,176.0,85.0,0.0,-211.405,44.0,0.0,-209.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x176_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.127221010227469e-07,5.1782166986597123e-08,1.517618130847488,0.36942825919639016,24.34263611427001,high
P1,P1_x199_h85,199.0,85.0,0.0,-234.405,44.0,0.0,-232.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x199_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,9.457152563025564e-08,3.2318550023762896e-08,0.6746993437369094,0.2305694483222472,34.17365830611433,very high
P1,P1_x320_h85,320.0,85.0,0.0,-355.405,44.0,0.0,-353.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x320_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,7.633220074649431e-08,3.6667425728035915e-08,0.5445749701766182,0.26159552688143334,48.03664163936728,very high
P1,P1_x420_h85,420.0,85.0,0.0,-455.405,44.0,0.0,-453.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x420_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.465050796804753e-08,3.766952609742479e-08,0.6039200678260572,0.26874478726482387,44.50005912739904,very high
P2,P2_x2_h55,2.0,55.0,45.261251980533466,-36.261251980533466,14.0,43.91421356237309,-34.91421356237309,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x2_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,7.181070522598606e-08,5.674472832442137e-09,0.5123173742452237,0.040483254030077576,7.901987335432435,moderate
P2,P2_x57_h55,57.0,55.0,84.15212494579359,-75.15212494579359,14.0,82.80508652763322,-73.80508652763322,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x57_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,9.34981961916127e-08,1.843966859002332e-08,0.6670419155306945,0.1315536808093386,19.721951161746006,high
