position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,tally,detector_volume_cm3,flux_per_source [n/cm2/source],u_mc_per_source [n/cm2/source],flux_physical [n/cm2/s],u_mc_physical [n/cm2/s],rel_u_mc [%],mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,flux_P1_x0_h42,8.0,1.6192697019780974e-05,4.2049671779017347e-07,177.15521207066476,4.6004186408314744,2.5968294057283683,low
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,flux_P1_x4_h42,8.0,1.3407334342800035e-05,4.088518463335421e-07,146.68212194049772,4.473018636377919,3.049464090922014,low
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,flux_P1_x57_h42,8.0,2.9444932548701106e-06,1.8519318115034994e-07,32.214048491732484,2.0260946796357118,6.28947547575616,moderate
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,flux_P1_x114_h42,8.0,1.0596917653082646e-06,1.165048215574507e-07,11.593492991525263,1.274613879642905,10.994217882174388,high
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,flux_P1_x176_h42,8.0,5.02431292746349e-07,7.909939415253508e-08,5.496818850416658,0.8653820872851108,15.743325564012627,high
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,flux_P1_x199_h42,8.0,3.7125712674656807e-07,6.53658969769152e-08,4.06171590447158,0.7151316008067488,17.606637628679394,high
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,flux_P1_x320_h42,8.0,1.1812187688371287e-07,3.6890026135311267e-08,1.292305174607791,0.4035930762682689,31.23047745984285,very high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,flux_P1_x420_h42,8.0,1.1269025115141706e-07,3.9456347891282154e-08,1.2328808052567266,0.4316697625895901,35.01309783955166,very high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,flux_P1_x0_h85,8.0,5.498171511681025e-06,2.4422078529635527e-07,60.15240938324643,2.6718825751131923,4.441854619804077,low
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,flux_P1_x4_h85,8.0,5.462946862344487e-06,2.3485628854689273e-07,59.76703626005971,2.5694308707702103,4.299076935302669,low
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,flux_P1_x7_h85,8.0,4.51009312136282e-06,2.2771734364829355e-07,49.34239814389388,2.491327680429085,5.049060795877403,moderate
