point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%]
P1_x0_h42,0.0,-44.25,1.0,8.0,42.22532573480115,2.152622111784387,5.097940807618791
P1_x4_h42,0.0,-48.25,1.0,8.0,33.73988962258594,1.7542173455675283,5.199238542835158
P1_x57_h42,0.0,-101.25,1.0,8.0,6.933795993935661,0.8037643213227551,11.59198110278601
P1_x114_h42,0.0,-158.25,1.0,8.0,2.8231913391542225,0.5439310463290069,19.266531417312965
P1_x176_h42,0.0,-220.25,1.0,8.0,0.8386304630439861,0.24756077164208973,29.519649303403035
P1_x199_h42,0.0,-243.25,1.0,8.0,0.6990647149982733,0.24148778487816874,34.54441050980026
P1_x320_h42,0.0,-364.25,1.0,8.0,0.29902716059867596,0.16848132796806678,56.343152117270506
P1_x420_h42,0.0,-464.25,1.0,8.0,0.26304485567055624,0.14291592365533742,54.33138895304183
P1_x0_h85,0.0,-44.25,44.0,8.0,5.916503427301136,0.5528246681249386,9.34377330999222
P1_x4_h85,0.0,-48.25,44.0,8.0,6.451476260309271,0.6215344428048989,9.633987907987803
P1_x7_h85,0.0,-51.25,44.0,8.0,6.553201691518044,0.599262704274253,9.144578978087797
P1_x57_h85,0.0,-101.25,44.0,8.0,3.571701104508706,0.5060984871777939,14.169676363425955
P1_x114_h85,0.0,-158.25,44.0,8.0,2.5011175502040808,0.448176451498944,17.919047885709116
P1_x176_h85,0.0,-220.25,44.0,8.0,0.6960673913731944,0.20087771731924134,28.858946677986438
P1_x199_h85,0.0,-243.25,44.0,8.0,0.9438035872056539,0.2960111834490739,31.36364254828514
P1_x320_h85,0.0,-364.25,44.0,8.0,0.4932102122869795,0.2237035602797509,45.35663591442155
P1_x420_h85,0.0,-464.25,44.0,8.0,0.3827936401264134,0.1910419222871275,49.90728744188068
P2_x2_h55,51.51561146012848,-42.51561146012848,14.0,8.0,1.3393645658646878,0.19922340481458628,14.874471812382804
P2_x57_h55,90.40648442538858,-81.40648442538858,14.0,8.0,0.6118488746703744,0.14407215137185753,23.547015829599182
P2_x114_h55,130.7115709530218,-121.7115709530218,14.0,8.0,0.29058378808755925,0.058837282823377794,20.24795781299707
P2_x176_h55,174.55219138658774,-165.55219138658774,14.0,8.0,0.26181232120021813,0.12417719887449413,47.429852921066676
P2_x199_h55,190.81564735387835,-181.81564735387835,14.0,8.0,0.1093246757984104,0.02272150095252182,20.78350636449104
P2_x321_h55,277.0826746586372,-268.0826746586372,14.0,8.0,0.04564856317336966,0.016630508271339745,36.4316138674034
P2_x420_h55,347.0862459961053,-338.0862459961053,14.0,8.0,0.013980147556032694,0.005847043672504141,41.823905284755256
P2_x0_h85,50.10139789775538,-41.10139789775538,44.0,8.0,0.8058215971307323,0.08277565652539812,10.272206257580487
P2_x5_h85,53.63693180368812,-44.63693180368812,44.0,8.0,0.7723085178540599,0.10838278085177563,14.033612001707368
P2_x30_h85,71.3146013333518,-62.3146013333518,44.0,8.0,0.8469479130276869,0.15205128484157612,17.952849579382047
P2_x57_h85,90.40648442538858,-81.40648442538858,44.0,8.0,0.4918836169189456,0.08809116267133112,17.90894423829674
P2_x114_h85,130.7115709530218,-121.7115709530218,44.0,8.0,0.37527895640837117,0.15378333912086492,40.97840726073671
P2_x156_h85,160.4100557628568,-151.4100557628568,44.0,8.0,0.29914450193179376,0.1304670266115572,43.61337940996297
P2_x176_h85,174.55219138658774,-165.55219138658774,44.0,8.0,0.3046898175875361,0.12597643924643434,41.34579889931564
P2_x199_h85,190.81564735387835,-181.81564735387835,44.0,8.0,0.14208994120239873,0.044064715620200805,31.0118473181949
P2_x300_h85,262.2334322537196,-253.23343225371963,44.0,8.0,0.030680730208842297,0.009508596536956791,30.992080280463398
P2_x321_h85,277.0826746586372,-268.0826746586372,44.0,8.0,0.0496544225889417,0.018111622507859446,36.475346129375794
P3_x0_h45,53.25,0.0,4.0,8.0,2.16789346467931,0.1365068435176583,6.296750543406032
P3_x5_h45,58.25,0.0,4.0,8.0,1.7788627199425635,0.12125646654358323,6.816516259753782
P3_x57_h45,110.25,0.0,4.0,8.0,0.40774808967457593,0.07477372427689194,18.338215719555894
P3_x114_h45,167.25,0.0,4.0,8.0,0.14090227173701428,0.029537942933587347,20.963425620786417
P3_x176_h45,229.25,0.0,4.0,8.0,0.09406334940430446,0.02034617265150347,21.63028722701682
P3_x199_h45,252.25,0.0,4.0,8.0,0.027955923115933555,0.00961154786374497,34.38107847086917
