point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%]
P1_x0_h42,0.0,-44.25,1.0,8.0,179.085533529109,4.601233288041354,2.5692936762496554
P1_x4_h42,0.0,-48.25,1.0,8.0,154.46100177815634,4.183424568833001,2.708401810601629
P1_x57_h42,0.0,-101.25,1.0,8.0,27.613999300500726,1.9288982493798903,6.985218723261551
P1_x114_h42,0.0,-158.25,1.0,8.0,10.324536995185621,1.1699957294669636,11.332185937369763
P1_x176_h42,0.0,-220.25,1.0,8.0,5.9763386546710375,0.8952015246594638,14.979096339525281
P1_x199_h42,0.0,-243.25,1.0,8.0,3.3518934689123805,0.6112418092405257,18.23571706289523
P1_x320_h42,0.0,-364.25,1.0,8.0,2.3783840093563753,0.5708132129391393,24.000044176785796
P1_x420_h42,0.0,-464.25,1.0,8.0,0.41134058848433686,0.3059711152302805,74.38388619943625
P1_x0_h85,0.0,-44.25,44.0,8.0,59.750194020531836,2.5824910779749928,4.322146765059167
P1_x4_h85,0.0,-48.25,44.0,8.0,57.851089929075364,2.561226365522025,4.427274176963741
P1_x7_h85,0.0,-51.25,44.0,8.0,53.85109837815839,2.471360258925397,4.589247635342128
P1_x57_h85,0.0,-101.25,44.0,8.0,21.929389588930604,1.5869621670696414,7.236691019756881
P1_x114_h85,0.0,-158.25,44.0,8.0,9.147096774239646,1.034260220398999,11.306978005433555
P1_x176_h85,0.0,-220.25,44.0,8.0,5.127321504057615,0.9028009477071693,17.607652396923392
P1_x199_h85,0.0,-243.25,44.0,8.0,5.84579924621834,0.8724747058795634,14.924814711075976
P1_x320_h85,0.0,-364.25,44.0,8.0,2.5505437507773854,0.6159926497064306,24.15142455481036
P1_x420_h85,0.0,-464.25,44.0,8.0,1.8085098296080564,0.47328176117994597,26.16970908488324
P2_x2_h55,51.51561146012848,-42.51561146012848,14.0,8.0,28.833203720432355,1.9299795088331047,6.693600640241876
P2_x57_h55,90.40648442538858,-81.40648442538858,14.0,8.0,13.737274653841734,1.3240066622299198,9.638059189998442
