particle,geometry,data_source,dose_quantity,energy_eV,fluence_to_dose [pSv cm2]
neutron,AP,icrp116,effective,0.001,3.09
neutron,AP,icrp116,effective,0.01,3.55
neutron,AP,icrp116,effective,0.024999999999999998,4.0
neutron,AP,icrp116,effective,0.09999999999999999,5.2
neutron,AP,icrp116,effective,0.19999999999999998,5.87
neutron,AP,icrp116,effective,0.5,6.59
neutron,AP,icrp116,effective,1.0,7.03
neutron,AP,icrp116,effective,2.0,7.39
neutron,AP,icrp116,effective,5.0,7.71
neutron,AP,icrp116,effective,10.0,7.82
neutron,AP,icrp116,effective,20.0,7.84
neutron,AP,icrp116,effective,50.0,7.82
neutron,AP,icrp116,effective,100.0,7.79
neutron,AP,icrp116,effective,200.0,7.73
neutron,AP,icrp116,effective,500.0,7.54
neutron,AP,icrp116,effective,1000.0,7.54
neutron,AP,icrp116,effective,2000.0,7.61
neutron,AP,icrp116,effective,5000.0,7.97
neutron,AP,icrp116,effective,10000.0,9.11
neutron,AP,icrp116,effective,20000.0,12.2
neutron,AP,icrp116,effective,30000.0,15.7
neutron,AP,icrp116,effective,50000.0,23.0
neutron,AP,icrp116,effective,70000.0,30.6
neutron,AP,icrp116,effective,100000.0,41.9
neutron,AP,icrp116,effective,150000.0,60.6
neutron,AP,icrp116,effective,200000.0,78.8
neutron,AP,icrp116,effective,300000.0,114.0
neutron,AP,icrp116,effective,500000.0,177.0
neutron,AP,icrp116,effective,700000.0,232.0
neutron,AP,icrp116,effective,900000.0,279.0
neutron,AP,icrp116,effective,1000000.0,301.0
neutron,AP,icrp116,effective,1200000.0,330.0
neutron,AP,icrp116,effective,1500000.0,365.0
neutron,AP,icrp116,effective,2000000.0,407.0
neutron,AP,icrp116,effective,3000000.0,458.0
neutron,AP,icrp116,effective,4000000.0,483.0
neutron,AP,icrp116,effective,5000000.0,494.0
neutron,AP,icrp116,effective,6000000.0,498.0
neutron,AP,icrp116,effective,7000000.0,499.0
neutron,AP,icrp116,effective,8000000.0,499.0
neutron,AP,icrp116,effective,9000000.0,500.0
neutron,AP,icrp116,effective,10000000.0,500.0
neutron,AP,icrp116,effective,12000000.0,499.0
neutron,AP,icrp116,effective,14000000.0,495.0
neutron,AP,icrp116,effective,15000000.0,493.0
neutron,AP,icrp116,effective,16000000.0,490.0
neutron,AP,icrp116,effective,18000000.0,484.0
neutron,AP,icrp116,effective,20000000.0,477.0
neutron,AP,icrp116,effective,21000000.0,474.0
neutron,AP,icrp116,effective,30000000.0,453.0
neutron,AP,icrp116,effective,50000000.0,433.0
neutron,AP,icrp116,effective,75000000.0,420.0
neutron,AP,icrp116,effective,100000000.0,402.0
neutron,AP,icrp116,effective,130000000.0,382.0
neutron,AP,icrp116,effective,150000000.0,373.0
neutron,AP,icrp116,effective,180000000.0,363.0
neutron,AP,icrp116,effective,200000000.0,359.0
neutron,AP,icrp116,effective,300000000.0,363.0
neutron,AP,icrp116,effective,400000000.0,389.0
neutron,AP,icrp116,effective,500000000.0,422.0
neutron,AP,icrp116,effective,600000000.0,457.0
neutron,AP,icrp116,effective,700000000.0,486.0
neutron,AP,icrp116,effective,800000000.0,508.0
neutron,AP,icrp116,effective,900000000.0,524.0
neutron,AP,icrp116,effective,1000000000.0,537.0
neutron,AP,icrp116,effective,2000000000.0,612.0
neutron,AP,icrp116,effective,5000000000.0,716.0
neutron,AP,icrp116,effective,10000000000.0,933.0
photon,AP,icrp116,effective,10000.0,0.0685
photon,AP,icrp116,effective,15000.0,0.156
photon,AP,icrp116,effective,20000.0,0.225
photon,AP,icrp116,effective,30000.0,0.312
photon,AP,icrp116,effective,40000.0,0.35
photon,AP,icrp116,effective,50000.0,0.369
photon,AP,icrp116,effective,60000.0,0.389
photon,AP,icrp116,effective,70000.0,0.411
photon,AP,icrp116,effective,80000.0,0.443
photon,AP,icrp116,effective,100000.0,0.518
photon,AP,icrp116,effective,150000.0,0.747
photon,AP,icrp116,effective,200000.0,1.0
photon,AP,icrp116,effective,300000.0,1.51
photon,AP,icrp116,effective,400000.0,2.0
photon,AP,icrp116,effective,500000.0,2.47
photon,AP,icrp116,effective,511000.0,2.52
photon,AP,icrp116,effective,600000.0,2.91
photon,AP,icrp116,effective,662000.0,3.17
photon,AP,icrp116,effective,800000.0,3.73
photon,AP,icrp116,effective,1000000.0,4.49
photon,AP,icrp116,effective,1117000.0,4.9
photon,AP,icrp116,effective,1330000.0,5.6
photon,AP,icrp116,effective,1500000.0,6.12
photon,AP,icrp116,effective,2000000.0,7.48
photon,AP,icrp116,effective,3000000.0,9.75
photon,AP,icrp116,effective,4000000.0,11.7
photon,AP,icrp116,effective,5000000.0,13.4
photon,AP,icrp116,effective,6000000.0,15.0
photon,AP,icrp116,effective,6129000.0,15.1
photon,AP,icrp116,effective,8000000.0,17.8
photon,AP,icrp116,effective,10000000.0,20.5
photon,AP,icrp116,effective,15000000.0,26.1
photon,AP,icrp116,effective,20000000.0,30.8
photon,AP,icrp116,effective,30000000.0,37.9
photon,AP,icrp116,effective,40000000.0,43.2
photon,AP,icrp116,effective,50000000.0,47.1
photon,AP,icrp116,effective,60000000.0,50.1
photon,AP,icrp116,effective,80000000.0,54.5
photon,AP,icrp116,effective,100000000.0,57.8
photon,AP,icrp116,effective,150000000.0,63.2
photon,AP,icrp116,effective,200000000.0,67.2
photon,AP,icrp116,effective,300000000.0,72.3
photon,AP,icrp116,effective,400000000.0,75.4
photon,AP,icrp116,effective,500000000.0,77.4
photon,AP,icrp116,effective,600000000.0,78.7
photon,AP,icrp116,effective,800000000.0,80.4
photon,AP,icrp116,effective,1000000000.0,81.6
