position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,gamma_dose_P1_x0_h42,8.0,3.735958599516076e-05,2.5845690952041697e-06,0.9595209207722926,0.0663805032087654,6.918088159592969,moderate
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,gamma_dose_P1_x4_h42,8.0,3.014284936097598e-05,2.2582999985782578e-06,0.7741706392916285,0.05800080585198552,7.491992450793104,moderate
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,gamma_dose_P1_x57_h42,8.0,6.411404328076077e-06,9.299749048265581e-07,0.16466661555392717,0.023884910745260637,14.505011027835508,high
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,gamma_dose_P1_x114_h42,8.0,3.0616316347283253e-06,6.808639049796571e-07,0.078633087786375,0.017486895093305435,22.238596480927516,high
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,gamma_dose_P1_x176_h42,8.0,7.65639909197916e-07,2.934062239771696e-07,0.01966423050696436,0.0075356672910498025,38.32169933311624,very high
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,gamma_dose_P1_x199_h42,8.0,3.9326840101197265e-07,1.865553934942717e-07,0.010100466806525472,0.004791375444145648,47.437168359883614,very high
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,gamma_dose_P1_x320_h42,8.0,3.201299422665569e-07,2.103394404097367e-07,0.008222023044103752,0.005402230462693617,65.70439457193824,very high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,gamma_dose_P1_x420_h42,8.0,2.907225496365866e-07,1.839081033423253e-07,0.0074667414288985805,0.004723384051401734,63.25897443188254,very high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,gamma_dose_P1_x0_h85,8.0,4.460034215079031e-06,6.432532098230556e-07,0.11454881050563274,0.016520924837312163,14.422607065395738,high
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,gamma_dose_P1_x4_h85,8.0,5.0815057555984095e-06,7.44246880136949e-07,0.1305103081750708,0.019114784939089323,14.646187880767336,high
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,gamma_dose_P1_x7_h85,8.0,5.419439805654213e-06,7.113008992176493e-07,0.1391896011124137,0.018268620371004237,13.124989384982825,high
P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,gamma_dose_P1_x57_h85,8.0,3.2414694443838935e-06,5.704733540309977e-07,0.08325193288633768,0.014651691215389378,17.599220471425042,high
P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,gamma_dose_P1_x114_h85,8.0,2.374594703625531e-06,5.165777000402961e-07,0.06098764843858045,0.013267467965445399,21.754352405974178,high
P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,gamma_dose_P1_x176_h85,8.0,8.61697752503653e-07,3.0922060594435834e-07,0.022131321825054992,0.007941834274499973,35.88504264353961,very high
P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,gamma_dose_P1_x199_h85,8.0,9.656503100373494e-07,3.771240907067647e-07,0.024801176189455258,0.009685826143984584,39.05389837157287,very high
P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,gamma_dose_P1_x320_h85,8.0,3.5990871689220124e-07,2.2911880940728735e-07,0.009243676936653195,0.00588454837259729,63.66025568530821,very high
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,gamma_dose_P1_x420_h85,8.0,3.8571945913643947e-07,2.2896581350067988e-07,0.009906584367351591,0.005880618918635958,59.36071102383467,very high
P2,P2_x2_h55,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,gamma_dose_P2_x2_h55,8.0,6.852790655836837e-07,9.504597925456382e-08,0.017600291397233483,0.0024411032162362923,13.869675002199106,high
