position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class
P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,neutron_dose_P1_x0_h42,8.0,0.003084872631079417,0.00010122389784461223,121.49949771851662,3.986761923758079,3.2812990988607957,low
P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,neutron_dose_P1_x4_h42,8.0,0.0026471568341723656,8.789542771268742e-05,104.25980719390064,3.4618123974567365,3.32037099494968,low
P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,neutron_dose_P1_x57_h42,8.0,0.00047865692411144437,4.3233989555019995e-05,18.852180564317578,1.7027957531797662,9.032354360124945,moderate
P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,neutron_dose_P1_x114_h42,8.0,0.00017694235541494663,2.513984348464634e-05,6.968977289841893,0.9901473160782885,14.207928579729268,high
P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,neutron_dose_P1_x176_h42,8.0,9.09296406081835e-05,1.7940251802450162e-05,3.581316632108014,0.7065872221047599,19.72981712283989,high
P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,neutron_dose_P1_x199_h42,8.0,5.198987487911701e-05,1.4286988149311674e-05,2.0476513748481637,0.5627013143308864,27.480328011041994,very high
P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,neutron_dose_P1_x320_h42,8.0,4.4429618257896137e-05,1.3338244120067607e-05,1.7498862830751487,0.5253344804929975,30.021063972786,very high
P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,neutron_dose_P1_x420_h42,8.0,4.96656022952061e-06,4.673001701455302e-06,0.19561085511150228,0.18404888222757104,94.08929894133908,very high
P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,neutron_dose_P1_x0_h85,8.0,0.0008524662758913566,4.9074171314870965e-05,33.57487868357565,1.932814698940405,5.756728764848554,moderate
P1,P1_x4_h85,4.0,85.0,0.0,-48.25,44.0,neutron_dose_P1_x4_h85,8.0,0.0008449094758699585,5.115074556269915e-05,33.27724973199139,2.014601780048531,6.053991229064147,moderate
P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,neutron_dose_P1_x7_h85,8.0,0.0008254569444281719,4.8530882684440755e-05,32.5111004992097,1.9114169611380654,5.879274868546912,moderate
P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,neutron_dose_P1_x57_h85,8.0,0.000354505633019652,3.2004813853534404e-05,13.962409960245663,1.2605281555557828,9.028012779633382,moderate
P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,neutron_dose_P1_x114_h85,8.0,0.00014195229676104503,2.1651587698435286e-05,5.590873536461666,0.8527603388434927,15.252720943911472,high
