point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,notebook_2_5_group_1_target_reached,notebook_2_5_group_1_configured_target_percent,notebook_2_5_group_1_max_relative_error_percent,notebook_2_5_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_notebook_6,neutron_proxy_response_reference,gamma_proxy_response_reference
P1_x0_h42,P1,0.0,42.0,Lower height group (42–55 cm),0.0,-44.25,1.0,0.0,-35.405,1.0,121.49949771851662,3.986761923758079,62.04718862535076,2.182215344413969,3.517025336297633,low,0.7077632252046508,0.024892211951444844,122.20726094372127,3.9868396329603044,0.005791498964456695,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x4_h42,P1,4.0,42.0,Lower height group (42–55 cm),0.0,-48.25,1.0,0.0,-39.405,1.0,104.25980719390064,3.4618123974567365,52.40359837687933,2.1174014879203105,4.040565063284884,low,0.5977601986691086,0.02415288974964631,104.85756739256975,3.4618966531755992,0.0057006872611414985,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x57_h42,P1,57.0,42.0,Lower height group (42–55 cm),0.0,-101.25,1.0,0.0,-92.405,1.0,18.852180564317578,1.7027957531797662,9.711539200266092,1.1135937699062102,11.466707253528856,high,0.11077811031188954,0.012702601610455635,18.96295867462947,1.7028431322745854,0.00584181573206187,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x114_h42,P1,114.0,42.0,Lower height group (42–55 cm),0.0,-158.25,1.0,0.0,-149.405,1.0,6.968977289841893,0.9901473160782885,2.4600306749043,0.5367842425401338,21.820225577513003,high,0.0280612108807339,0.0061230195139577595,6.997038500722628,0.9901662481144298,0.00401044111417078,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x176_h42,P1,176.0,42.0,Lower height group (42–55 cm),0.0,-220.25,1.0,0.0,-211.405,1.0,3.581316632108014,0.7065872221047599,1.9000138854469024,0.4941729198822211,26.00891096993149,very high,0.021673181094752907,0.005636958375286308,3.602989813202767,0.7066097067982056,0.006015332326317959,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x199_h42,P1,199.0,42.0,Lower height group (42–55 cm),0.0,-243.25,1.0,0.0,-234.405,1.0,2.0476513748481637,0.5627013143308864,1.1566768462971817,0.4078521746385294,35.260684602114104,very high,0.013194043975110235,0.004652310232327859,2.060845418823274,0.562720546221839,0.006402248249480025,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x320_h42,P1,320.0,42.0,Lower height group (42–55 cm),0.0,-364.25,1.0,0.0,-355.405,1.0,1.7498862830751487,0.5253344804929975,0.1845965458458599,0.1449650065488941,78.53072541776673,very high,0.0021056658576166943,0.0016535946728606287,1.7519919489327653,0.5253370829954703,0.0012018695970032118,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x420_h42,P1,420.0,42.0,Lower height group (42–55 cm),0.0,-464.25,1.0,0.0,-455.405,1.0,0.19561085511150228,0.18404888222757104,0.3789900159412814,0.2259589621826258,59.62134955492724,very high,0.004323083800341115,0.0025774809041538083,0.19993393891184338,0.18406692928668528,0.02162256105126447,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x0_h85,P1,0.0,85.0,Upper height group (85–113 cm),0.0,-44.25,44.0,0.0,-35.405,44.0,33.57487868357565,1.932814698940405,4.494994573237803,0.2601225087695815,5.786937103735187,moderate,0.0512737470772747,0.002967179494090145,33.62615243065292,1.9328169764864542,0.0015248175414364264,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x4_h85,P1,4.0,85.0,Upper height group (85–113 cm),0.0,-48.25,44.0,0.0,-39.405,44.0,33.27724973199139,2.014601780048531,4.921927730950924,0.2753050223943816,5.593438941883696,moderate,0.05614371129877026,0.0031403642112041723,33.33339344329016,2.0146042276492144,0.0016843083016521287,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x7_h85,P1,7.0,85.0,Upper height group (85–113 cm),0.0,-51.25,44.0,0.0,-42.405,44.0,32.5111004992097,1.9114169611380654,6.121293931070884,0.3478656259514901,5.682877343722541,moderate,0.06982470650266134,0.0039680524261605015,32.580925205712354,1.9114210799209925,0.002143116135032872,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
