height_group,position,number_of_points,exact_heights_cm,median_total_dose_rate_uSv_h,minimum_total_dose_rate_uSv_h,maximum_total_dose_rate_uSv_h,median_gamma_dose_fraction
Lower height group (42–55 cm),P1,8,42,5.324295620121623,0.20307759654040086,122.45901863928891,0.0076030568486142565
Lower height group (42–55 cm),P2,7,55,2.0873822914102993,0.3337013599481113,14.67152101510665,0.0008915267119666022
Lower height group (42–55 cm),P3,8,45,3.227842655430529,0.381857468247281,58.0713917307963,0.000661817548875616
Lower height group (42–55 cm),P4,4,"42, 45",8.944156727319166,4.249480254954014,17.70769560451982,0.00044674617491735684
Lower height group (42–55 cm),P5,2,45,85.16017167060716,76.81629818653104,93.50404515468325,0.0010516954739957828
Upper height group (85–113 cm),P1,9,85,5.6518611849002465,1.1078185497819557,33.68942749408128,0.005676846511732429
Upper height group (85–113 cm),P2,10,85,2.6909469385596854,0.7665260887357525,11.237081349623615,0.0012324888795040847
Upper height group (85–113 cm),P3,10,85,2.5941389547656817,0.486215535538319,22.046048517053144,0.0013075793715375398
Upper height group (85–113 cm),P4,1,113,2.91765667862601,2.91765667862601,2.91765667862601,0.00040574602514872865
Upper height group (85–113 cm),P5,2,85,31.5949968488094,29.982809292163548,33.20718440545526,0.002830280068335517
