position,distance_cm,common_dose_x_cm,common_dose_y_cm,median_total_dose_rate_uSv_h,number_of_heights
P1,0.0,0.0,-44.25,78.0742230666851,2
P1,4.0,0.0,-48.25,69.22086893667937,2
P1,7.0,0.0,-51.25,32.65029010032211,1
P1,57.0,0.0,-101.25,16.531254536501752,2
P1,114.0,0.0,-158.25,6.349735781264258,2
P1,176.0,0.0,-220.25,3.6403420038186782,2
P1,199.0,0.0,-243.25,3.2132908189753104,2
P1,320.0,0.0,-364.25,1.74797988197757,2
P1,420.0,0.0,-464.25,0.6554480731611783,2
P2,0.0,50.10139789775538,-41.10139789775538,8.340641361514026,1
P2,2.0,51.51561146012848,-42.51561146012848,14.67152101510665,1
P2,5.0,53.63693180368812,-44.63693180368812,11.237081349623615,1
P2,30.0,71.3146013333518,-62.3146013333518,8.51874210450579,1
P2,57.0,90.40648442538858,-81.40648442538858,7.1267375745515285,2
P2,114.0,130.7115709530218,-121.7115709530218,3.763201492984622,2
P2,156.0,160.4100557628568,-151.4100557628568,1.7946618343890774,1
P2,176.0,174.55219138658774,-165.55219138658774,1.776487533670399,2
P2,199.0,190.81564735387835,-181.81564735387835,2.1501436304277757,2
P2,300.0,262.2334322537196,-253.23343225371963,0.7672172985876546,1
P2,321.0,277.0826746586372,-268.0826746586372,0.7630742870672109,2
P2,420.0,347.0862459961053,-338.0862459961053,0.3337013599481113,1
P3,0.0,53.25,0.0,40.05872012392472,2
P3,5.0,58.25,0.0,35.45613233456167,2
P3,57.0,110.25,0.0,8.975473742192133,2
P3,100.0,153.25,0.0,3.5521581911486777,1
P3,114.0,167.25,0.0,3.90988924995671,2
P3,176.0,229.25,0.0,2.1694532428446274,2
P3,199.0,252.25,0.0,1.4792404411449847,1
P3,200.0,253.25,0.0,1.4315063581285907,1
P3,225.0,278.25,0.0,0.7017677623616673,2
P3,300.0,353.25,0.0,0.5085141069824692,2
P3,400.0,453.25,0.0,0.486215535538319,1
P4,0.0,50.10139789775538,41.10139789775538,17.70769560451982,1
P4,20.0,64.24353352148633,55.243533521486334,12.655716969124915,1
P4,71.0,100.30597936200024,91.30597936200024,5.232596485513416,1
P4,85.0,110.20547429861192,101.20547429861192,4.249480254954014,1
P4,152.0,157.5816286381106,148.5816286381106,2.91765667862601,1
P5,0.0,0.0,44.25,63.35561478006926,2
P5,6.0,0.0,50.25,53.3995537393473,2
