position,point_name,distance_cm,height_cm,total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],rel_u_mc_total_dose_rate [%],neutron_dose_mc_uncertainty_class,gamma_dose_mc_uncertainty_class
P1,P1_x199_h42,199.0,42.0,2.057751841654689,0.5627217131303481,27.34643224412569,very high,very high
P1,P1_x320_h42,320.0,42.0,1.7581083061192524,0.5253622564372317,29.882246424106043,very high,very high
P1,P1_x420_h42,420.0,42.0,0.20307759654040086,0.18410948211897005,90.65967160111764,very high,very high
P1,P1_x320_h85,320.0,85.0,1.737851457835888,0.5646035341434708,32.48859570809121,very high,very high
P1,P1_x420_h85,420.0,85.0,1.1078185497819557,0.3732013188241355,33.68794636067343,very high,very high
P2,P2_x199_h55,199.0,55.0,2.0873822914102993,0.5412330719722858,25.928794845079008,very high,high
P2,P2_x321_h55,321.0,55.0,0.7596224853986695,0.35990129181239716,47.37896767543837,very high,very high
P2,P2_x420_h55,420.0,55.0,0.3337013599481113,0.15616027929211934,46.79641680705209,very high,very high
P2,P2_x176_h85,176.0,85.0,1.626965435018886,0.428683825060353,26.348674399181494,very high,very high
P2,P2_x300_h85,300.0,85.0,0.7672172985876546,0.325833618198859,42.469534876061246,very high,very high
P2,P2_x321_h85,321.0,85.0,0.7665260887357525,0.3292315753259158,42.951124581933584,very high,very high
P3,P3_x199_h45,199.0,45.0,1.4792404411449847,0.4135831352524625,27.959155506344487,very high,very high
P3,P3_x225_h45,225.0,45.0,0.6401759702902791,0.21833242254462457,34.10506371328257,very high,very high
P3,P3_x300_h45,300.0,45.0,0.381857468247281,0.18385354786019792,48.14716566997693,very high,very high
P3,P3_x176_h85,176.0,85.0,1.6361197183826852,0.44343012299498297,27.102547448869846,very high,very high
P3,P3_x200_h85,200.0,85.0,1.4315063581285907,0.40078909142038643,27.997716471503367,very high,very high
P3,P3_x225_h85,225.0,85.0,0.7633595544330555,0.2465865290745049,32.302802479186084,very high,very high
P3,P3_x300_h85,300.0,85.0,0.6351707457176575,0.26904641118988304,42.35812385941937,very high,very high
P3,P3_x400_h85,400.0,85.0,0.486215535538319,0.28402615953656435,58.4156899104636,very high,very high
