measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,files,mean_cps,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,effective_uncertainty_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review
scan,P1,P1_x10_h50,10.0,50.0,,1,600,10.0,G_P1_x_10_y_50_10_min.txt,30.63,7.9287162202655805,0.32368848424965246,0.2259424705539001,,,0.32368848424965246,,False,not_repeated,False
scan,P1,P1_x114_h38,114.0,38.0,,1,600,10.0,G_P1_x_114_y_38_10_min.txt,3.9183333333333334,2.443689133910902,0.09976319113442438,0.08081185281600438,,,0.09976319113442438,,False,not_repeated,False
scan,P1,P1_x124_h45,124.0,45.0,,1,600,10.0,G_P1_x_124_y_45_10_min.txt,5.181666666666667,2.992254423191775,0.12215827529009747,0.09293067906300433,,,0.12215827529009747,,False,not_repeated,False
scan,P1,P1_x13_h45,13.0,45.0,,1,600,10.0,G_P1_x_13_y_45_10_min.txt,42.555,9.748779727584452,0.3979922657895117,0.2663174797117155,,,0.3979922657895117,,False,not_repeated,False
scan,P1,P1_x164_h38,164.0,38.0,,1,600,10.0,G_P1_x_164_y_38_10_min.txt,2.5366666666666666,1.511885760612927,0.06172247771468847,0.0650213640104372,,,0.0650213640104372,,False,not_repeated,False
scan,P1,P1_x184_h42,184.0,42.0,,1,600,10.0,G_P1_x_184_y_42_10_min.txt,3.345,1.9327530167370528,0.07890431149717758,0.07466592261534039,,,0.07890431149717758,,False,not_repeated,False
scan,P1,P1_x203_h42,203.0,42.0,,1,600,10.0,G_P1_x_203_y_42_10_min.txt,3.07,1.8692932073804256,0.07631357562887701,0.07153087911291645,,,0.07631357562887701,,False,not_repeated,False
scan,P1,P1_x30_h38,30.0,38.0,,1,600,10.0,G_P1_x_30_y_38_10min.txt,21.35,6.559156772223419,0.2677764539144681,0.18863545089227882,,,0.2677764539144681,,False,not_repeated,False
scan,P1,P1_x321_h42,321.0,42.0,,1,600,10.0,G_P1_x_321_y_42_10_min.txt,2.0883333333333334,1.0672842709797097,0.04357169790664368,0.05899623340142619,,,0.05899623340142619,,False,not_repeated,False
scan,P1,P1_x334_h38,334.0,38.0,,1,600,10.0,G_P1_x_334_y_38_10_min.txt,2.035,0.8030253729382638,0.03278337357011522,0.05823801736552049,,,0.05823801736552049,,False,not_repeated,False
scan,P1,P1_x420_h42,420.0,42.0,,1,600,10.0,G_P1_x_420_y_42_10_min.txt,1.9633333333333334,0.8039897728289697,0.032822745030785645,0.05720334100576838,,,0.05720334100576838,,False,not_repeated,False
scan,P1,P1_x57_h45,57.0,45.0,,1,600,10.0,G_P1_x_57_y_45_10_min.txt,13.405,4.987896033874526,0.2036300028840758,0.149471290442903,,,0.2036300028840758,,False,not_repeated,False
scan,P1,P1_x6_h50,6.0,50.0,,1,600,10.0,G_P1_x_6_y_50_10_min.txt,57.348333333333336,11.87273910176248,0.4847025441417993,0.3091610511619398,,,0.4847025441417993,,False,not_repeated,False
scan,P1,P1_x75_h38,75.0,38.0,,1,600,10.0,G_P1_x_75_y_38_10_min.txt,7.336666666666667,3.682742620779664,0.15034733791517044,0.11057928276932247,,,0.15034733791517044,,False,not_repeated,False
