position,physical_point_id,distance_cm,height_cm,net_cps,net_uncertainty_cps,net_signal_sigma,above_background_2sigma,nonpositive_net_cps,requires_quality_review,quality_review_reason,final_quality_status
P1,P1_x10_h50,10.0,50.0,28.77,0.32844213316174514,87.59533901161176,True,False,False,none,accepted
P1,P1_x114_h38,114.0,38.0,2.0583333333333336,0.11424838863337938,18.01630078073557,True,False,False,none,accepted
P1,P1_x124_h45,124.0,45.0,3.3216666666666663,0.1342484421580051,24.742683142327984,True,False,False,none,accepted
P1,P1_x13_h45,13.0,45.0,40.695,0.40186794302142254,101.26460870214437,True,False,False,none,accepted
P1,P1_x164_h38,164.0,38.0,0.6766666666666665,0.08560244025597506,7.904759077466078,True,False,False,none,accepted
P1,P1_x184_h42,184.0,42.0,1.485,0.09657064964492902,15.377342965590977,True,False,False,none,accepted
P1,P1_x203_h42,203.0,42.0,1.2099999999999997,0.09446566479554533,12.808886727456334,True,False,False,none,accepted
P1,P1_x30_h38,30.0,38.0,19.490000000000002,0.2735036183874123,71.26048318817054,True,False,False,none,accepted
P1,P1_x321_h42,321.0,42.0,0.22833333333333328,0.08112062349091972,2.814738392128999,True,False,False,none,accepted
P1,P1_x334_h38,334.0,38.0,0.17500000000000004,0.0805708797684788,2.1720006099333187,True,False,False,none,accepted
P1,P1_x420_h42,420.0,42.0,0.10333333333333328,0.07982620009885365,1.2944789205219505,False,False,False,none,accepted
P1,P1_x57_h45,57.0,45.0,11.545,0.21110466142311665,54.688512902424165,True,False,False,none,accepted
P1,P1_x6_h50,6.0,50.0,55.48833333333334,0.48788990181959385,113.73126011911424,True,False,False,none,accepted
P1,P1_x75_h38,75.0,38.0,5.476666666666667,0.16032567485645724,34.159635826077356,True,False,False,none,accepted
P1,P1_x87_h38,87.0,38.0,2.9766666666666666,0.12736503143931374,23.371145384476854,True,False,False,none,accepted
P2,P2_x114_h65,114.0,65.0,1.0783333333333334,0.09279644751545998,11.620416106485994,True,False,False,none,accepted
P2,P2_x176_h65,176.0,65.0,0.5633333333333332,0.08449194570424384,6.667302174638384,True,False,False,none,accepted
P2,P2_x176_h85,176.0,85.0,0.44499999999999984,0.0837821248503787,5.311395489129665,True,False,False,none,accepted
P2,P2_x199_h65,199.0,65.0,0.4116666666666664,0.08298259523003068,4.960879634163186,True,False,False,none,accepted
P2,P2_x200_h85,200.0,85.0,0.35166666666666657,0.08284859014424378,4.244691020745148,True,False,False,none,accepted
P2,P2_x2_h65,2.0,65.0,5.715,0.15308699757269006,37.33171393139614,True,False,False,none,accepted
P2,P2_x321_h65,321.0,65.0,0.19666666666666655,0.08079466429027216,2.4341541411707506,True,False,False,none,accepted
P2,P2_x321_h85,321.0,85.0,0.08166666666666678,0.08008675851155975,1.0197274578778086,False,False,False,none,accepted
P2,P2_x400_h85,400.0,85.0,0.04166666666666674,0.07966945601811413,0.5229942408191309,False,False,False,none,accepted
P2,P2_x400_h98,400.0,98.0,0.03166666666666673,0.07956478841520007,0.3979985028228533,False,False,False,none,accepted
P2,P2_x420_h65,420.0,65.0,0.05166666666666653,0.0792849992817753,0.651657528343357,False,False,False,none,accepted
P2,P2_x57_h65,57.0,65.0,2.5949999999999998,0.11722687267533773,22.136562554107424,True,False,False,none,accepted
P3,P3_x114_h64,114.0,64.0,0.5416666666666667,0.08427797919847022,6.427143505554045,True,False,False,none,accepted
P3,P3_x176_h45,176.0,45.0,0.23833333333333306,0.08122328620674137,2.9342980869635373,True,False,False,none,accepted
P3,P3_x176_h88,176.0,88.0,0.20999999999999996,0.08141116494546541,2.57949877195188,True,False,False,none,accepted
P3,P3_x199_h45,199.0,45.0,0.15500000000000003,0.08036375634160796,1.9287301521985913,False,False,False,none,accepted
P3,P3_x225_h45,225.0,45.0,0.1533333333333331,0.08034647195462633,1.9084015713835487,False,False,False,none,accepted
P3,P3_x320_h45,320.0,45.0,0.1316666666666666,0.08012143561147943,1.6433388351294347,False,False,False,none,accepted
P3,P3_x320_h65,320.0,65.0,0.1533333333333331,0.08034647195462633,1.9084015713835487,False,False,False,none,accepted
P3,P3_x57_h64,57.0,64.0,1.6899999999999997,0.10201967141484358,16.56543269119086,True,False,False,none,accepted
P3,P3_x5_h64,5.0,64.0,8.125,0.17938407109837987,45.29387670962153,True,False,False,none,accepted
P4,P4_x0_h58,0.0,58.0,2.618333333333333,0.11430584982741349,22.90638088327645,True,False,False,none,accepted
P4,P4_x138_h105,138.0,105.0,0.1166666666666667,0.08045012257431447,1.4501738833138234,False,False,False,none,accepted
P4,P4_x20_h58,20.0,58.0,1.903333333333333,0.11087918662707702,17.165830587618448,True,False,False,none,accepted
P4,P4_x71_h58,71.0,58.0,0.825,0.08703447592764604,9.47900232875353,True,False,False,none,accepted
P5,P5_x0_h40,0.0,40.0,23.718333333333334,0.29671948877285087,79.93520557556145,True,False,False,none,accepted
P5,P5_x6_h40,6.0,40.0,18.67,0.26828045359426705,69.59135393529455,True,False,False,none,accepted
P5,P5_x6_h50,6.0,50.0,16.241666666666667,0.2422243100881905,67.0521743286349,True,False,False,none,accepted
P5,P5_x6_h60,6.0,60.0,14.485,0.2301056167944541,62.94935430863029,True,False,False,none,accepted
P5,P5_x6_h85,6.0,85.0,14.370000000000001,0.22422568178451516,64.08721733226716,True,False,False,none,accepted
