position,distance_cm,geometry_x_cm,geometry_y_cm,axis_x,axis_y,median_net_gamma_uSv_h,median_combined_sem_gamma_uSv_h,number_of_heights,x_position_limit_cm,y_position_limit_cm,z_position_limit_cm,detector_axis_alignment_deg,detector_axis_alignment_limit_deg
P1,6.0,0.0,-41.405,0.0,-1.0,33.293,0.2927339410917563,1,1.0,1.0,1.0,0.0,1.0
P1,10.0,0.0,-45.405,0.0,-1.0,17.262,0.19706527989704709,1,1.0,1.0,1.0,0.0,1.0
P1,13.0,0.0,-48.405,0.0,-1.0,24.416999999999998,0.24112076581285352,1,1.0,1.0,1.0,0.0,1.0
P1,30.0,0.0,-65.405,0.0,-1.0,11.694,0.16410217103244737,1,1.0,1.0,1.0,0.0,1.0
P1,57.0,0.0,-92.405,0.0,-1.0,6.927,0.12666279685387,1,1.0,1.0,1.0,0.0,1.0
P1,75.0,0.0,-110.405,0.0,-1.0,3.286,0.09619540491387434,1,1.0,1.0,1.0,0.0,1.0
P1,87.0,0.0,-122.405,0.0,-1.0,1.7859999999999998,0.07641901886358825,1,1.0,1.0,1.0,0.0,1.0
P1,114.0,0.0,-149.405,0.0,-1.0,1.235,0.06854903318002763,1,1.0,1.0,1.0,0.0,1.0
P1,124.0,0.0,-159.405,0.0,-1.0,1.9929999999999997,0.08054906529480306,1,1.0,1.0,1.0,0.0,1.0
P1,164.0,0.0,-199.405,0.0,-1.0,0.4059999999999999,0.051361464153585036,1,1.0,1.0,1.0,0.0,1.0
P1,184.0,0.0,-219.405,0.0,-1.0,0.891,0.05794238978695741,1,1.0,1.0,1.0,0.0,1.0
P1,203.0,0.0,-238.405,0.0,-1.0,0.7259999999999999,0.056679398877327196,1,1.0,1.0,1.0,0.0,1.0
P1,321.0,0.0,-356.405,0.0,-1.0,0.13699999999999996,0.048672374094551836,1,1.0,1.0,1.0,0.0,1.0
P1,334.0,0.0,-369.405,0.0,-1.0,0.10500000000000002,0.04834252786108728,1,1.0,1.0,1.0,0.0,1.0
P1,420.0,0.0,-455.405,0.0,-1.0,0.061999999999999965,0.04789572005931219,1,1.0,1.0,1.0,0.0,1.0
P2,2.0,45.261251980533466,-36.261251980533466,0.7071067811865475,-0.7071067811865475,3.429,0.09185219854361404,1,1.0,1.0,1.0,0.0,1.0
P2,57.0,84.15212494579359,-75.15212494579359,0.7071067811865475,-0.7071067811865475,1.5569999999999997,0.07033612360520264,1,1.0,1.0,1.0,0.0,1.0
P2,114.0,124.45721147342678,-115.45721147342678,0.7071067811865475,-0.7071067811865475,0.647,0.05567786850927599,1,1.0,1.0,1.0,0.0,1.0
P2,176.0,168.2978319069927,-159.2978319069927,0.7071067811865475,-0.7071067811865475,0.3024999999999999,0.05048222116638676,2,1.0,1.0,1.0,0.0,1.0
P2,199.0,184.56128787428332,-175.56128787428332,0.7071067811865475,-0.7071067811865475,0.24699999999999983,0.04978955713801841,1,1.0,1.0,1.0,0.0,1.0
P2,200.0,185.26839465546988,-176.26839465546988,0.7071067811865475,-0.7071067811865475,0.21099999999999994,0.04970915408654627,1,1.0,1.0,1.0,0.0,1.0
P2,321.0,270.8283151790421,-261.8283151790421,0.7071067811865475,-0.7071067811865475,0.08349999999999999,0.048264426840549574,2,1.0,1.0,1.0,0.0,1.0
P2,400.0,326.68975089277933,-317.68975089277933,0.7071067811865475,-0.7071067811865475,0.02200000000000004,0.047770273329994256,2,1.0,1.0,1.0,0.0,1.0
P2,420.0,340.8318865165103,-331.8318865165103,0.7071067811865475,-0.7071067811865475,0.030999999999999917,0.04757099956906518,1,1.0,1.0,1.0,0.0,1.0
P3,5.0,49.405,0.0,1.0,0.0,4.875,0.10763044265902792,1,1.0,1.0,1.0,0.0,1.0
P3,57.0,101.405,0.0,1.0,0.0,1.0139999999999998,0.06121180284890615,1,1.0,1.0,1.0,0.0,1.0
P3,114.0,158.405,0.0,1.0,0.0,0.325,0.050566787519082126,1,1.0,1.0,1.0,0.0,1.0
P3,176.0,220.405,0.0,1.0,0.0,0.1344999999999999,0.04879033534566203,2,1.0,1.0,1.0,0.0,1.0
P3,199.0,243.405,0.0,1.0,0.0,0.09300000000000001,0.04821825380496477,1,1.0,1.0,1.0,0.0,1.0
P3,225.0,269.405,0.0,1.0,0.0,0.09199999999999986,0.048207883172775794,1,1.0,1.0,1.0,0.0,1.0
P3,320.0,364.405,0.0,1.0,0.0,0.08549999999999991,0.04814037226983173,2,1.0,1.0,1.0,0.0,1.0
P4,0.0,43.84703841816037,34.84703841816037,0.7071067811865475,0.7071067811865475,1.571,0.06858350989644808,1,1.0,1.0,1.0,0.0,1.0
P4,20.0,57.989174041891324,48.989174041891324,0.7071067811865475,0.7071067811865475,1.142,0.0665275119762462,1,1.0,1.0,1.0,0.0,1.0
P4,71.0,94.05161988240525,85.05161988240525,0.7071067811865475,0.7071067811865475,0.49499999999999994,0.052220685556587626,1,1.0,1.0,1.0,0.0,1.0
P4,138.0,141.42777422190392,132.42777422190392,0.7071067811865475,0.7071067811865475,0.07000000000000002,0.04827007354458868,1,1.0,1.0,1.0,0.0,1.0
P5,0.0,0.0,35.405,0.0,1.0,14.231,0.17803169326371052,1,1.0,1.0,1.0,0.0,1.0
P5,6.0,0.0,41.405,0.0,1.0,9.218,0.14169897806479337,4,1.0,1.0,1.0,0.0,1.0
