measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,files,mean_cps,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,effective_uncertainty_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review,background_height_cm,background_cps,background_uncertainty_cps,background_files,background_number_of_files,background_total_valid_rows,background_height_difference_cm,net_cps,net_uncertainty_cps,net_signal_sigma,above_background_2sigma,nonpositive_net_cps,gross_gamma_uSv_h,gross_gamma_uncertainty_uSv_h,background_gamma_uSv_h,background_gamma_uncertainty_uSv_h,net_gamma_uSv_h,net_gamma_uncertainty_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,manufacturer_accuracy_limit_uSv_h,within_conservative_countable_range,within_feature_list_countable_range,within_documented_countable_range,vertical_uncertainty_scope,height_group,height_group_label,requires_quality_review,quality_review_reason,final_quality_status,cabinet_surface_x_cm,cabinet_surface_y_cm,cabinet_surface_z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,line_position_x_limit_cm,line_position_y_limit_cm,line_position_z_limit_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,detector_axis_alignment_deg,detector_axis_alignment_uncertainty_deg,active_centre_transverse_orientation_limit_cm,reference_offset_cm,detector_effective_diameter_cm,detector_effective_length_cm,detector_active_volume_cm3,point_name,coordinate_validation_passed,geometry_ready,radial_distance_from_source_cm,distance_from_source_3d_cm,above_cabinet,below_cabinet,geometric_uncertainty_interpretation,detector_orientation_convention,distance_reference_convention
scan,P1,P1_x30_h38,30.0,38.0,,1,600,10.0,G_P1_x_30_y_38_10min.txt,21.35,6.559156772223419,0.2677764539144681,0.18863545089227882,,,0.2677764539144681,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,19.490000000000002,0.2735036183874123,71.26048318817054,True,False,12.81,0.16066587234868085,1.116,0.033406586176980134,11.694,0.16410217103244737,11.694,0.16410217103244737,0.5847000000000001,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-63.5,-3.0,0.0,-1.0,0.0,0.0,-65.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x30_h38,True,True,65.405,65.47376592956908,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x75_h38,75.0,38.0,,1,600,10.0,G_P1_x_75_y_38_10_min.txt,7.336666666666667,3.682742620779664,0.15034733791517044,0.11057928276932247,,,0.15034733791517044,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,5.476666666666667,0.16032567485645724,34.159635826077356,True,False,4.402,0.09020840274910226,1.116,0.033406586176980134,3.286,0.09619540491387434,3.286,0.09619540491387434,0.1643,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-108.5,-3.0,0.0,-1.0,0.0,0.0,-110.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x75_h38,True,True,110.405,110.44575150271739,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x87_h38,87.0,38.0,,1,600,10.0,G_P1_x_87_y_38_10_min.txt,4.836666666666667,2.8059064025947884,0.11455064920609302,0.08978369067437088,,,0.11455064920609302,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,2.9766666666666666,0.12736503143931374,23.371145384476854,True,False,2.902,0.06873038952365582,1.116,0.033406586176980134,1.7859999999999998,0.07641901886358825,1.7859999999999998,0.07641901886358825,0.08929999999999999,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-120.5,-3.0,0.0,-1.0,0.0,0.0,-122.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x87_h38,True,True,122.405,122.44175768503162,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x114_h38,114.0,38.0,,1,600,10.0,G_P1_x_114_y_38_10_min.txt,3.9183333333333334,2.443689133910902,0.09976319113442438,0.08081185281600438,,,0.09976319113442438,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,2.0583333333333336,0.11424838863337938,18.01630078073557,True,False,2.351,0.05985791468065462,1.116,0.033406586176980134,1.235,0.06854903318002763,1.235,0.06854903318002763,0.061750000000000006,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-147.5,-3.0,0.0,-1.0,0.0,0.0,-149.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x114_h38,True,True,149.405,149.43511643853998,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x164_h38,164.0,38.0,,1,600,10.0,G_P1_x_164_y_38_10_min.txt,2.5366666666666666,1.511885760612927,0.06172247771468847,0.0650213640104372,,,0.0650213640104372,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,0.6766666666666665,0.08560244025597506,7.904759077466078,True,False,1.522,0.03901281840626232,1.116,0.033406586176980134,0.4059999999999999,0.051361464153585036,0.4059999999999999,0.051361464153585036,0.020299999999999995,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-197.5,-3.0,0.0,-1.0,0.0,0.0,-199.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x164_h38,True,True,199.405,199.42756586038954,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x334_h38,334.0,38.0,,1,600,10.0,G_P1_x_334_y_38_10_min.txt,2.035,0.8030253729382638,0.03278337357011522,0.05823801736552049,,,0.05823801736552049,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-12.0,0.17500000000000004,0.0805708797684788,2.1720006099333187,True,False,1.221,0.03494281041931229,1.116,0.033406586176980134,0.10500000000000002,0.04834252786108728,0.10500000000000002,0.04834252786108728,0.005250000000000001,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,-3.0,0.0,-367.5,-3.0,0.0,-1.0,0.0,0.0,-369.405,-3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x334_h38,True,True,369.405,369.41718155088563,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x184_h42,184.0,42.0,,1,600,10.0,G_P1_x_184_y_42_10_min.txt,3.345,1.9327530167370528,0.07890431149717758,0.07466592261534039,,,0.07890431149717758,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-8.0,1.485,0.09657064964492902,15.377342965590977,True,False,2.007,0.047342586898306546,1.116,0.033406586176980134,0.891,0.05794238978695741,0.891,0.05794238978695741,0.04455,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,1.0,0.0,-217.5,1.0,0.0,-1.0,0.0,0.0,-219.405,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x184_h42,True,True,219.405,219.4072788788011,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x203_h42,203.0,42.0,,1,600,10.0,G_P1_x_203_y_42_10_min.txt,3.07,1.8692932073804256,0.07631357562887701,0.07153087911291645,,,0.07631357562887701,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-8.0,1.2099999999999997,0.09446566479554533,12.808886727456334,True,False,1.8419999999999999,0.04578814537732621,1.116,0.033406586176980134,0.7259999999999999,0.056679398877327196,0.7259999999999999,0.056679398877327196,0.03629999999999999,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,1.0,0.0,-236.5,1.0,0.0,-1.0,0.0,0.0,-238.405,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x203_h42,True,True,238.405,238.40709726222497,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x321_h42,321.0,42.0,,1,600,10.0,G_P1_x_321_y_42_10_min.txt,2.0883333333333334,1.0672842709797097,0.04357169790664368,0.05899623340142619,,,0.05899623340142619,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-8.0,0.22833333333333328,0.08112062349091972,2.814738392128999,True,False,1.253,0.03539774004085571,1.116,0.033406586176980134,0.13699999999999996,0.048672374094551836,0.13699999999999996,0.048672374094551836,0.0068499999999999985,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,1.0,0.0,-354.5,1.0,0.0,-1.0,0.0,0.0,-356.405,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x321_h42,True,True,356.405,356.40640289562697,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x420_h42,420.0,42.0,,1,600,10.0,G_P1_x_420_y_42_10_min.txt,1.9633333333333334,0.8039897728289697,0.032822745030785645,0.05720334100576838,,,0.05720334100576838,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-8.0,0.10333333333333328,0.07982620009885365,1.2944789205219505,False,False,1.178,0.03432200460346103,1.116,0.033406586176980134,0.061999999999999965,0.04789572005931219,0.061999999999999965,0.04789572005931219,0.003099999999999998,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,1.0,0.0,-453.5,1.0,0.0,-1.0,0.0,0.0,-455.405,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x420_h42,True,True,455.405,455.4060979225025,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
