measurement_kind,position,distance_cm,height_cm,location_label,physical_point_id,duration_min,is_24h_measurement,replicate_label,is_short_measurement,is_long_measurement,file,file_name,input_format,source_column,original_rows,valid_rows,invalid_rows,valid_fraction,raw_numeric_mismatch_count,observed_duration_s,start_timestamp,end_timestamp,mean_mrem_h,median_mrem_h,std_mrem_h,sem_mrem_h,min_mrem_h,max_mrem_h,mean_uSv_h,median_uSv_h,std_uSv_h,sem_uSv_h,file_quality_status
background,background,,,3_sal_gang,background_3_sal_gang,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_3_sal_gang_10_min_mrem.csv,NF_P6_3_sal_gang_10_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.129,2026-03-11 13:14:12.589,2026-03-11 13:24:11.772,0.05,0.0,0.22565060823093663,0.009212147505241079,0.0,2.0,0.5,0.0,2.2565060823093663,0.09212147505241078,valid
background,background,,,6_sal,background_6_sal,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_6_sal_10_min_mrem.csv,NF_P6_6_sal_10_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.12,2026-03-11 15:05:59.659,2026-03-11 15:15:59.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valid
background,background,,,6_sal,background_6_sal,5.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_6_sal_5_min_mrem.csv,NF_P6_6_sal_5_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,300,300,0,1.0,0,300.06399999999996,2026-03-11 14:49:04.239,2026-03-11 14:54:03.329,0.0033333333333333335,0.0,0.05773502691896257,0.0033333333333333327,0.0,1.0,0.03333333333333333,0.0,0.5773502691896257,0.033333333333333326,valid
background,background,,,7_sal,background_7_sal,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_7_sal_10_min_mrem.csv,NF_P6_7_sal_10_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1289999999999,2026-03-11 15:26:16.141,2026-03-11 15:36:16.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valid
background,background,,,kalder,background_kalder,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_kalder_10_min_mrem.csv,NF_P6_kalder_10_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.049,2026-03-11 13:31:14.671,2026-03-11 13:41:13.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valid
background,background,,,kalder,background_kalder,5.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_kalder_5_min_mrem.csv,NF_P6_kalder_5_min_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,301,301,0,1.0,0,301.05999999999995,2026-03-11 14:19:59.622,2026-03-11 14:24:59.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valid
background,background,,,på_skabet,background_på_skabet,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_baggrund/NF_P6_på_skabet_10_min.csv,NF_P6_på_skabet_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.1179999999999,2026-03-19 12:59:04.470,2026-03-19 13:09:03.642,13.72,16.0,5.817617592918002,0.2375032436881268,2.0,33.0,137.20000000000002,160.0,58.17617592918002,2.375032436881268,valid
scan,P1,0.0,42.0,,P1_x0_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_0_y_42_10_min.csv,NF_P1_x_0_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.115,2026-03-04 13:46:07.982,2026-03-04 13:56:07.166,54.21,53.0,9.212347451977696,0.3760925098429019,24.0,86.0,542.1,530.0,92.12347451977695,3.760925098429019,valid
scan,P1,4.0,42.0,,P1_x4_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_4_y_42_10_min.csv,NF_P1_x_4_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.0909999999999,2026-02-20 18:07:24.637,2026-02-20 18:17:23.808,47.45166666666667,49.0,8.806640984579442,0.35952961266835487,21.0,71.0,474.51666666666665,490.0,88.06640984579442,3.595296126683549,valid
scan,P1,4.0,42.0,,P1_x4_h42,10.0,False,,True,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_4_y_42_10_min_SHORT.csv,NF_P1_x_4_y_42_10_min_SHORT.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.137,2026-02-20 18:34:23.228,2026-02-20 18:44:22.402,46.745,49.0,9.01510372422845,0.36804006837706693,22.0,72.0,467.45,490.0,90.1510372422845,3.680400683770669,valid
