measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_nominal_duration_min,files,contains_24h_measurement,number_of_24h_files,minimum_valid_fraction,raw_numeric_mismatch_count,pooled_mean_uSv_h,pooled_std_uSv_h,pooled_sem_uSv_h,between_file_std_uSv_h,between_file_sem_uSv_h,effective_sem_uSv_h,maximum_pairwise_repeat_z,repeat_agreement_flag,is_repeated_measurement,unresolved_between_file_variation,uncertainty_source,gross_mean_uSv_h,gross_sem_uSv_h,gross_sem_effective_uSv_h,gross_uncertainty_uSv_h,background_mean_uSv_h,background_sem_uSv_h,net_mean_uSv_h,net_sem_uSv_h,net_sem_effective_uSv_h,net_uncertainty_uSv_h,net_mean_mrem_h,net_uncertainty_mrem_h,net_significance_sigma,above_background_2sigma,statistically_above_background_2sigma,statistically_above_background_2sigma_effective,requires_quality_review,final_quality_status,quality_review_reason,reference_x_cm,reference_y_cm,direction_x,direction_y,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,instrument_orientation_deg,instrument_orientation_uncertainty_deg,radial_distance_from_source_cm,distance_from_source_3d_cm,height_group,height_group_label,plot_height_group,plot_height_group_label,coordinate_validation_passed,geometry_ready,above_cabinet,below_cabinet,within_cabinet_vertical_extent,horizontal_location,vertical_location,geometric_uncertainty_interpretation,measurement_quantity,instrument_model,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,net_plot_uncertainty_uSv_h
scan,P1,P1_x0_h42,0.0,42.0,,1,600,10.0,NF_P1_x_0_y_42_10_min.csv,False,0,1.0,0,542.1,92.12347451977695,3.7609250984290186,,,3.7609250984290186,,not_repeated,False,False,pooled reading-level SEM,542.1,3.7609250984290186,3.7609250984290186,3.7609250984290186,0.5,0.09212147505241078,541.6,3.762053157806141,3.762053157806141,3.762053157806141,54.160000000000004,0.3762053157806141,143.963941305879,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-44.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,44.25,44.26129799271594,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,541.6,3.762053157806141,3.762053157806141
scan,P1,P1_x4_h42,4.0,42.0,,2,1200,20.0,NF_P1_x_4_y_42_10_min.csv; NF_P1_x_4_y_42_10_min_SHORT.csv,False,0,1.0,0,470.98333333333335,89.14775651111303,2.573474060967116,4.996887920384933,3.533333333333331,3.533333333333331,1.3734893696445478,consistent_within_2sigma,True,False,between-file SEM,470.98333333333335,2.573474060967116,3.533333333333331,3.533333333333331,0.5,0.09212147505241078,470.48333333333335,2.575122348284914,3.5345340301955304,3.5345340301955304,47.04833333333333,0.353453403019553,133.11042680986898,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-48.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,48.25,48.26036158173704,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,470.48333333333335,3.5345340301955304,3.5345340301955304
scan,P1,P1_x57_h42,57.0,42.0,,1,600,10.0,NF_P1_x_57_y_42_10_min.csv,False,0,1.0,0,86.73333333333333,47.733213331814596,1.9487002741060184,,,1.9487002741060184,,not_repeated,False,False,pooled reading-level SEM,86.73333333333333,1.9487002741060184,1.9487002741060184,1.9487002741060184,0.5,0.09212147505241078,86.23333333333333,1.9508765015927336,1.9508765015927336,1.9508765015927336,8.623333333333333,0.19508765015927337,44.20235379478443,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-101.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,101.25,101.25493815118352,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,86.23333333333333,1.9508765015927336,1.9508765015927336
scan,P1,P1_x114_h42,114.0,42.0,,1,601,10.0,NF_P1_x_114_y_42_10_min.csv,False,0,1.0,0,30.282861896838604,17.226525741693507,0.702684641717657,,,0.702684641717657,,not_repeated,False,False,pooled reading-level SEM,30.282861896838604,0.702684641717657,0.702684641717657,0.702684641717657,0.5,0.09212147505241078,29.782861896838604,0.7086974473438605,0.7086974473438605,0.7086974473438605,2.9782861896838604,0.07086974473438605,42.024790703652606,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-158.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,158.25,158.25315952612132,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,29.782861896838604,0.7086974473438605,0.7086974473438605
scan,P1,P1_x176_h42,176.0,42.0,,1,601,10.0,NF_P1_x_176_y_42_10_min.csv,False,0,1.0,0,17.95341098169717,12.97322213301226,0.5291887687135638,,,0.5291887687135638,,not_repeated,False,False,pooled reading-level SEM,17.95341098169717,0.5291887687135638,0.5291887687135638,0.5291887687135638,0.5,0.09212147505241078,17.45341098169717,0.5371472043103358,0.5371472043103358,0.5371472043103358,1.745341098169717,0.05371472043103358,32.49278939114332,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-220.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,220.25,220.25227013586036,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,17.45341098169717,0.5371472043103358,0.5371472043103358
scan,P1,P1_x199_h42,199.0,42.0,,1,600,10.0,NF_P1_x_199_y_42_10_min.csv,False,0,1.0,0,13.966666666666667,12.524389117244635,0.5113060446219333,,,0.5113060446219333,,not_repeated,False,False,pooled reading-level SEM,13.966666666666667,0.5113060446219333,0.5113060446219333,0.5113060446219333,0.5,0.09212147505241078,13.466666666666667,0.5195384850352843,0.5195384850352843,0.5195384850352843,1.3466666666666667,0.05195384850352843,25.920441034800493,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-243.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,243.25,243.25205548977382,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,13.466666666666667,0.5195384850352843,0.5195384850352843
scan,P1,P1_x320_h42,320.0,42.0,,1,600,10.0,NF_P1_x_320_y_42_10_min.csv,False,0,1.0,0,4.75,7.119596038136135,0.2906562911362369,,,0.2906562911362369,,not_repeated,False,False,pooled reading-level SEM,4.75,0.2906562911362369,0.2906562911362369,0.2906562911362369,0.5,0.09212147505241078,4.25,0.30490563416064465,0.30490563416064465,0.30490563416064465,0.425,0.030490563416064466,13.938738822257434,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-364.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,364.25,364.25137268100997,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,4.25,0.30490563416064465,0.30490563416064465
scan,P1,P1_x420_h42,420.0,42.0,,1,600,10.0,NF_P1_x_420_y_42_10_min.csv,False,0,1.0,0,2.15,4.752031460860539,0.19400087201268085,,,0.19400087201268085,,not_repeated,False,False,pooled reading-level SEM,2.15,0.19400087201268085,0.19400087201268085,0.19400087201268085,0.5,0.09212147505241078,1.65,0.2147619717443303,0.2147619717443303,0.2147619717443303,0.16499999999999998,0.02147619717443303,7.6829244330290045,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-464.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,464.25,464.25107700467424,lower,Lower height group (42–65 cm),lower,Lower height group (42–65 cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,1.65,0.2147619717443303,0.2147619717443303
scan,P1,P1_x0_h85,0.0,85.0,,1,601,10.0,NF_P1_x_0_y_85_10_min.csv,False,0,1.0,0,79.1846921797005,45.19772300990493,1.8436535768091973,,,1.8436535768091973,,not_repeated,False,False,pooled reading-level SEM,79.1846921797005,1.8436535768091973,1.8436535768091973,1.8436535768091973,0.5,0.09212147505241078,78.6846921797005,1.8459536498642588,1.8459536498642588,1.8459536498642588,7.86846921797005,0.18459536498642587,42.62549722496366,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-44.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,44.25,62.40242383113015,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,78.6846921797005,1.8459536498642588,1.8459536498642588
scan,P1,P1_x7_h85,7.0,85.0,,1,601,10.0,NF_P1_x_7_y_85_10_min.csv,False,0,1.0,0,76.9883527454243,43.90992519672552,1.7911232083223827,,,1.7911232083223827,,not_repeated,False,False,pooled reading-level SEM,76.9883527454243,1.7911232083223827,1.7911232083223827,1.7911232083223827,0.5,0.09212147505241078,76.4883527454243,1.7934906505351227,1.7934906505351227,1.7934906505351227,7.64883527454243,0.17934906505351228,42.64775660949362,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-51.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,51.25,67.54674307470346,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,76.4883527454243,1.7934906505351227,1.7934906505351227
