position,physical_point_id,distance_cm,height_cm,number_of_files,minimum_valid_fraction,raw_numeric_mismatch_count,repeat_agreement_flag,unresolved_between_file_variation,net_significance_sigma,above_background_2sigma,requires_quality_review,final_quality_status,quality_review_reason
P1,P1_x0_h42,0.0,42.0,1,1.0,0,not_repeated,False,143.963941305879,True,False,valid,no quality issue identified
P1,P1_x0_h85,0.0,85.0,1,1.0,0,not_repeated,False,42.62549722496366,True,False,valid,no quality issue identified
P1,P1_x114_h42,114.0,42.0,1,1.0,0,not_repeated,False,42.024790703652606,True,False,valid,no quality issue identified
P1,P1_x114_h85,114.0,85.0,1,1.0,0,not_repeated,False,29.138953514745175,True,False,valid,no quality issue identified
P1,P1_x176_h42,176.0,42.0,1,1.0,0,not_repeated,False,32.49278939114332,True,False,valid,no quality issue identified
P1,P1_x176_h85,176.0,85.0,1,1.0,0,not_repeated,False,19.673843508035002,True,False,valid,no quality issue identified
P1,P1_x199_h42,199.0,42.0,1,1.0,0,not_repeated,False,25.920441034800493,True,False,valid,no quality issue identified
P1,P1_x199_h85,199.0,85.0,1,1.0,0,not_repeated,False,17.040507705831835,True,False,valid,no quality issue identified
P1,P1_x320_h42,320.0,42.0,1,1.0,0,not_repeated,False,13.938738822257434,True,False,valid,no quality issue identified
P1,P1_x320_h85,320.0,85.0,1,1.0,0,not_repeated,False,8.992986649266925,True,False,valid,no quality issue identified
P1,P1_x420_h42,420.0,42.0,1,1.0,0,not_repeated,False,7.6829244330290045,True,False,valid,no quality issue identified
P1,P1_x420_h85,420.0,85.0,2,1.0,0,consistent_within_2sigma,False,5.200352834085895,True,False,valid,no quality issue identified
P1,P1_x4_h42,4.0,42.0,2,1.0,0,consistent_within_2sigma,False,133.11042680986898,True,False,valid,no quality issue identified
P1,P1_x57_h42,57.0,42.0,1,1.0,0,not_repeated,False,44.20235379478443,True,False,valid,no quality issue identified
P1,P1_x57_h85,57.0,85.0,1,1.0,0,not_repeated,False,40.437362097293416,True,False,valid,no quality issue identified
P1,P1_x7_h85,7.0,85.0,1,1.0,0,not_repeated,False,42.64775660949362,True,False,valid,no quality issue identified
P2,P2_x0_h85,0.0,85.0,1,1.0,0,not_repeated,False,39.109649643797496,True,False,valid,no quality issue identified
P2,P2_x114_h55,114.0,55.0,1,1.0,0,not_repeated,False,29.285863439107263,True,False,valid,no quality issue identified
P2,P2_x114_h85,114.0,85.0,1,1.0,0,not_repeated,False,28.27148713262277,True,False,valid,no quality issue identified
P2,P2_x156_h85,156.0,85.0,1,1.0,0,not_repeated,False,23.43292872244354,True,False,valid,no quality issue identified
P2,P2_x176_h55,176.0,55.0,1,1.0,0,not_repeated,False,22.205679574328354,True,False,valid,no quality issue identified
P2,P2_x176_h85,176.0,85.0,1,1.0,0,not_repeated,False,24.250743232868192,True,False,valid,no quality issue identified
P2,P2_x199_h55,199.0,55.0,1,1.0,0,not_repeated,False,19.784862444362393,True,False,valid,no quality issue identified
P2,P2_x199_h85,199.0,85.0,1,1.0,0,not_repeated,False,19.8786703636413,True,False,valid,no quality issue identified
P2,P2_x2_h55,2.0,55.0,1,1.0,0,not_repeated,False,41.38605490066778,True,False,valid,no quality issue identified
P2,P2_x300_h85,300.0,85.0,1,1.0,0,not_repeated,False,17.162012834116553,True,False,valid,no quality issue identified
P2,P2_x30_h85,30.0,85.0,1,1.0,0,not_repeated,False,36.92457569206275,True,False,valid,no quality issue identified
P2,P2_x321_h55,321.0,55.0,1,1.0,0,not_repeated,False,12.852069690217444,True,False,valid,no quality issue identified
P2,P2_x321_h65,321.0,65.0,1,1.0,0,not_repeated,False,15.717869703886533,True,False,valid,no quality issue identified
P2,P2_x321_h85,321.0,85.0,1,1.0,0,not_repeated,False,14.037147170967991,True,False,valid,no quality issue identified
P2,P2_x420_h55,420.0,55.0,1,1.0,0,not_repeated,False,9.462715538081065,True,False,valid,no quality issue identified
P2,P2_x57_h55,57.0,55.0,1,1.0,0,not_repeated,False,35.82918243126521,True,False,valid,no quality issue identified
P2,P2_x57_h85,57.0,85.0,1,1.0,0,not_repeated,False,33.58221591518244,True,False,valid,no quality issue identified
P2,P2_x5_h85,5.0,85.0,1,1.0,0,not_repeated,False,40.58890814498273,True,False,valid,no quality issue identified
P3,P3_x0_h45,0.0,45.0,2,1.0,0,consistent_within_2sigma,False,64.34023139922222,True,False,valid,no quality issue identified
P3,P3_x0_h85,0.0,85.0,1,1.0,0,not_repeated,False,43.19273516154226,True,False,valid,no quality issue identified
P3,P3_x100_h85,100.0,85.0,1,1.0,0,not_repeated,False,26.341567807136407,True,False,valid,no quality issue identified
P3,P3_x114_h45,114.0,45.0,1,1.0,0,not_repeated,False,27.886718786556443,True,False,valid,no quality issue identified
P3,P3_x114_h85,114.0,85.0,1,1.0,0,not_repeated,False,23.94958121294028,True,False,valid,no quality issue identified
P3,P3_x176_h45,176.0,45.0,1,1.0,0,not_repeated,False,19.660414392725464,True,False,valid,no quality issue identified
P3,P3_x176_h85,176.0,85.0,1,1.0,0,not_repeated,False,16.958387098513708,True,False,valid,no quality issue identified
P3,P3_x199_h45,199.0,45.0,1,1.0,0,not_repeated,False,17.960738834210485,True,False,valid,no quality issue identified
P3,P3_x200_h85,200.0,85.0,1,1.0,0,not_repeated,False,14.767074551751934,True,False,valid,no quality issue identified
P3,P3_x225_h45,225.0,45.0,1,1.0,0,not_repeated,False,16.115368428933994,True,False,valid,no quality issue identified
P3,P3_x225_h85,225.0,85.0,1,1.0,0,not_repeated,False,12.993413816698318,True,False,valid,no quality issue identified
P3,P3_x300_h45,300.0,45.0,1,1.0,0,not_repeated,False,11.337151615312406,True,False,valid,no quality issue identified
P3,P3_x300_h85,300.0,85.0,1,1.0,0,not_repeated,False,9.114381856254893,True,False,valid,no quality issue identified
P3,P3_x400_h85,400.0,85.0,2,1.0,0,consistent_within_2sigma,False,5.587835031520926,True,False,valid,no quality issue identified
P3,P3_x57_h45,57.0,45.0,1,1.0,0,not_repeated,False,39.397940396462694,True,False,valid,no quality issue identified
P3,P3_x57_h85,57.0,85.0,1,1.0,0,not_repeated,False,33.29976965566197,True,False,valid,no quality issue identified
P3,P3_x5_h45,5.0,45.0,1,1.0,0,not_repeated,False,45.626483217760196,True,False,valid,no quality issue identified
P3,P3_x5_h85,5.0,85.0,1,1.0,0,not_repeated,False,37.853327765344616,True,False,valid,no quality issue identified
P4,P4_x0_h42,0.0,42.0,2,1.0,0,consistent_within_2sigma,False,61.42290166950237,True,False,valid,no quality issue identified
P4,P4_x152_h113,152.0,113.0,2,1.0,0,consistent_within_2sigma,False,19.743293478926514,True,False,valid,no quality issue identified
P4,P4_x20_h42,20.0,42.0,1,1.0,0,not_repeated,False,40.976694395123744,True,False,valid,no quality issue identified
P4,P4_x71_h42,71.0,42.0,1,1.0,0,not_repeated,False,24.30390017919566,True,False,valid,no quality issue identified
P4,P4_x85_h45,85.0,45.0,2,1.0,0,review_required,True,13.955183119718955,True,True,review_required,between-file variation exceeds the 2-sigma repeatability criterion
P5,P5_x0_h45,0.0,45.0,4,1.0,0,review_required,True,12.178154405533942,True,True,review_required,between-file variation exceeds the 2-sigma repeatability criterion
P5,P5_x0_h85,0.0,85.0,3,1.0,0,consistent_within_2sigma,False,73.63964586641433,True,False,valid,no quality issue identified
P5,P5_x6_h45,6.0,45.0,1,1.0,0,not_repeated,False,87.10714680317358,True,False,valid,no quality issue identified
P5,P5_x6_h85,6.0,85.0,1,1.0,0,not_repeated,False,48.87008855812434,True,False,valid,no quality issue identified
