measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_nominal_duration_min,files,contains_24h_measurement,number_of_24h_files,minimum_valid_fraction,raw_numeric_mismatch_count,pooled_mean_uSv_h,pooled_std_uSv_h,pooled_sem_uSv_h,between_file_std_uSv_h,between_file_sem_uSv_h,effective_sem_uSv_h,maximum_pairwise_repeat_z,repeat_agreement_flag,is_repeated_measurement,unresolved_between_file_variation,uncertainty_source,gross_mean_uSv_h,gross_sem_uSv_h,gross_sem_effective_uSv_h,gross_uncertainty_uSv_h,background_mean_uSv_h,background_sem_uSv_h,net_mean_uSv_h,net_sem_uSv_h,net_sem_effective_uSv_h,net_uncertainty_uSv_h,net_mean_mrem_h,net_uncertainty_mrem_h,net_significance_sigma,above_background_2sigma,statistically_above_background_2sigma,statistically_above_background_2sigma_effective,requires_quality_review,final_quality_status,quality_review_reason,reference_x_cm,reference_y_cm,direction_x,direction_y,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,instrument_orientation_deg,instrument_orientation_uncertainty_deg,radial_distance_from_source_cm,distance_from_source_3d_cm,height_group,height_group_label,plot_height_group,plot_height_group_label,coordinate_validation_passed,geometry_ready,above_cabinet,below_cabinet,within_cabinet_vertical_extent,horizontal_location,vertical_location,geometric_uncertainty_interpretation,measurement_quantity,instrument_model,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,net_plot_uncertainty_uSv_h
scan,P1,P1_x0_h85,0.0,85.0,,1,601,10.0,NF_P1_x_0_y_85_10_min.csv,False,0,1.0,0,79.1846921797005,45.19772300990493,1.8436535768091973,,,1.8436535768091973,,not_repeated,False,False,pooled reading-level SEM,79.1846921797005,1.8436535768091973,1.8436535768091973,1.8436535768091973,0.5,0.09212147505241078,78.6846921797005,1.8459536498642588,1.8459536498642588,1.8459536498642588,7.86846921797005,0.18459536498642587,42.62549722496366,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-44.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,44.25,62.40242383113015,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,78.6846921797005,1.8459536498642588,1.8459536498642588
scan,P1,P1_x7_h85,7.0,85.0,,1,601,10.0,NF_P1_x_7_y_85_10_min.csv,False,0,1.0,0,76.9883527454243,43.90992519672552,1.7911232083223827,,,1.7911232083223827,,not_repeated,False,False,pooled reading-level SEM,76.9883527454243,1.7911232083223827,1.7911232083223827,1.7911232083223827,0.5,0.09212147505241078,76.4883527454243,1.7934906505351227,1.7934906505351227,1.7934906505351227,7.64883527454243,0.17934906505351228,42.64775660949362,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-51.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,51.25,67.54674307470346,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,76.4883527454243,1.7934906505351227,1.7934906505351227
scan,P1,P1_x57_h85,57.0,85.0,,1,601,10.0,NF_P1_x_57_y_85_10_min.csv,False,0,1.0,0,29.633943427620633,17.517584857987536,0.7145571907109064,,,0.7145571907109064,,not_repeated,False,False,pooled reading-level SEM,29.633943427620633,0.7145571907109064,0.7145571907109064,0.7145571907109064,0.5,0.09212147505241078,29.133943427620633,0.7204709188874279,0.7204709188874279,0.7204709188874279,2.9133943427620634,0.07204709188874278,40.437362097293416,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-101.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,101.25,110.39729389799372,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,29.133943427620633,0.7204709188874279,0.7204709188874279
scan,P1,P1_x114_h85,114.0,85.0,,1,600,10.0,NF_P1_x_114_y_85_10_min.csv,False,0,1.0,0,15.133333333333333,12.092391496683799,0.4936698156140915,,,0.4936698156140915,,not_repeated,False,False,pooled reading-level SEM,15.133333333333333,0.4936698156140915,0.4936698156140915,0.4936698156140915,0.5,0.09212147505241078,14.633333333333333,0.5021914505587317,0.5021914505587317,0.5021914505587317,1.4633333333333334,0.050219145055873174,29.138953514745175,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-158.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,158.25,164.25304411182157,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,14.633333333333333,0.5021914505587317,0.5021914505587317
scan,P1,P1_x176_h85,176.0,85.0,,1,601,10.0,NF_P1_x_176_y_85_10_min.csv,False,0,1.0,0,7.404326123128119,8.301681431300516,0.3386326488392692,,,0.3386326488392692,,not_repeated,False,False,pooled reading-level SEM,7.404326123128119,0.3386326488392692,0.3386326488392692,0.3386326488392692,0.5,0.09212147505241078,6.904326123128119,0.3509393637449805,0.3509393637449805,0.3509393637449805,0.6904326123128119,0.03509393637449805,19.673843508035002,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-220.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,220.25,224.6020091183514,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,6.904326123128119,0.3509393637449805,0.3509393637449805
scan,P1,P1_x199_h85,199.0,85.0,,1,600,10.0,NF_P1_x_199_y_85_10_min.csv,False,0,1.0,0,6.3,8.026042752842198,0.3276618233037704,,,0.3276618233037704,,not_repeated,False,False,pooled reading-level SEM,6.3,0.3276618233037704,0.3276618233037704,0.3276618233037704,0.5,0.09212147505241078,5.8,0.3403654456853445,0.3403654456853445,0.3403654456853445,0.58,0.03403654456853445,17.040507705831835,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-243.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,243.25,247.19741604636567,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,5.8,0.3403654456853445,0.3403654456853445
scan,P1,P1_x320_h85,320.0,85.0,,1,601,10.0,NF_P1_x_320_y_85_10_min.csv,False,0,1.0,0,2.4792013311148087,4.899998302149184,0.19987509977298168,,,0.19987509977298168,,not_repeated,False,False,pooled reading-level SEM,2.4792013311148087,0.19987509977298168,0.19987509977298168,0.19987509977298168,0.5,0.09212147505241078,1.9792013311148087,0.22008276096753085,0.22008276096753085,0.22008276096753085,0.19792013311148088,0.022008276096753085,8.992986649266925,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-364.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,364.25,366.89789110868435,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,1.9792013311148087,0.22008276096753085,0.22008276096753085
scan,P1,P1_x420_h85,420.0,85.0,,2,1202,20.0,NF_P1_x_420_y_85_10_min.csv; NF_P1_x_420_y_85_10_min_2.csv,False,0,1.0,0,1.4143094841930117,3.783886458847397,0.10914048074375954,0.21177906924056328,0.14975041597337765,0.14975041597337765,1.3725935397178717,consistent_within_2sigma,True,False,between-file SEM,1.4143094841930117,0.10914048074375954,0.14975041597337765,0.14975041597337765,0.5,0.09212147505241078,0.9143094841930117,0.14282160446798967,0.17581681731288273,0.17581681731288273,0.09143094841930118,0.017581681731288275,5.200352834085895,True,True,True,False,valid,no quality issue identified,0.0,-44.25,0.0,-1.0,0.0,-464.25,44.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,464.25,466.33042201855113,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,0.9143094841930117,0.17581681731288273,0.17581681731288273
scan,P2,P2_x0_h85,0.0,85.0,,1,601,10.0,NF_P2_x_0_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,26.339434276206322,16.03884635334131,0.6542381889625429,,,0.6542381889625429,,not_repeated,False,False,pooled reading-level SEM,26.339434276206322,0.6542381889625429,0.6542381889625429,0.6542381889625429,0.5,0.09212147505241078,25.839434276206322,0.6606920417734876,0.6606920417734876,0.6606920417734876,2.5839434276206323,0.06606920417734877,39.109649643797496,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,50.10139789775538,-41.10139789775538,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,64.80335624378431,78.32927281967335,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,25.839434276206322,0.6606920417734876,0.6606920417734876
scan,P2,P2_x5_h85,5.0,85.0,,1,600,10.0,NF_P2_x_5_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,25.616666666666667,14.988689855850655,0.6119107009944076,,,0.6119107009944076,,not_repeated,False,False,pooled reading-level SEM,25.616666666666667,0.6119107009944076,0.6119107009944076,0.6119107009944076,0.5,0.09212147505241078,25.116666666666667,0.6188061668707732,0.6188061668707732,0.6188061668707732,2.5116666666666667,0.06188061668707732,40.58890814498273,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,53.63693180368812,-44.63693180368812,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,69.7809152574011,82.49470367339102,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,25.116666666666667,0.6188061668707732,0.6188061668707732
