height_group,position,number_of_points,minimum_distance_cm,maximum_distance_cm,minimum_net_uSv_h,maximum_net_uSv_h
lower,P1,8,0.0,420.0,1.65,541.6
lower,P2,8,2.0,420.0,2.216666666666667,42.266666666666666
lower,P3,8,0.0,300.0,2.8111480865224623,130.2071547420965
lower,P4,4,0.0,85.0,12.922148209825146,71.89600665557404
lower,P5,2,0.0,6.0,193.56666666666666,250.8745892661555
upper,P1,8,0.0,420.0,0.9143094841930117,78.6846921797005
upper,P2,10,0.0,321.0,3.8166666666666664,25.839434276206322
upper,P3,10,0.0,400.0,0.7666666666666666,37.087354409317804
upper,P4,1,152.0,152.0,4.487510407993339,4.487510407993339
upper,P5,2,0.0,6.0,44.666666666666664,51.51338538761852
