position,distance_cm,geometry_x_cm,geometry_y_cm,direction_x,direction_y,median_neutron_dose_rate_uSv_h,median_combined_sem_uSv_h,number_of_heights,x_position_limit_cm,y_position_limit_cm,z_position_limit_cm,position_limit_cm_each_axis,instrument_orientation_deg,instrument_orientation_limit_deg
P1,0.0,0.0,-44.25,0.0,-1.0,310.14234608985026,2.8040034038351997,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,4.0,0.0,-48.25,0.0,-1.0,470.48333333333335,3.5345340301955304,1,1.0,1.0,1.0,1.0,90.0,1.0
P1,7.0,0.0,-51.25,0.0,-1.0,76.4883527454243,1.7934906505351227,1,1.0,1.0,1.0,1.0,90.0,1.0
P1,57.0,0.0,-101.25,0.0,-1.0,57.683638380476985,1.3356737102400809,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,114.0,0.0,-158.25,0.0,-1.0,22.20809761508597,0.6054444489512961,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,176.0,0.0,-220.25,0.0,-1.0,12.178868552412645,0.44404328402765814,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,199.0,0.0,-243.25,0.0,-1.0,9.633333333333333,0.42995196536031444,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,320.0,0.0,-364.25,0.0,-1.0,3.114600665557404,0.26249419756408776,2,1.0,1.0,1.0,1.0,90.0,1.0
P1,420.0,0.0,-464.25,0.0,-1.0,1.2821547420965058,0.1952893945286065,2,1.0,1.0,1.0,1.0,90.0,1.0
P2,0.0,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,25.839434276206322,0.6606920417734876,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,2.0,51.515611460128476,-42.515611460128476,0.7071067811865475,-0.7071067811865475,42.266666666666666,1.0212779828401735,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,5.0,53.63693180368812,-44.63693180368812,0.7071067811865475,-0.7071067811865475,25.116666666666667,0.6188061668707732,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,30.0,71.3146013333518,-62.3146013333518,0.7071067811865475,-0.7071067811865475,23.643094841930118,0.640307827477958,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,57.0,90.40648442538858,-81.40648442538858,0.7071067811865475,-0.7071067811865475,22.43677204658902,0.6445470007725895,2,1.0,1.0,1.0,1.0,90.0,1.0
P2,114.0,130.7115709530218,-121.7115709530218,0.7071067811865475,-0.7071067811865475,13.258333333333333,0.4606541752124659,2,1.0,1.0,1.0,1.0,90.0,1.0
P2,156.0,160.41005576285679,-151.41005576285679,0.7071067811865475,-0.7071067811865475,10.133333333333333,0.4324398991419221,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,176.0,174.55219138658774,-165.55219138658774,0.7071067811865475,-0.7071067811865475,9.108985024958404,0.3925498769494516,2,1.0,1.0,1.0,1.0,90.0,1.0
P2,199.0,190.81564735387835,-181.81564735387835,0.7071067811865475,-0.7071067811865475,7.511647254575707,0.3787695681253678,2,1.0,1.0,1.0,1.0,90.0,1.0
P2,300.0,262.2334322537196,-253.23343225371963,0.7071067811865475,-0.7071067811865475,5.406821963394343,0.31504591073641797,1,1.0,1.0,1.0,1.0,90.0,1.0
P2,321.0,277.08267465863713,-268.08267465863713,0.7071067811865475,-0.7071067811865475,3.8166666666666664,0.2731064681151372,3,1.0,1.0,1.0,1.0,90.0,1.0
P2,420.0,347.0862459961053,-338.0862459961053,0.7071067811865475,-0.7071067811865475,2.216666666666667,0.23425270026833994,1,1.0,1.0,1.0,1.0,90.0,1.0
P3,0.0,53.25,0.0,1.0,0.0,83.64725457570715,1.4411881948121206,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,5.0,58.25,0.0,1.0,0.0,67.67803660565724,1.5609611283742466,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,57.0,110.25,0.0,1.0,0.0,20.564891846921796,0.5618075900985186,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,100.0,153.25,0.0,1.0,0.0,12.295341098169716,0.4667657289114996,1,1.0,1.0,1.0,1.0,90.0,1.0
P3,114.0,167.25,0.0,1.0,0.0,11.521630615640598,0.44366090369822664,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,176.0,229.25,0.0,1.0,0.0,6.9,0.3768250779260891,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,199.0,252.25,0.0,1.0,0.0,5.872712146422629,0.3269749758421216,1,1.0,1.0,1.0,1.0,90.0,1.0
P3,200.0,253.25,0.0,1.0,0.0,4.65,0.3148897219759979,1,1.0,1.0,1.0,1.0,90.0,1.0
P3,225.0,278.25,0.0,1.0,0.0,4.445077648363839,0.3017958633051639,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,300.0,353.25,0.0,1.0,0.0,2.445091514143095,0.2380319074558287,2,1.0,1.0,1.0,1.0,90.0,1.0
P3,400.0,453.25,0.0,1.0,0.0,0.7666666666666666,0.13720280973613339,1,1.0,1.0,1.0,1.0,90.0,1.0
P4,0.0,50.10139789775538,41.10139789775538,0.7071067811865475,0.7071067811865475,43.141666666666666,0.702371029275019,1,1.0,1.0,1.0,1.0,90.0,1.0
P4,20.0,64.24353352148633,55.243533521486334,0.7071067811865475,0.7071067811865475,27.433333333333334,0.6694862467138862,1,1.0,1.0,1.0,1.0,90.0,1.0
P4,71.0,100.30597936200024,91.30597936200024,0.7071067811865475,0.7071067811865475,71.89600665557404,2.9582086054285894,1,1.0,1.0,1.0,1.0,90.0,1.0
P4,85.0,110.20547429861192,101.20547429861192,0.7071067811865475,0.7071067811865475,12.922148209825146,0.925974822327189,1,1.0,1.0,1.0,1.0,90.0,1.0
P4,152.0,157.5816286381106,148.5816286381106,0.7071067811865475,0.7071067811865475,4.487510407993339,0.22729289886630072,1,1.0,1.0,1.0,1.0,90.0,1.0
P5,0.0,0.0,44.25,0.0,1.0,151.19398732688703,10.64995586839376,2,1.0,1.0,1.0,1.0,90.0,1.0
P5,6.0,0.0,50.25,0.0,1.0,119.11666666666666,1.5680776470160334,2,1.0,1.0,1.0,1.0,90.0,1.0
