point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode,measured_neutron_ap_component_uSv_h,u_measured_neutron_ap_component_uSv_h,measured_gamma_ap_component_uSv_h,u_measured_gamma_ap_component_uSv_h,measured_total_ap_estimate_uSv_h,u_measured_total_ap_estimate_uSv_h,neutron_component_available,gamma_component_available,total_estimate_available,neutron_height_interpolation_mode,gamma_height_interpolation_mode,neutron_support_minimum_height_cm,neutron_support_maximum_height_cm,gamma_support_minimum_height_cm,gamma_support_maximum_height_cm,horizontal_position_limit_cm,vertical_uncertainty_scope,result_status,relative_total_uncertainty_percent
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,0.0,-35.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,541.6,25.412725161054105,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,0.0,-39.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,470.48333333333323,22.373504640442857,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
N5_P1_x6_h42,P1,6.0,42.0,0.0,-50.25000000000003,1.0000000000000142,0.0,-41.405000000000186,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,441.30399942851125,21.795867637672277,43.3431846289391,3.8180871102318377,484.6471840574503,22.12775712222656,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,4.565745525842883
N5_P1_x10_h42,P1,10.0,42.0,0.0,-54.25000000000002,1.0000000000000142,0.0,-45.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,388.26219318141176,20.684948730651953,22.70781615686542,2.126203009944749,410.9700093382772,20.79393765570143,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.059721435435827
N5_P1_x13_h42,P1,13.0,42.0,0.0,-57.25000000000002,1.0000000000000142,0.0,-48.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,352.70818123641214,19.88907859775069,32.3715756021093,3.1596930511005525,385.07975683852146,20.138498147694072,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,45.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.22969535273154
N5_P1_x30_h42,P1,30.0,42.0,0.0,-74.25000000000001,1.0000000000000142,0.0,-65.40500000000016,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,204.67335269002297,15.924136202664153,18.82758745470974,2.3577351525968493,223.5009401447327,16.097733655728995,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,7.20253509685667
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,0.0,-92.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,86.23333333333332,11.186592560827348,9.697431846851995,1.7630818221113624,95.93076518018532,11.324677065303774,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,11.80505236670718
N5_P1_x75_h42,P1,75.0,42.0,0.0,-119.24999999999999,1.000000000000007,0.0,-110.4050000000001,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,61.64138838162845,9.201473895589983,7.311357434708696,1.5970753629273553,68.95274581633714,9.339045538281384,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,13.544124208130754
N5_P1_x87_h42,P1,87.0,42.0,0.0,-131.24999999999997,1.000000000000007,0.0,-122.40500000000009,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,49.2799854205426,8.077874786707422,5.7125063799634965,1.3895907013165005,54.9924918005061,8.196525079990225,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,14.904807568503001
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,0.0,-149.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,29.782861896838607,6.026102075492008,4.47833819232504,1.387265781208173,34.26120008916365,6.183721579434201,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,18.04875942273262
