position,analysis_height_interval,target_points,neutron_component_points,gamma_component_points,total_points,minimum_total_uSv_h,maximum_total_uSv_h
P1,lower,20,20,17,17,4.088485055397373,484.6471840574503
P1,upper,9,9,0,0,,
P2,lower,7,7,6,6,3.553500245890645,52.593861581314904
P2,upper,12,11,3,3,7.823955555784951,10.848075260715767
P3,lower,9,8,4,4,7.63148654472591,106.35133984464827
P3,upper,10,10,1,1,6.636903077979385,6.636903077979385
P4,lower,8,8,6,6,29.567544061763815,72.82108048269583
P4,upper,2,1,0,0,,
P5,lower,2,2,2,2,205.9847650369137,265.9128359717041
P5,upper,2,2,1,1,57.57935950193362,57.57935950193362
