position,analysis_height_interval,radiation_type,number_of_measurements,number_of_heights,minimum_height_cm,maximum_height_cm,minimum_distance_cm,maximum_distance_cm
P1,lower,gamma,15,4,38.0,50.0,6.0,420.0
P1,lower,neutron,8,1,42.0,42.0,0.0,420.0
P1,upper,neutron,8,1,85.0,85.0,0.0,420.0
P2,lower,gamma,7,1,65.0,65.0,2.0,420.0
P2,lower,neutron,8,2,55.0,65.0,2.0,420.0
P2,upper,gamma,5,2,85.0,98.0,176.0,400.0
P2,upper,neutron,10,1,85.0,85.0,0.0,321.0
P3,lower,gamma,8,3,45.0,65.0,5.0,320.0
P3,lower,neutron,8,1,45.0,45.0,0.0,300.0
P3,upper,gamma,1,1,88.0,88.0,176.0,176.0
P3,upper,neutron,10,1,85.0,85.0,0.0,400.0
P4,lower,gamma,3,1,58.0,58.0,0.0,71.0
P4,lower,neutron,4,2,42.0,45.0,0.0,85.0
P4,upper,gamma,1,1,105.0,105.0,138.0,138.0
P4,upper,neutron,1,1,113.0,113.0,152.0,152.0
P5,lower,gamma,4,3,40.0,60.0,0.0,6.0
P5,lower,neutron,2,1,45.0,45.0,0.0,6.0
P5,upper,gamma,1,1,85.0,85.0,6.0,6.0
P5,upper,neutron,2,1,85.0,85.0,0.0,6.0
