position,analysis_height_interval,number_of_theory_points,minimum_neutron_factor,median_neutron_factor,maximum_neutron_factor,minimum_gamma_factor,median_gamma_factor,maximum_gamma_factor,median_neutron_ap_fraction,median_gamma_ap_fraction
P1,lower,8,1.0,1.0,1.0,0.7655322981778252,1.421081689539192,3.904714043001198,0.9923969431513857,0.007603056848614256
P1,upper,9,1.0,1.0,1.0,1.2784359132705607,1.9934147679819985,3.222523587367768,0.9943231534882676,0.005676846511732416
P2,lower,7,1.0,1.0,1.0,0.33542660381414185,0.9635116866248353,3.0117220515159655,0.9991084732880334,0.0008915267119665045
P2,upper,10,1.0,1.0,1.0,0.3178384912779692,1.5112572649554532,5.796788322148327,0.9987675111204958,0.001232488879504072
P3,lower,8,1.0,1.0,1.0,0.26930749363921913,1.0063979514625703,1.502236909505197,0.9993381824511245,0.0006618175488755939
P3,upper,10,1.0,1.0,1.0,0.8366085194730408,1.080139614223785,3.606486960605478,0.9986924206284624,0.0013075793715375114
P4,lower,4,1.0,1.0,1.0,1.2554088380125363,1.5796932390848146,1.8688360143874658,0.9995532538250826,0.0004467461749173485
P4,upper,1,1.0,1.0,1.0,1.1227002259927241,1.1227002259927241,1.1227002259927241,0.9995942539748514,0.00040574602514871315
P5,lower,2,1.0,1.0,1.0,1.0567245243165282,1.1211964804352044,1.1856684365538805,0.9989483045260041,0.0010516954739957821
P5,upper,2,1.0,1.0,1.0,1.497644726892479,1.7170841141145954,1.9365235013367115,0.9971697199316646,0.0028302800683355158
