point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,0.0,-35.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,0.0,-39.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,0.0,-92.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,0.0,-149.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x176_h42,P1,176.0,42.0,0.0,-220.25,1.0,0.0,-211.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x199_h42,P1,199.0,42.0,0.0,-243.25,1.0,0.0,-234.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x320_h42,P1,320.0,42.0,0.0,-364.25,1.0,0.0,-355.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x420_h42,P1,420.0,42.0,0.0,-464.25,1.0,0.0,-455.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x0_h85,P1,0.0,85.0,0.0,-44.25,44.0,0.0,-35.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x4_h85,P1,4.0,85.0,0.0,-48.25,44.0,0.0,-39.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x7_h85,P1,7.0,85.0,0.0,-51.25,44.0,0.0,-42.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x57_h85,P1,57.0,85.0,0.0,-101.25,44.0,0.0,-92.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x114_h85,P1,114.0,85.0,0.0,-158.25,44.0,0.0,-149.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x176_h85,P1,176.0,85.0,0.0,-220.25,44.0,0.0,-211.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x199_h85,P1,199.0,85.0,0.0,-243.25,44.0,0.0,-234.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x320_h85,P1,320.0,85.0,0.0,-364.25,44.0,0.0,-355.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P1_x420_h85,P1,420.0,85.0,0.0,-464.25,44.0,0.0,-455.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P2_x2_h55,P2,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,45.261251980533466,-36.261251980533466,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P2_x57_h55,P2,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,84.15212494579359,-75.15212494579359,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
