radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent,component_conversion_factor,u_mc_component_conversion_factor,component_ap_dose_rate_uSv_h,u_component_ap_dose_rate_uSv_h,u_scaled_measurement_uSv_h,u_scaled_notebook3_mc_uSv_h,component_ap_95_upper_uSv_h,central_interpolation_eligible,gamma_upper_limit_only,factor_available,theory_factor_distance_endpoint_representative,theory_factor_height_endpoint_representative,theory_factor_interpolation_status
gamma,P1,P1_x30_h38,30.0,38.0,0.0,-65.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,11.694,0.1641021710324473,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,1.4033023006024228,1.3856900807185628,0.172573944073032,16.204259803922874,2.030850574561202,0.22739475062404332,2.0180797019900365,16.57829088423656,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x75_h38,75.0,38.0,0.0,-110.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,3.286,0.0961954049138743,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.9274316772329363,1.8159479267338323,0.39591197730966354,5.967204887247373,1.3126422394527715,0.17468584611467153,1.3009667574395545,6.254537534806177,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x87_h38,87.0,38.0,0.0,-122.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,1.7859999999999998,0.0764190188635882,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.278780451488702,2.0752539380539874,0.5049772265606597,3.706403533364421,0.9157263713244942,0.15858886983888337,0.9018893266373381,3.9672590111130432,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x114_h38,114.0,38.0,0.0,-149.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,1.235,0.0685490331800276,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.550529002431384,2.802198669208621,0.8730445096903566,3.4607153564726474,1.0951869893644586,0.19208800955261096,1.0782099694675906,3.7766720156791487,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x164_h38,164.0,38.0,0.0,-199.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.4059999999999999,0.051361464153585,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,12.650606934380544,1.1286091814664503,0.48409892462081333,0.4582153276753787,0.2049140882778411,0.057967020017296,0.19654416339605016,0.5535625907943966,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x334_h38,334.0,38.0,0.0,-369.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.105,0.0483425278610872,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,46.04050272484495,3.4833249110331117,3.4858219006671125,0.36574911565847673,0.4028900389131937,0.16839273156083728,0.3660112995700468,0.6427305109185855,True,False,True,False,True,endpoint-representative within same P and height interval
neutron,P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,541.6,3.762053157806141,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.6946183821650925,1.0,0.046404576878115535,541.6,25.412725161054105,3.762053157806141,25.132718837187376,547.7880267814016,True,False,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,470.48333333333335,3.5345340301955304,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.7512559488884899,1.0,0.04695713693168084,470.48333333333335,22.37350464044286,3.5345340301955304,22.092550307406974,476.2971244524839,True,False,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,86.23333333333333,1.9508765015927336,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.262322962805644,1.0,0.12773678036248456,86.23333333333333,11.186592560827346,1.9508765015927336,11.01516835992492,89.44223962271255,True,False,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,29.782861896838604,0.7086974473438605,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.3795478413009308,1.0,0.20093045290681436,29.782861896838604,6.026102075492007,0.7086974473438605,5.984283929792885,30.948565463513404,True,False,True,False,False,interpolated within Notebook 3 factor support
