radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent
neutron,P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,541.6,3.762053157806141,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.6946183821650925
neutron,P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,470.48333333333335,3.5345340301955304,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.7512559488884899
neutron,P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,86.23333333333333,1.9508765015927336,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.262322962805644
neutron,P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,29.782861896838604,0.7086974473438605,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.3795478413009308
neutron,P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,17.45341098169717,0.5371472043103358,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.077605889608769
neutron,P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,13.466666666666669,0.5195384850352843,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.8579590472917147
neutron,P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,4.25,0.3049056341606446,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,7.174250215544578
neutron,P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,1.65,0.2147619717443303,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,13.015877075413957
neutron,P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,78.6846921797005,1.8459536498642588,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.346013689229997
neutron,P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,76.4883527454243,1.793490650535123,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.3447892210522383
