radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent
gamma,P1,P1_x30_h38,30.0,38.0,0.0,-65.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,11.694,0.1641021710324473,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,1.4033023006024228
gamma,P1,P1_x75_h38,75.0,38.0,0.0,-110.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,3.286,0.0961954049138743,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.9274316772329363
gamma,P1,P1_x87_h38,87.0,38.0,0.0,-122.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,1.7859999999999998,0.0764190188635882,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.278780451488702
gamma,P1,P1_x114_h38,114.0,38.0,0.0,-149.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,1.235,0.0685490331800276,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.550529002431384
gamma,P1,P1_x164_h38,164.0,38.0,0.0,-199.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.4059999999999999,0.051361464153585,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,12.650606934380544
gamma,P1,P1_x334_h38,334.0,38.0,0.0,-369.405,-3.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.105,0.0483425278610872,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,46.04050272484495
neutron,P1,P1_x0_h42,0.0,42.0,0.0,-44.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,541.6,3.762053157806141,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.6946183821650925
neutron,P1,P1_x4_h42,4.0,42.0,0.0,-48.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,470.48333333333335,3.5345340301955304,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.7512559488884899
neutron,P1,P1_x57_h42,57.0,42.0,0.0,-101.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,86.23333333333333,1.9508765015927336,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.262322962805644
neutron,P1,P1_x114_h42,114.0,42.0,0.0,-158.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,29.782861896838604,0.7086974473438605,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.3795478413009308
