component,position,analysis_height_interval,number_of_comparisons,geometric_mean_simulated_to_n5_ratio,median_simulated_to_n5_ratio,minimum_simulated_to_n5_ratio,maximum_simulated_to_n5_ratio,fraction_within_factor_two
neutron,P1,lower,20,0.2229542240577196,0.2213749545722265,0.11855203340091043,0.4117379489588585,0.0
neutron,P1,upper,9,0.5657698166914827,0.4792488869532335,0.3820642507832573,1.2008099931104221,0.4444444444444444
neutron,P2,lower,7,0.2546456381610194,0.2780546652774394,0.15045332217384802,0.3467015944095288,0.0
neutron,P2,upper,11,0.25521820190714045,0.2918889793123482,0.1418297371778168,0.4469192034429448,0.0
neutron,P3,lower,8,0.28441454114241577,0.32980562844873135,0.11830708077882665,0.5075641270576663,0.125
neutron,P3,upper,10,0.37552636100255343,0.3498561029449816,0.2187280179974771,0.6337064483080879,0.3
neutron,P4,lower,4,0.2593442752688236,0.3694917521439993,0.07274479848629439,0.46113764600837753,0.0
neutron,P4,upper,1,0.6499088772765779,0.6499088772765779,0.6499088772765779,0.6499088772765779,1.0
neutron,P5,lower,2,0.3841857727748175,0.3843743803423486,0.37233460206446073,0.39641415862023643,0.0
neutron,P5,upper,2,0.6559480494707043,0.6560848469840219,0.6426877264864732,0.6694819674815705,1.0
gamma,P1,lower,17,0.020653980387070843,0.017833601169907187,0.015480783254069354,0.05611895943498173,0.0
gamma,P1,upper,0,,,,,
gamma,P2,lower,6,0.006242914714353651,0.006315985461270516,0.0017042664094844271,0.015562321141666984,0.0
gamma,P2,upper,3,0.004990173878389026,0.005735715663342915,0.003600897917552811,0.006016564986087795,0.0
gamma,P3,lower,4,0.007067711501634875,0.007071812646590677,0.005969106428986884,0.008393155806003512,0.0
gamma,P3,upper,1,0.008670475077169058,0.008670475077169056,0.008670475077169056,0.008670475077169056,0.0
gamma,P4,lower,3,0.002359458971906367,0.002424415527248265,0.001976344367886401,0.0027413697264487774,0.0
gamma,P4,upper,0,,,,,
gamma,P5,lower,2,0.006518043831917545,0.006521784767966829,0.006300920183015396,0.006742649352918262,0.0
gamma,P5,upper,1,0.006139804634982419,0.006139804634982417,0.006139804634982417,0.006139804634982417,0.0
total,P1,lower,17,0.21424884466582717,0.2040547177227611,0.14608046618943457,0.3677242400245631,0.0
total,P1,upper,0,,,,,
total,P2,lower,6,0.26059027251866496,0.27694201067332086,0.20622099903217836,0.3064522298573799,0.0
total,P2,upper,3,0.22767978140343642,0.27988620560780814,0.14997733661662824,0.28116824230495424,0.0
total,P3,lower,4,0.37806654511625715,0.3848751858825942,0.2881936286446917,0.4816406898878255,0.0
total,P3,upper,1,0.24651854926301026,0.24651854926301023,0.24651854926301023,0.24651854926301023,0.0
total,P4,lower,3,0.2277899625279476,0.3843015372482601,0.07185551835854476,0.4280273310048449,0.0
total,P4,upper,0,,,,,
total,P5,lower,2,0.3621218129070302,0.3622782115166764,0.3516341917568547,0.37292223127649804,0.0
total,P5,upper,1,0.520721479910812,0.520721479910812,0.520721479910812,0.520721479910812,1.0
