point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode,measured_neutron_ap_component_uSv_h,u_measured_neutron_ap_component_uSv_h,measured_gamma_ap_component_uSv_h,u_measured_gamma_ap_component_uSv_h,measured_total_ap_estimate_uSv_h,u_measured_total_ap_estimate_uSv_h,neutron_component_available,gamma_component_available,total_estimate_available,neutron_height_interpolation_mode,gamma_height_interpolation_mode,neutron_support_minimum_height_cm,neutron_support_maximum_height_cm,gamma_support_minimum_height_cm,gamma_support_maximum_height_cm,horizontal_position_limit_cm,vertical_uncertainty_scope,result_status,relative_total_uncertainty_percent,simulated_neutron_ap_uSv_h,u_mc_simulated_neutron_ap_uSv_h,simulated_gamma_ap_uSv_h,u_mc_simulated_gamma_ap_uSv_h,simulated_total_ap_uSv_h,u_mc_simulated_total_ap_uSv_h,simulation_grid_status,simulation_available,neutron_comparison_available,gamma_comparison_available,total_comparison_available,simulated_to_n5_neutron_ratio,log10_simulated_to_n5_neutron_ratio,simulated_minus_n5_neutron_relative_residual_percent,n5_minus_simulated_neutron_relative_deviation_percent,simulated_to_n5_gamma_ratio,log10_simulated_to_n5_gamma_ratio,simulated_minus_n5_gamma_relative_residual_percent,n5_minus_simulated_gamma_relative_deviation_percent,simulated_to_n5_total_ratio,log10_simulated_to_n5_total_ratio,simulated_minus_n5_total_relative_residual_percent,n5_minus_simulated_total_relative_deviation_percent,comparison_dependence_status,ratio_uncertainty_status
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,0.0,-35.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,541.6,25.412725161054105,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,,121.49949771851662,3.986761923758079,0.9595209207722926,0.0663805032087654,122.45901863928891,3.987314510787112,exact Notebook 3 target point,True,True,False,False,0.22433437540346496,-0.649104173121584,-77.5665624596535,345.76315965910345,,,,,,,,,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,0.0,-39.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,470.4833333333332,22.373504640442857,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,,104.25980719390064,3.4618123974567365,0.7741706392916285,0.0580008058519855,105.03397783319228,3.4622982495251096,exact Notebook 3 target point,True,True,False,False,0.22160148895228454,-0.6544273258858977,-77.83985110477154,351.2605058422333,,,,,,,,,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x6_h42,P1,6.0,42.0,0.0,-50.25000000000003,1.0000000000000142,0.0,-41.405000000000186,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,441.3039994285113,21.79586763767228,43.3431846289391,3.8180871102318377,484.6471840574503,22.12775712222656,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,4.565745525842883,97.74361891682858,3.3703543803528113,0.730246499453606,0.056091107143203776,98.47423022177767,3.3708220581040904,log-linear interpolation within identical P and height,True,True,True,True,0.22148817831564313,-0.6546494488056691,-77.8511821684357,351.49136518469106,0.016848012108598955,-1.7734513340327684,-98.3151987891401,5835.418336324771,0.20318745978745745,-0.6921030991103958,-79.68125402125425,392.1563570143756,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x10_h42,P1,10.0,42.0,0.0,-54.25000000000002,1.0000000000000142,0.0,-45.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,388.26219318141176,20.684948730651957,22.70781615686542,2.126203009944749,410.9700093382772,20.79393765570143,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,50.0,50.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.059721435435827,85.90756487870891,3.1946232306277595,0.6497331992293153,0.05245827213836206,86.5581881418096,3.195056403197741,log-linear interpolation within identical P and height,True,True,True,True,0.22126173082880987,-0.6550936946452125,-77.873826917119,351.9534382444561,0.02861275583442121,-1.5434403111551223,-97.13872441655786,3394.944722510782,0.21061923297318252,-0.6765019731660126,-78.93807670268176,374.79044809137963,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x13_h42,P1,13.0,42.0,0.0,-57.25000000000002,1.0000000000000142,0.0,-48.40500000000018,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,352.70818123641214,19.88907859775069,32.3715756021093,3.1596930511005525,385.0797568385215,20.138498147694072,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,45.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.22969535273154,77.98097383971461,3.068864431566175,0.5952292152691944,0.04988890351113621,78.57734108243399,3.0692732605247497,log-linear interpolation within identical P and height,True,True,True,True,0.22109204716021533,-0.6554268790248698,-77.89079528397846,352.3003033552562,0.018387403275805018,-1.7354795987998115,-98.16125967241949,5338.505834675663,0.2040547177227611,-0.6902533599337038,-79.5945282277239,390.06463127142683,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x30_h42,P1,30.0,42.0,0.0,-74.25000000000001,1.0000000000000142,0.0,-65.40500000000016,1.0000000000000142,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,204.67335269002297,15.924136202664153,18.82758745470974,2.3577351525968493,223.5009401447327,16.097733655728995,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,7.20253509685667,45.05535125383324,2.4442185394853397,0.36229549278781703,0.03753304754760381,45.41883283509671,2.4445112462907264,log-linear interpolation within identical P and height,True,True,True,True,0.22013296143181568,-0.6573149238429283,-77.98670385681844,354.27090677183367,0.019242799623654834,-1.715731742451379,-98.07572003763453,5096.749015516005,0.20321539947744646,-0.6920433847017453,-79.67846005225536,392.0886913941694,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,0.0,-92.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,86.23333333333332,11.186592560827348,9.697431846851996,1.7630818221113624,95.93076518018532,11.324677065303774,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,11.80505236670718,18.852180564317575,1.7027957531797662,0.1646666155539271,0.0238849107452606,19.016847179871505,1.7029632603225344,exact Notebook 3 target point,True,True,True,True,0.21861825161558845,-0.6603135832598445,-78.13817483844116,357.41835030241157,0.01698043545491702,-1.7700511766808371,-98.3019564545083,5789.130479927888,0.19823512451039502,-0.702819392083175,-80.1764875489605,404.45147017705335,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x75_h42,P1,75.0,42.0,0.0,-119.25,1.000000000000007,0.0,-110.4050000000001,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,61.64138838162845,9.201473895589984,7.311357434708696,1.5970753629273553,68.95274581633714,9.339045538281384,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,13.544124208130754,13.768281459998953,1.434848018925993,0.1303878325012306,0.0216452337493879,13.899613959898147,1.4350152524651678,log-linear interpolation within identical P and height,True,True,True,True,0.22336098880119384,-0.6509926764658169,-77.6639011198806,347.705754423422,0.017833601169907187,-1.748760950133616,-98.21663988300928,5507.392418797736,0.20158173246532088,-0.6955488266360786,-79.84182675346791,396.07669691599415,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
N5_P1_x87_h42,P1,87.0,42.0,0.0,-131.24999999999997,1.000000000000007,0.0,-122.40500000000009,1.000000000000007,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,49.2799854205426,8.077874786707422,5.7125063799634965,1.3895907013165003,54.9924918005061,8.196525079990225,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,14.904807568503,11.165851099039687,1.280073180350823,0.11159842624344968,0.02027004526286332,11.27834962089045,1.280237889013635,log-linear interpolation within identical P and height,True,True,True,True,0.22657983771206935,-0.644778738603132,-77.34201622879307,341.3455363450163,0.019535807720911954,-1.7091686278749232,-98.04641922790881,5018.805499552281,0.20508889944111705,-0.6880578454431105,-79.49111005588829,387.59343032464284,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,0.0,-149.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,29.782861896838607,6.026102075492008,4.47833819232504,1.387265781208173,34.26120008916365,6.183721579434201,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,18.04875942273262,6.968977289841893,0.9901473160782884,0.078633087786375,0.0174868950933054,7.047610377628268,0.990301721212804,exact Notebook 3 target point,True,True,True,True,0.2339928685826407,-0.6307973784120906,-76.60071314173594,327.36345173990804,0.017558541675377733,-1.7555115572588837,-98.24414583246224,5595.233798387117,0.20570237934710672,-0.6867606848179513,-79.42976206528932,386.13924796298926,Notebook 5 uses Notebook 3 component conversion fields; central ratios are descriptive and total comparison is not independent,not propagated as independent; covariance is unavailable
