position,distance_cm,common_dose_x_cm,common_dose_y_cm,median_log10_simulated_to_n5_total_ratio,median_simulated_total_ap_uSv_h,median_notebook5_total_ap_uSv_h,number_of_target_heights
P1,6.0,0.0,-50.25000000000003,-0.6921030991103958,98.47423022177767,484.6471840574503,1
P1,10.0,0.0,-54.25000000000002,-0.6765019731660126,86.5581881418096,410.9700093382772,1
P1,13.0,0.0,-57.25000000000002,-0.6902533599337038,78.57734108243399,385.0797568385215,1
P1,30.0,0.0,-74.25000000000001,-0.6920433847017453,45.41883283509671,223.5009401447327,1
P1,57.0,0.0,-101.25,-0.702819392083175,19.016847179871505,95.93076518018532,1
P1,75.0,0.0,-119.25,-0.6955488266360786,13.899613959898147,68.95274581633714,1
P1,87.0,0.0,-131.24999999999997,-0.6880578454431105,11.27834962089045,54.9924918005061,1
P1,114.0,0.0,-158.25,-0.6867606848179513,7.047610377628268,34.26120008916365,1
P1,124.0,0.0,-168.24999999999994,-0.6899873897522727,6.3242092264691125,30.97373791206257,1
P1,164.0,0.0,-208.24999999999997,-0.6840982274880258,4.100752909102364,19.81352873802224,1
P1,176.0,0.0,-220.25,-0.696538807928236,3.6009808626149784,17.904393792898993,1
P1,184.0,0.0,-228.2499999999999,-0.7510892959508579,2.9640764418613155,16.71008640695625,1
P1,199.0,0.0,-243.25,-0.8354078538351329,2.057751841654689,14.086427126993373,1
P1,203.0,0.0,-247.2499999999999,-0.8207877572159853,2.0470741858187957,13.549439776188548,1
P1,320.0,0.0,-364.25,-0.43447774091730473,1.7581083061192524,4.781050892924043,1
P1,321.0,0.0,-365.24999999999983,-0.440159559155771,1.7205677948797813,4.740578568404803,1
P1,334.0,0.0,-378.24999999999983,-0.4977504944049793,1.2996066358725908,4.088485055397373,1
P2,2.0,51.51561146012848,-42.51561146012848,-0.554459919006498,14.67152101510665,52.5938615813149,1
P2,57.0,90.40648442538858,-81.40648442538858,-0.5196425831039911,8.082186995227119,26.74062030838768,1
P2,114.0,130.7115709530218,-121.7115709530218,-0.5136372142164812,4.357414078295126,14.218901524466071,1
P2,176.0,174.55219138658774,-165.55219138658774,-0.7548207383316702,1.776487533670399,10.093808510532364,2
P2,199.0,190.81564735387835,-181.81564735387835,-0.5559095828550179,2.150143630427776,7.731470170241836,2
P2,200.0,191.5227541350648,-182.5227541350648,-0.5530185055211148,2.1898172333527794,7.823955555784951,1
P2,321.0,277.0826746586372,-268.0826746586372,-0.6700585381306418,0.7596224853986695,3.553500245890645,1
P3,5.0,58.25,0.0,-0.3172768302068868,51.22313269327098,106.35133984464828,1
P3,57.0,110.25,0.0,-0.3813371917642697,10.44116713218309,25.123852749794946,1
P3,114.0,167.25,0.0,-0.5403156247539489,3.752898543554488,13.02214265181193,1
P3,176.0,229.25,0.0,-0.5294738777894503,2.169453242844627,7.134194811352648,2
P4,0.0,50.10139789775538,41.10139789775538,-0.41532787830665985,17.70769560451982,46.07760804526938,1
P4,20.0,64.24353352148633,55.243533521486334,-0.36852849891762146,12.655716969124915,29.56754406176381,1
P4,71.0,100.30597936200024,91.30597936200024,-1.143539873310743,5.232596485513416,72.82108048269583,1
P5,0.0,0.0,44.25,-0.45390890217233587,93.50404515468324,265.9128359717041,1
P5,6.0,0.0,50.25,-0.35588811657281916,53.3995537393473,131.78206226942365,2
