file,folder,point,x_cm,y_cm,N,median_mrem_h,mean_mrem_h,std_mrem_h,min_mrem_h,max_mrem_h,sum_mrem_h,median_uSv_h,mean_uSv_h,external_flux_thermal_equiv_n_cm2_s,thermal_equiv_fraction_of_irradiation_flux
NF_P1_x_0_y_42_10_min.csv,neutron_logs_P1,P1,0.0,42.0,600,53.0,54.21,9.212347451977696,24,86,32526,530.0,542.1,49074.07407407407,2.13365539452496
NF_P1_x_4_y_42_10_min.csv,neutron_logs_P1,P1,4.0,42.0,600,49.0,47.45166666666667,8.806640984579442,21,71,28471,490.0,474.51666666666665,45370.370370370365,1.972624798711755
NF_P1_x_4_y_42_10_min_SHORT.csv,neutron_logs_P1,P1,4.0,42.0,600,49.0,46.745,9.01510372422845,22,72,28047,490.0,467.45,45370.370370370365,1.972624798711755
NF_P1_x_57_y_42_10_min.csv,neutron_logs_P1,P1,57.0,42.0,600,7.0,8.673333333333334,4.7733213331814595,0,22,5204,70.0,86.73333333333333,6481.481481481481,0.28180354267310787
NF_P1_x_114_y_42_10_min.csv,neutron_logs_P1,P1,114.0,42.0,601,3.0,3.02828618968386,1.7226525741693508,0,9,1820,30.0,30.282861896838604,2777.7777777777774,0.12077294685990336
NF_P1_x_176_y_42_10_min.csv,neutron_logs_P1,P1,176.0,42.0,601,2.0,1.795341098169717,1.297322213301226,0,7,1079,20.0,17.95341098169717,1851.8518518518515,0.08051529790660224
NF_P1_x_199_y_42_10_min.csv,neutron_logs_P1,P1,199.0,42.0,600,1.0,1.3966666666666667,1.2524389117244634,0,7,838,10.0,13.966666666666667,925.9259259259258,0.04025764895330112
NF_P1_x_320_y_42_10_min.csv,neutron_logs_P1,P1,320.0,42.0,600,0.0,0.475,0.7119596038136135,0,4,285,0.0,4.75,0.0,0.0
NF_P1_x_420_y_42_10_min.csv,neutron_logs_P1,P1,420.0,42.0,600,0.0,0.215,0.47520314608605385,0,3,129,0.0,2.15,0.0,0.0
NF_P1_x_0_y_85_10_min.csv,neutron_logs_P1,P1,0.0,85.0,601,7.0,7.91846921797005,4.519772300990493,1,23,4759,70.0,79.1846921797005,6481.481481481481,0.28180354267310787
NF_P1_x_7_y_85_10_min.csv,neutron_logs_P1,P1,7.0,85.0,601,7.0,7.6988352745424296,4.390992519672552,0,22,4627,70.0,76.9883527454243,6481.481481481481,0.28180354267310787
NF_P1_x_57_y_85_10_min.csv,neutron_logs_P1,P1,57.0,85.0,601,3.0,2.9633943427620633,1.7517584857987536,0,8,1781,30.0,29.633943427620633,2777.7777777777774,0.12077294685990336
NF_P1_x_114_y_85_10_min.csv,neutron_logs_P1,P1,114.0,85.0,600,1.0,1.5133333333333334,1.2092391496683799,0,7,908,10.0,15.133333333333335,925.9259259259258,0.04025764895330112
NF_P1_x_176_y_85_10_min.csv,neutron_logs_P1,P1,176.0,85.0,601,1.0,0.740432612312812,0.8301681431300516,0,6,445,10.0,7.40432612312812,925.9259259259258,0.04025764895330112
NF_P1_x_199_y_85_10_min.csv,neutron_logs_P1,P1,199.0,85.0,600,0.0,0.63,0.8026042752842197,0,4,378,0.0,6.3,0.0,0.0
NF_P1_x_320_y_85_10_min.csv,neutron_logs_P1,P1,320.0,85.0,601,0.0,0.24792013311148087,0.48999983021491844,0,3,149,0.0,2.4792013311148087,0.0,0.0
NF_P1_x_420_y_85_10_min.csv,neutron_logs_P1,P1,420.0,85.0,601,0.0,0.15640599001663893,0.40269474985907117,0,2,94,0.0,1.5640599001663893,0.0,0.0
NF_P1_x_420_y_85_10_min_2.csv,neutron_logs_P1,P1,420.0,85.0,601,0.0,0.1264559068219634,0.3521111355844221,0,2,76,0.0,1.264559068219634,0.0,0.0
NF_P2_x_2_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,2.0,55.0,600,4.0,4.276666666666666,2.49141207198038,0,19,2566,40.0,42.766666666666666,3703.703703703703,0.16103059581320447
NF_P2_x_57_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,57.0,55.0,601,2.0,2.574043261231281,1.712189180978165,0,8,1547,20.0,25.740432612312812,1851.8518518518515,0.08051529790660224
NF_P2_x_114_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,114.0,55.0,600,1.0,1.4066666666666667,1.1120626606255084,0,6,844,10.0,14.066666666666666,925.9259259259258,0.04025764895330112
NF_P2_x_176_y_55_10_min_LONG__mrem.csv,neutron_logs_P2,P2,176.0,55.0,601,1.0,0.9417637271214643,0.9582638210580382,0,5,566,10.0,9.417637271214643,925.9259259259258,0.04025764895330112
NF_P2_x_199_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,199.0,55.0,601,1.0,0.800332778702163,0.9018868493740032,0,4,481,10.0,8.00332778702163,925.9259259259258,0.04025764895330112
NF_P2_x_321_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,321.0,55.0,601,0.0,0.40099833610648916,0.6302901461474392,0,3,241,0.0,4.009983361064892,0.0,0.0
NF_P2_x_420_y_55_10_min_LONG_mrem.csv,neutron_logs_P2,P2,420.0,55.0,600,0.0,0.27166666666666667,0.5275677856949386,0,4,163,0.0,2.716666666666667,0.0,0.0
NF_P2_x_0_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,0.0,85.0,601,2.0,2.633943427620632,1.603884635334131,0,9,1583,20.0,26.339434276206322,1851.8518518518515,0.08051529790660224
NF_P2_x_5_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,5.0,85.0,600,2.0,2.5616666666666665,1.4988689855850654,0,8,1537,20.0,25.616666666666667,1851.8518518518515,0.08051529790660224
NF_P2_x_30_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,30.0,85.0,601,2.0,2.4143094841930117,1.5534032200494179,0,9,1451,20.0,24.143094841930118,1851.8518518518515,0.08051529790660224
NF_P2_x_57_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,57.0,85.0,601,2.0,2.0133111480865225,1.4153288845207839,0,7,1210,20.0,20.133111480865225,1851.8518518518515,0.08051529790660224
NF_P2_x_114_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,114.0,85.0,600,1.0,1.345,1.0990852168309915,0,7,807,10.0,13.45,925.9259259259258,0.04025764895330112
NF_P2_x_156_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,156.0,85.0,600,1.0,1.0633333333333332,1.0349431874379689,0,6,638,10.0,10.633333333333333,925.9259259259258,0.04025764895330112
NF_P2_x_176_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,176.0,85.0,601,1.0,0.9800332778702163,0.9126521784835324,0,5,589,10.0,9.800332778702163,925.9259259259258,0.04025764895330112
NF_P2_x_199_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,199.0,85.0,601,1.0,0.8019966722129783,0.8994791122212015,0,5,482,10.0,8.019966722129784,925.9259259259258,0.04025764895330112
NF_P2_x_300_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,300.0,85.0,601,0.0,0.5906821963394343,0.7385885416336362,0,3,355,0.0,5.906821963394343,0.0,0.0
NF_P2_x_321_y_85_10_min_LONG_mrem.csv,neutron_logs_P2,P2,321.0,85.0,600,0.0,0.43166666666666664,0.6266192158120676,0,3,259,0.0,4.316666666666666,0.0,0.0
NF_P3_x_0_y_45_10_min_2_mrem.csv,neutron_logs_P3,P3,0.0,45.0,601,16.0,13.27287853577371,5.890564194842051,1,33,7977,160.0,132.7287853577371,14814.814814814812,0.6441223832528179
NF_P3_x_0_y_45_10_min_mrem.csv,neutron_logs_P3,P3,0.0,45.0,601,16.0,12.86855241264559,5.529107167315986,3,25,7734,160.0,128.6855241264559,14814.814814814812,0.6441223832528179
NF_P3_x_5_y_45_10_min_mrem.csv,neutron_logs_P3,P3,5.0,45.0,601,8.0,10.13477537437604,5.413883879230563,1,33,6091,80.0,101.3477537437604,7407.407407407406,0.32206119162640895
NF_P3_x_57_y_45_10_min_mrem.csv,neutron_logs_P3,P3,57.0,45.0,601,2.0,2.449251247920133,1.4757496191549364,0,9,1472,20.0,24.49251247920133,1851.8518518518515,0.08051529790660224
NF_P3_x_114_y_45_10_min_mrem.csv,neutron_logs_P3,P3,114.0,45.0,601,1.0,1.319467554076539,1.0929030374933424,0,5,793,10.0,13.19467554076539,925.9259259259258,0.04025764895330112
NF_P3_x_176_y_45_10_min_mrem.csv,neutron_logs_P3,P3,176.0,45.0,600,1.0,0.7916666666666666,0.8960666537534119,0,4,475,10.0,7.916666666666666,925.9259259259258,0.04025764895330112
NF_P3_x_199_y_45_10_min_mrem.csv,neutron_logs_P3,P3,199.0,45.0,601,0.0,0.6372712146422629,0.7691175948145742,0,4,383,0.0,6.372712146422629,0.0,0.0
NF_P3_x_225_y_45_10_min_mrem.csv,neutron_logs_P3,P3,225.0,45.0,601,0.0,0.5906821963394343,0.7908938195690377,0,4,355,0.0,5.906821963394343,0.0,0.0
NF_P3_x_300_y_45_10_min_mrem.csv,neutron_logs_P3,P3,300.0,45.0,601,0.0,0.33111480865224624,0.5643700811202448,0,4,199,0.0,3.3111480865224623,0.0,0.0
NF_P3_x_0_y_85_10_min_mrem.csv,neutron_logs_P3,P3,0.0,85.0,601,4.0,3.7587354409317806,2.0928515789607522,0,16,2259,40.0,37.587354409317804,3703.703703703703,0.16103059581320447
NF_P3_x_5_y_85_10_min_mrem.csv,neutron_logs_P3,P3,5.0,85.0,601,3.0,3.5008319467554077,2.2234543635323476,0,17,2104,30.0,35.008319467554074,2777.7777777777774,0.12077294685990336
