# elapsed_s	cps
1	25
2	12
3	14
4	21
5	25
6	27
7	23
8	14
9	29
10	23
11	19
12	21
13	24
14	19
15	14
16	26
17	13
18	29
19	14
20	29
21	21
22	29
23	17
24	13
25	27
26	22
27	28
28	19
29	24
30	12
31	13
32	27
33	23
34	16
35	29
36	20
37	32
38	25
39	12
40	15
41	28
42	21
43	12
44	19
45	24
46	18
47	27
48	23
49	30
50	16
51	37
52	29
53	23
54	21
55	17
56	24
57	18
58	22
59	8
60	21
61	15
62	16
63	16
64	15
65	18
66	12
67	20
68	13
69	15
70	37
71	20
72	15
73	0
74	18
75	22
76	18
77	30
78	17
79	15
80	18
81	32
82	21
83	17
84	13
85	14
86	31
87	20
88	28
89	26
90	17
91	20
92	22
93	22
94	28
95	16
96	19
97	22
98	13
99	28
100	18
101	26
102	33
103	19
104	22
105	14
106	15
107	22
108	23
109	22
110	25
111	20
112	22
113	19
114	30
115	28
116	20
117	10
118	25
119	21
120	26
121	23
122	24
123	26
124	23
125	34
126	42
127	20
128	34
129	21
130	17
131	16
132	22
133	13
134	18
135	24
136	17
137	25
138	24
139	25
140	21
141	31
142	31
143	28
144	22
145	21
146	23
147	18
148	27
149	40
150	16
151	21
152	29
153	34
154	13
155	24
156	21
157	17
158	22
159	28
160	20
161	22
162	23
163	14
164	18
165	13
166	33
167	23
168	25
169	9
170	17
171	0
172	24
173	16
174	25
175	16
176	21
177	24
178	25
179	18
180	10
181	20
182	22
183	19
184	10
185	18
186	23
187	22
188	19
189	28
190	33
191	36
192	21
193	26
194	27
195	21
196	14
197	25
198	16
199	15
200	35
201	18
202	18
203	27
204	26
205	19
206	17
207	22
208	26
209	20
210	17
211	35
212	14
213	14
214	28
215	25
216	23
217	18
218	16
219	17
220	19
221	31
222	17
223	23
224	29
225	15
226	24
227	26
228	13
229	16
230	27
231	11
232	18
233	25
234	19
235	21
236	21
237	20
238	28
239	31
240	13
241	17
242	25
243	18
244	17
245	27
246	19
247	23
248	32
249	21
250	24
251	36
252	18
253	19
254	27
255	20
256	18
257	24
258	23
259	26
260	15
261	30
262	8
263	19
264	15
265	30
266	23
267	33
268	27
269	17
270	0
271	18
272	19
273	21
274	21
275	17
276	22
277	17
278	24
279	22
280	23
281	14
282	17
283	12
284	23
285	29
286	30
287	19
288	16
289	28
290	20
291	20
292	30
293	24
294	36
295	23
296	22
297	20
298	16
299	22
300	15
301	30
302	31
303	19
304	16
305	18
306	14
307	32
308	15
309	18
310	50
311	0
312	25
313	25
314	22
315	17
316	20
317	17
318	37
319	9
320	20
321	11
322	17
323	30
324	21
325	23
326	21
327	15
328	15
329	19
330	20
331	16
332	19
333	13
334	16
335	21
336	35
337	21
338	17
339	16
340	16
341	15
342	28
343	21
344	28
345	15
346	24
347	21
348	18
349	23
350	27
351	25
352	35
353	25
354	33
355	18
356	17
357	26
358	31
359	20
360	16
361	26
362	21
363	24
364	26
365	23
366	19
367	22
368	11
369	0
370	36
371	28
372	26
373	26
374	13
375	19
376	15
377	25
378	24
379	20
380	26
381	32
382	23
383	12
384	28
385	26
386	23
387	31
388	21
389	27
390	26
391	20
392	18
393	21
394	24
395	26
396	29
397	23
398	40
399	22
400	18
401	17
402	34
403	27
404	20
405	10
406	13
407	31
408	18
409	19
410	18
411	14
412	21
413	25
414	35
415	25
416	35
417	24
418	27
419	22
420	21
421	24
422	17
423	15
424	19
425	10
426	26
427	22
428	18
429	21
430	22
431	14
432	38
433	18
434	21
435	20
436	25
437	20
438	11
439	33
440	20
441	19
442	17
443	22
444	14
445	26
446	21
447	29
448	18
449	26
450	20
451	17
452	31
453	27
454	23
455	26
456	22
457	24
458	25
459	31
460	25
461	25
462	15
463	10
464	29
465	21
466	1
467	1
468	19
469	22
470	18
471	20
472	16
473	22
474	25
475	21
476	18
477	22
478	14
479	19
480	24
481	25
482	13
483	16
484	22
485	22
486	27
487	24
488	25
489	12
490	23
491	25
492	29
493	21
494	17
495	17
496	12
497	13
498	20
499	19
500	20
501	26
502	32
503	17
504	26
505	21
506	22
507	17
508	21
509	27
510	22
511	17
512	14
513	33
514	19
515	21
516	31
517	36
518	25
519	14
520	15
521	21
522	22
523	18
524	27
525	24
526	19
527	12
528	28
529	26
530	16
531	16
532	16
533	22
534	13
535	19
536	28
537	15
538	22
539	34
540	28
541	15
542	20
543	25
544	23
545	11
546	25
547	23
548	14
549	14
550	20
551	13
552	23
553	25
554	20
555	21
556	17
557	17
558	21
559	12
560	11
561	25
562	19
563	22
564	19
565	8
566	0
567	33
568	20
569	26
570	28
571	12
572	22
573	18
574	20
575	12
576	26
577	19
578	23
579	27
580	30
581	30
582	13
583	19
584	24
585	24
586	18
587	21
588	20
589	20
590	23
591	26
592	24
593	17
594	24
595	22
596	17
597	26
598	16
599	19
600	25
