# elapsed_s	cps
1	3
2	2
3	2
4	2
5	2
6	2
7	2
8	8
9	1
10	2
11	1
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	3
20	5
21	3
22	2
23	2
24	3
25	4
26	2
27	2
28	2
29	1
30	4
31	2
32	2
33	2
34	2
35	4
36	1
37	2
38	3
39	2
40	2
41	2
42	1
43	1
44	9
45	2
46	2
47	6
48	2
49	1
50	2
51	0
52	2
53	1
54	2
55	3
56	2
57	3
58	1
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	1
67	4
68	2
69	1
70	2
71	1
72	3
73	2
74	1
75	2
76	2
77	1
78	1
79	2
80	2
81	1
82	5
83	1
84	2
85	3
86	2
87	2
88	2
89	2
90	5
91	3
92	2
93	1
94	1
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	1
105	6
106	3
107	2
108	2
109	1
110	2
111	2
112	2
113	3
114	3
115	2
116	1
117	2
118	2
119	1
120	2
121	2
122	3
123	2
124	2
125	1
126	2
127	3
128	1
129	2
130	3
131	5
132	1
133	2
134	1
135	1
136	1
137	2
138	3
139	1
140	1
141	2
142	1
143	2
144	5
145	2
146	2
147	5
148	3
149	2
150	1
151	1
152	2
153	1
154	1
155	2
156	2
157	1
158	2
159	2
160	3
161	3
162	5
163	3
164	3
165	2
166	2
167	2
168	2
169	3
170	5
171	4
172	4
173	2
174	2
175	1
176	3
177	1
178	3
179	3
180	1
181	2
182	1
183	2
184	2
185	2
186	3
187	2
188	1
189	7
190	4
191	1
192	2
193	1
194	3
195	2
196	4
197	1
198	2
199	2
200	1
201	1
202	2
203	3
204	2
205	4
206	2
207	2
208	1
209	2
210	2
211	3
212	1
213	3
214	4
215	2
216	2
217	2
218	1
219	3
220	1
221	6
222	2
223	2
224	2
225	5
226	1
227	1
228	4
229	2
230	2
231	2
232	1
233	3
234	1
235	2
236	3
237	1
238	2
239	1
240	2
241	2
242	1
243	1
244	2
245	5
246	4
247	3
248	2
249	0
250	3
251	2
252	2
253	2
254	2
255	1
256	1
257	2
258	2
259	2
260	2
261	2
262	4
263	8
264	1
265	1
266	2
267	2
268	2
269	2
270	3
271	3
272	1
273	2
274	2
275	2
276	2
277	1
278	2
279	1
280	3
281	7
282	3
283	2
284	2
285	2
286	2
287	3
288	2
289	3
290	2
291	1
292	7
293	2
294	2
295	2
296	2
297	2
298	4
299	5
300	2
301	1
302	2
303	2
304	2
305	6
306	2
307	2
308	2
309	2
310	2
311	3
312	4
313	1
314	2
315	3
316	2
317	2
318	5
319	2
320	5
321	1
322	3
323	2
324	1
325	2
326	1
327	5
328	3
329	2
330	2
331	2
332	2
333	2
334	2
335	2
336	1
337	5
338	2
339	2
340	2
341	1
342	2
343	2
344	2
345	2
346	1
347	2
348	0
349	4
350	3
351	3
352	1
353	2
354	2
355	2
356	7
357	2
358	1
359	2
360	3
361	2
362	2
363	2
364	2
365	1
366	4
367	2
368	2
369	2
370	8
371	2
372	2
373	3
374	3
375	2
376	2
377	2
378	3
379	2
380	2
381	1
382	2
383	3
384	1
385	1
386	2
387	5
388	3
389	2
390	2
391	4
392	5
393	3
394	2
395	2
396	1
397	4
398	3
399	1
400	1
401	3
402	4
403	2
404	2
405	2
406	4
407	2
408	2
409	1
410	2
411	2
412	3
413	1
414	5
415	4
416	2
417	3
418	2
419	2
420	3
421	2
422	1
423	2
424	2
425	2
426	2
427	2
428	2
429	2
430	1
431	4
432	2
433	3
434	6
435	1
436	3
437	2
438	1
439	2
440	1
441	3
442	2
443	3
444	1
445	0
446	3
447	4
448	4
449	2
450	4
451	4
452	2
453	1
454	1
455	1
456	6
457	2
458	2
459	1
460	2
461	3
462	3
463	1
464	1
465	2
466	1
467	2
468	2
469	2
470	7
471	4
472	2
473	2
474	2
475	2
476	3
477	2
478	2
479	3
480	1
481	1
482	2
483	2
484	2
485	2
486	1
487	3
488	1
489	2
490	3
491	4
492	2
493	2
494	5
495	2
496	2
497	2
498	5
499	1
500	2
501	3
502	1
503	3
504	2
505	2
506	1
507	2
508	2
509	1
510	2
511	3
512	7
513	4
514	3
515	4
516	3
517	2
518	2
519	2
520	1
521	2
522	2
523	2
524	2
525	3
526	5
527	8
528	1
529	1
530	8
531	2
532	2
533	3
534	2
535	1
536	2
537	2
538	4
539	2
540	4
541	2
542	1
543	0
544	2
545	1
546	2
547	2
548	2
549	4
550	2
551	2
552	4
553	2
554	1
555	2
556	2
557	1
558	2
559	1
560	3
561	2
562	2
563	2
564	5
565	2
566	3
567	1
568	2
569	1
570	2
571	2
572	3
573	3
574	2
575	1
576	2
577	1
578	2
579	3
580	3
581	5
582	5
583	2
584	2
585	2
586	4
587	5
588	2
589	3
590	2
591	2
592	3
593	2
594	3
595	2
596	2
597	2
598	2
599	2
600	4
