# elapsed_s	cps
1	2
2	1
3	2
4	2
5	2
6	4
7	2
8	2
9	2
10	2
11	0
12	2
13	2
14	1
15	2
16	2
17	4
18	2
19	2
20	2
21	2
22	1
23	2
24	2
25	2
26	2
27	2
28	2
29	1
30	1
31	2
32	1
33	2
34	2
35	2
36	2
37	2
38	2
39	1
40	2
41	2
42	2
43	1
44	2
45	1
46	2
47	2
48	1
49	2
50	2
51	2
52	1
53	1
54	2
55	2
56	2
57	3
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	1
69	2
70	1
71	2
72	1
73	2
74	2
75	4
76	2
77	2
78	1
79	2
80	2
81	2
82	1
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	6
91	2
92	2
93	2
94	2
95	2
96	2
97	1
98	2
99	2
100	2
101	2
102	1
103	2
104	2
105	1
106	2
107	1
108	2
109	0
110	2
111	2
112	2
113	2
114	3
115	1
116	2
117	3
118	1
119	2
120	2
121	2
122	2
123	2
124	2
125	2
126	2
127	2
128	2
129	4
130	2
131	2
132	2
133	2
134	2
135	1
136	2
137	2
138	2
139	2
140	2
141	2
142	2
143	2
144	2
145	1
146	1
147	2
148	4
149	3
150	2
151	1
152	5
153	2
154	2
155	4
156	2
157	2
158	1
159	2
160	2
161	2
162	2
163	2
164	2
165	2
166	4
167	3
168	2
169	2
170	2
171	1
172	2
173	2
174	2
175	3
176	3
177	2
178	2
179	2
180	2
181	1
182	2
183	2
184	1
185	2
186	2
187	2
188	2
189	2
190	2
191	2
192	2
193	2
194	2
195	1
196	3
197	2
198	2
199	2
200	2
201	2
202	2
203	3
204	1
205	2
206	1
207	1
208	2
209	2
210	2
211	2
212	1
213	1
214	2
215	4
216	2
217	2
218	2
219	2
220	2
221	2
222	2
223	2
224	2
225	1
226	2
227	2
228	2
229	2
230	2
231	1
232	2
233	2
234	2
235	2
236	1
237	2
238	1
239	1
240	1
241	2
242	2
243	2
244	2
245	2
246	1
247	2
248	3
249	2
250	2
251	2
252	2
253	2
254	1
255	1
256	2
257	2
258	2
259	1
260	2
261	2
262	2
263	2
264	2
265	2
266	2
267	1
268	2
269	2
270	2
271	2
272	1
273	2
274	2
275	1
276	1
277	2
278	2
279	2
280	2
281	2
282	2
283	2
284	1
285	2
286	2
287	2
288	2
289	2
290	2
291	2
292	2
293	2
294	2
295	1
296	2
297	1
298	2
299	2
300	2
301	2
302	2
303	2
304	2
305	2
306	2
307	0
308	2
309	2
310	2
311	2
312	2
313	2
314	2
315	1
316	1
317	2
318	2
319	2
320	2
321	1
322	2
323	2
324	3
325	2
326	2
327	2
328	2
329	2
330	2
331	2
332	2
333	2
334	1
335	1
336	2
337	2
338	2
339	2
340	1
341	2
342	2
343	2
344	2
345	2
346	1
347	2
348	2
349	2
350	2
351	2
352	2
353	3
354	2
355	2
356	2
357	1
358	2
359	2
360	2
361	2
362	2
363	1
364	2
365	2
366	2
367	2
368	2
369	2
370	2
371	2
372	2
373	2
374	2
375	1
376	2
377	2
378	2
379	1
380	2
381	2
382	2
383	2
384	1
385	2
386	2
387	2
388	2
389	1
390	2
391	2
392	2
393	2
394	2
395	2
396	2
397	2
398	1
399	2
400	2
401	2
402	3
403	2
404	1
405	2
406	2
407	2
408	2
409	2
410	1
411	2
412	3
413	1
414	4
415	2
416	2
417	2
418	2
419	2
420	2
421	2
422	2
423	2
424	2
425	1
426	1
427	2
428	2
429	2
430	2
431	2
432	4
433	2
434	2
435	2
436	2
437	2
438	2
439	1
440	6
441	1
442	2
443	3
444	2
445	1
446	1
447	1
448	2
449	2
450	2
451	2
452	2
453	2
454	2
455	1
456	1
457	2
458	2
459	2
460	2
461	2
462	2
463	2
464	5
465	2
466	2
467	2
468	2
469	2
470	1
471	2
472	2
473	2
474	2
475	2
476	2
477	2
478	1
479	2
480	2
481	1
482	2
483	2
484	2
485	1
486	2
487	2
488	2
489	2
490	2
491	2
492	1
493	2
494	2
495	2
496	2
497	2
498	2
499	2
500	2
501	2
502	1
503	2
504	2
505	2
506	1
507	2
508	2
509	2
510	2
511	2
512	2
513	3
514	2
515	2
516	2
517	2
518	3
519	2
520	0
521	4
522	0
523	2
524	1
525	1
526	2
527	2
528	2
529	1
530	2
531	4
532	2
533	2
534	2
535	2
536	2
537	2
538	1
539	1
540	2
541	1
542	2
543	2
544	3
545	2
546	2
547	2
548	2
549	2
550	2
551	3
552	2
553	3
554	2
555	2
556	2
557	3
558	2
559	2
560	2
561	2
562	2
563	2
564	2
565	2
566	2
567	2
568	2
569	2
570	2
571	2
572	2
573	2
574	1
575	2
576	2
577	2
578	2
579	1
580	2
581	2
582	2
583	2
584	2
585	2
586	2
587	2
588	1
589	1
590	1
591	2
592	2
593	1
594	2
595	1
596	2
597	2
598	2
599	2
600	2
