# elapsed_s	cps
1	2
2	2
3	1
4	2
5	2
6	2
7	1
8	2
9	2
10	1
11	2
12	2
13	2
14	2
15	2
16	2
17	4
18	2
19	2
20	1
21	2
22	2
23	1
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	1
32	1
33	1
34	2
35	1
36	2
37	2
38	2
39	1
40	2
41	2
42	2
43	2
44	0
45	2
46	2
47	2
48	2
49	3
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	1
60	2
61	2
62	1
63	1
64	2
65	2
66	2
67	3
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	3
81	2
82	2
83	2
84	1
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	1
97	2
98	2
99	2
100	1
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	1
109	1
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	4
119	2
120	2
121	2
122	2
123	2
124	2
125	2
126	2
127	2
128	1
129	2
130	2
131	2
132	2
133	2
134	1
135	2
136	2
137	2
138	2
139	2
140	2
141	1
142	0
143	1
144	1
145	2
146	2
147	2
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	2
163	2
164	2
165	2
166	2
167	2
168	3
169	1
170	2
171	2
172	2
173	2
174	2
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	1
184	2
185	2
186	2
187	1
188	4
189	2
190	2
191	1
192	2
193	2
194	2
195	2
196	2
197	2
198	2
199	1
200	1
201	1
202	2
203	2
204	2
205	2
206	2
207	2
208	3
209	2
210	2
211	2
212	2
213	2
214	1
215	2
216	2
217	3
218	2
219	2
220	2
221	2
222	2
223	1
224	2
225	2
226	2
227	2
228	2
229	2
230	2
231	2
232	2
233	2
234	2
235	2
236	3
237	2
238	3
239	1
240	0
241	2
242	2
243	2
244	2
245	2
246	1
247	2
248	3
249	2
250	2
251	2
252	2
253	2
254	2
255	2
256	2
257	1
258	2
259	2
260	2
261	2
262	2
263	2
264	2
265	2
266	2
267	2
268	2
269	2
270	2
271	2
272	2
273	2
274	1
275	3
276	2
277	2
278	2
279	2
280	1
281	2
282	2
283	2
284	2
285	2
286	2
287	1
288	1
289	2
290	2
291	2
292	2
293	2
294	5
295	2
296	2
297	2
298	2
299	2
300	1
301	2
302	2
303	2
304	2
305	2
306	2
307	2
308	2
309	2
310	2
311	2
312	2
313	2
314	2
315	1
316	2
317	2
318	2
319	1
320	2
321	2
322	2
323	2
324	2
325	2
326	2
327	2
328	2
329	2
330	2
331	2
332	2
333	2
334	2
335	1
336	2
337	2
338	0
339	1
340	2
341	2
342	2
343	1
344	2
345	2
346	1
347	1
348	1
349	1
350	2
351	2
352	2
353	2
354	4
355	2
356	2
357	2
358	2
359	2
360	2
361	2
362	2
363	2
364	2
365	2
366	2
367	1
368	2
369	2
370	2
371	2
372	2
373	1
374	2
375	2
376	1
377	2
378	1
379	2
380	2
381	2
382	2
383	2
384	2
385	1
386	1
387	2
388	2
389	2
390	2
391	2
392	2
393	2
394	2
395	2
396	2
397	2
398	2
399	2
400	1
401	2
402	1
403	2
404	2
405	2
406	2
407	2
408	2
409	2
410	2
411	2
412	2
413	2
414	2
415	2
416	2
417	2
418	1
419	2
420	2
421	2
422	2
423	1
424	2
425	2
426	2
427	4
428	2
429	2
430	1
431	2
432	2
433	2
434	1
435	2
436	2
437	2
438	0
439	2
440	2
441	2
442	2
443	2
444	2
445	2
446	1
447	2
448	1
449	2
450	5
451	2
452	2
453	1
454	2
455	2
456	2
457	1
458	2
459	2
460	2
461	1
462	2
463	1
464	1
465	1
466	1
467	2
468	2
469	2
470	2
471	2
472	2
473	2
474	2
475	2
476	2
477	2
478	2
479	2
480	2
481	1
482	3
483	2
484	2
485	3
486	1
487	2
488	2
489	1
490	2
491	1
492	2
493	2
494	2
495	1
496	2
497	2
498	2
499	1
500	1
501	2
502	2
503	2
504	1
505	2
506	2
507	2
508	1
509	2
510	2
511	2
512	2
513	2
514	3
515	2
516	1
517	2
518	1
519	3
520	2
521	1
522	1
523	1
524	1
525	2
526	2
527	1
528	1
529	2
530	1
531	3
532	2
533	1
534	1
535	2
536	2
537	0
538	2
539	2
540	2
541	1
542	2
543	2
544	2
545	3
546	2
547	1
548	1
549	1
550	2
551	2
552	2
553	1
554	2
555	2
556	2
557	2
558	1
559	1
560	1
561	2
562	2
563	1
564	2
565	2
566	4
567	1
568	2
569	1
570	2
571	2
572	1
573	1
574	2
575	2
576	2
577	2
578	2
579	2
580	2
581	2
582	2
583	2
584	1
585	2
586	2
587	2
588	2
589	2
590	1
591	2
592	2
593	2
594	2
595	2
596	2
597	2
598	1
599	2
600	2
