timestamp,raw,mrem/h,tail,dt_s
2026-02-27 15:17:24.723,J38J40,8,40,1.000
2026-02-27 15:17:25.724,J320J40,32,40,1.001
2026-02-27 15:17:26.723,J37J40,7,40,0.999
2026-02-27 15:17:27.724,J310J40,16,40,1.001
2026-02-27 15:17:28.725,J312J40,18,40,1.000
2026-02-27 15:17:29.724,J36J40,6,40,0.999
2026-02-27 15:17:30.725,J317J40,23,40,1.001
2026-02-27 15:17:31.725,J39J40,9,40,0.999
2026-02-27 15:17:32.726,J310J40,16,40,1.001
2026-02-27 15:17:33.726,J317J40,23,40,1.000
2026-02-27 15:17:34.725,J36J40,6,40,0.999
2026-02-27 15:17:35.726,J31J40,1,40,1.000
2026-02-27 15:17:36.726,J35J40,5,40,1.000
2026-02-27 15:17:37.727,J317J40,23,40,1.001
2026-02-27 15:17:38.726,J37J40,7,40,0.999
2026-02-27 15:17:39.728,J318J40,24,40,1.001
2026-02-27 15:17:40.728,J310J40,16,40,1.000
2026-02-27 15:17:41.727,J38J40,8,40,0.999
2026-02-27 15:17:42.728,J310J40,16,40,1.001
2026-02-27 15:17:43.728,J36J40,6,40,0.999
2026-02-27 15:17:44.729,J319J40,25,40,1.001
2026-02-27 15:17:45.729,J314J40,20,40,1.000
2026-02-27 15:17:46.729,J314J40,20,40,1.000
2026-02-27 15:17:47.730,J313J40,19,40,1.000
2026-02-27 15:17:48.730,J315J40,21,40,1.000
2026-02-27 15:17:49.729,J39J40,9,40,0.999
2026-02-27 15:17:50.730,J311J40,17,40,1.001
2026-02-27 15:17:51.730,J37J40,7,40,0.999
2026-02-27 15:17:52.732,J311J40,17,40,1.002
2026-02-27 15:17:53.730,J33J40,3,40,0.998
2026-02-27 15:17:54.731,J321J40,33,40,1.001
2026-02-27 15:17:55.731,J37J40,7,40,0.999
2026-02-27 15:17:56.732,J310J40,16,40,1.001
2026-02-27 15:17:57.732,J310J40,16,40,1.000
2026-02-27 15:17:58.733,J311J40,17,40,1.001
2026-02-27 15:17:59.733,J310J40,16,40,1.000
2026-02-27 15:18:00.732,J38J40,8,40,0.999
2026-02-27 15:18:01.734,J39J40,9,40,1.002
2026-02-27 15:18:02.734,J310J40,16,40,1.000
2026-02-27 15:18:03.734,J313J40,19,40,1.000
2026-02-27 15:18:04.733,J39J40,9,40,0.999
2026-02-27 15:18:05.733,J39J40,9,40,1.000
2026-02-27 15:18:06.734,J36J40,6,40,1.001
2026-02-27 15:18:07.734,J39J40,9,40,1.000
2026-02-27 15:18:08.735,J310J40,16,40,1.001
2026-02-27 15:18:09.734,J38J40,8,40,0.999
2026-02-27 15:18:10.734,J37J40,7,40,1.000
2026-02-27 15:18:11.735,J39J40,9,40,1.000
2026-02-27 15:18:12.737,J315J40,21,40,1.002
2026-02-27 15:18:13.735,J39J40,9,40,0.998
2026-02-27 15:18:14.736,J311J40,17,40,1.001
2026-02-27 15:18:15.736,J34J40,4,40,0.999
2026-02-27 15:18:16.736,J39J40,9,40,1.000
2026-02-27 15:18:17.737,J310J40,16,40,1.001
2026-02-27 15:18:18.737,J311J40,17,40,1.000
2026-02-27 15:18:19.738,J313J40,19,40,1.000
2026-02-27 15:18:20.738,J313J40,19,40,1.000
2026-02-27 15:18:21.738,J318J40,24,40,1.000
2026-02-27 15:18:22.738,J312J40,18,40,1.000
2026-02-27 15:18:23.738,J39J40,9,40,0.999
