timestamp,raw,mrem/h,tail,dt_s
2026-02-26 15:20:38.603,J32J40,2,40,1.000
2026-02-26 15:20:39.604,J31J40,1,40,1.000
2026-02-26 15:20:40.604,J33J40,3,40,1.000
2026-02-26 15:20:41.604,J30J40,0,40,1.000
2026-02-26 15:20:42.604,J31J40,1,40,1.000
2026-02-26 15:20:43.605,J30J40,0,40,1.001
2026-02-26 15:20:44.605,J31J40,1,40,1.000
2026-02-26 15:20:45.605,J31J40,1,40,1.000
2026-02-26 15:20:46.605,J30J40,0,40,1.000
2026-02-26 15:20:47.606,J30J40,0,40,1.000
2026-02-26 15:20:48.606,J31J40,1,40,1.000
2026-02-26 15:20:49.606,J30J40,0,40,1.000
2026-02-26 15:20:50.606,J30J40,0,40,1.000
2026-02-26 15:20:51.608,J30J40,0,40,1.002
2026-02-26 15:20:52.607,J30J40,0,40,0.999
2026-02-26 15:20:53.607,J30J40,0,40,1.000
2026-02-26 15:20:54.608,J32J40,2,40,1.001
2026-02-26 15:20:55.608,J30J40,0,40,1.000
2026-02-26 15:20:56.609,J30J40,0,40,1.001
2026-02-26 15:20:57.609,J31J40,1,40,1.000
2026-02-26 15:20:58.609,J32J40,2,40,1.000
2026-02-26 15:20:59.609,J30J40,0,40,1.001
2026-02-26 15:21:00.610,J32J40,2,40,1.000
2026-02-26 15:21:01.609,J31J40,1,40,1.000
2026-02-26 15:21:02.610,J31J40,1,40,1.000
2026-02-26 15:21:03.610,J31J40,1,40,1.000
2026-02-26 15:21:04.610,J32J40,2,40,1.000
2026-02-26 15:21:05.611,J31J40,1,40,1.000
2026-02-26 15:21:06.611,J30J40,0,40,1.000
2026-02-26 15:21:07.611,J30J40,0,40,1.000
2026-02-26 15:21:08.611,J32J40,2,40,1.000
2026-02-26 15:21:09.612,J31J40,1,40,1.000
2026-02-26 15:21:10.612,J30J40,0,40,1.000
2026-02-26 15:21:11.612,J33J40,3,40,1.000
2026-02-26 15:21:12.612,J30J40,0,40,1.001
2026-02-26 15:21:13.613,J31J40,1,40,1.000
2026-02-26 15:21:14.613,J30J40,0,40,1.000
2026-02-26 15:21:15.613,J30J40,0,40,1.001
2026-02-26 15:21:16.613,J31J40,1,40,1.000
2026-02-26 15:21:17.616,J30J40,0,40,1.003
2026-02-26 15:21:18.616,J32J40,2,40,1.000
2026-02-26 15:21:19.616,J32J40,2,40,1.000
2026-02-26 15:21:20.616,J30J40,0,40,1.000
2026-02-26 15:21:21.617,J31J40,1,40,1.001
2026-02-26 15:21:22.617,J30J40,0,40,1.000
2026-02-26 15:21:23.617,J31J40,1,40,1.001
2026-02-26 15:21:24.617,J30J40,0,40,1.000
2026-02-26 15:21:25.618,J33J40,3,40,1.000
2026-02-26 15:21:26.618,J33J40,3,40,1.000
2026-02-26 15:21:27.618,J33J40,3,40,1.000
2026-02-26 15:21:28.618,J30J40,0,40,1.000
2026-02-26 15:21:29.619,J30J40,0,40,1.000
2026-02-26 15:21:30.619,J30J40,0,40,1.001
2026-02-26 15:21:31.620,J30J40,0,40,1.001
2026-02-26 15:21:32.619,J30J40,0,40,0.999
2026-02-26 15:21:33.620,J31J40,1,40,1.000
2026-02-26 15:21:34.621,J30J40,0,40,1.001
2026-02-26 15:21:35.621,J32J40,2,40,1.000
2026-02-26 15:21:36.620,J31J40,1,40,1.000
2026-02-26 15:21:37.621,J33J40,3,40,1.000
2026-02-26 15:21:38.621,J30J40,0,40,1.001
2026-02-26 15:21:39.621,J30J40,0,40,1.000
2026-02-26 15:21:40.621,J30J40,0,40,1.000
2026-02-26 15:21:41.622,J30J40,0,40,1.000
2026-02-26 15:21:42.622,J32J40,2,40,1.001
2026-02-26 15:21:43.623,J30J40,0,40,1.001
