timestamp,raw,mrem/h,tail,dt_s
2026-03-04 14:17:56.755,J32J40,2,40,1.000
2026-03-04 14:17:57.755,J38J40,8,40,1.000
2026-03-04 14:17:58.756,J33J40,3,40,1.001
2026-03-04 14:17:59.756,J32J40,2,40,0.999
2026-03-04 14:18:00.756,J34J40,4,40,1.001
2026-03-04 14:18:01.756,J33J40,3,40,1.000
2026-03-04 14:18:02.757,J35J40,5,40,1.000
2026-03-04 14:18:03.758,J32J40,2,40,1.001
2026-03-04 14:18:04.757,J36J40,6,40,0.999
2026-03-04 14:18:05.757,J31J40,1,40,1.000
2026-03-04 14:18:06.758,J36J40,6,40,1.000
2026-03-04 14:18:07.758,J34J40,4,40,1.001
2026-03-04 14:18:08.758,J36J40,6,40,1.000
2026-03-04 14:18:09.759,J37J40,7,40,1.001
2026-03-04 14:18:10.761,J37J40,7,40,1.002
2026-03-04 14:18:11.762,J310J40,16,40,1.001
2026-03-04 14:18:12.761,J37J40,7,40,0.999
2026-03-04 14:18:13.762,J31J40,1,40,1.000
2026-03-04 14:18:14.762,J31J40,1,40,1.000
2026-03-04 14:18:15.762,J37J40,7,40,1.000
2026-03-04 14:18:16.762,J37J40,7,40,1.000
2026-03-04 14:18:17.762,J33J40,3,40,1.000
2026-03-04 14:18:18.763,J34J40,4,40,1.000
2026-03-04 14:18:19.763,J34J40,4,40,1.000
2026-03-04 14:18:20.763,J35J40,5,40,1.000
2026-03-04 14:18:21.763,J35J40,5,40,1.000
2026-03-04 14:18:22.764,J36J40,6,40,1.000
2026-03-04 14:18:23.764,J37J40,7,40,1.000
2026-03-04 14:18:24.764,J32J40,2,40,1.000
2026-03-04 14:18:25.764,J36J40,6,40,1.000
2026-03-04 14:18:26.765,J38J40,8,40,1.000
2026-03-04 14:18:27.766,J39J40,9,40,1.001
2026-03-04 14:18:28.765,J31J40,1,40,0.999
2026-03-04 14:18:29.765,J36J40,6,40,1.000
2026-03-04 14:18:30.766,J34J40,4,40,1.000
2026-03-04 14:18:31.766,J34J40,4,40,1.000
2026-03-04 14:18:32.768,J310J40,16,40,1.002
2026-03-04 14:18:33.767,J33J40,3,40,0.999
2026-03-04 14:18:34.767,J34J40,4,40,1.000
2026-03-04 14:18:35.767,J30J40,0,40,1.000
2026-03-04 14:18:36.768,J35J40,5,40,1.001
2026-03-04 14:18:37.768,J32J40,2,40,1.000
2026-03-04 14:18:38.768,J33J40,3,40,1.000
2026-03-04 14:18:39.768,J37J40,7,40,1.001
2026-03-04 14:18:40.768,J34J40,4,40,1.000
2026-03-04 14:18:41.769,J32J40,2,40,1.000
2026-03-04 14:18:42.769,J34J40,4,40,1.000
2026-03-04 14:18:43.769,J34J40,4,40,1.000
2026-03-04 14:18:44.770,J32J40,2,40,1.001
2026-03-04 14:18:45.771,J31J40,1,40,1.000
2026-03-04 14:18:46.770,J38J40,8,40,0.999
2026-03-04 14:18:47.770,J35J40,5,40,1.000
2026-03-04 14:18:48.771,J35J40,5,40,1.001
2026-03-04 14:18:49.771,J35J40,5,40,1.000
2026-03-04 14:18:50.771,J31J40,1,40,1.000
2026-03-04 14:18:51.772,J34J40,4,40,1.001
2026-03-04 14:18:52.771,J32J40,2,40,1.000
2026-03-04 14:18:53.772,J39J40,9,40,1.000
2026-03-04 14:18:54.773,J38J40,8,40,1.002
2026-03-04 14:18:55.773,J35J40,5,40,1.000
2026-03-04 14:18:56.772,J36J40,6,40,0.999
2026-03-04 14:18:57.774,J31J40,1,40,1.002
2026-03-04 14:18:58.774,J32J40,2,40,1.000
2026-03-04 14:18:59.773,J34J40,4,40,0.999
2026-03-04 14:19:00.774,J37J40,7,40,1.000
2026-03-04 14:19:01.774,J31J40,1,40,1.000
2026-03-04 14:19:02.776,J32J40,2,40,1.002
2026-03-04 14:19:03.776,J32J40,2,40,1.000
2026-03-04 14:19:04.776,J34J40,4,40,1.000
2026-03-04 14:19:05.777,J39J40,9,40,1.000
2026-03-04 14:19:06.777,J33J40,3,40,1.001
2026-03-04 14:19:07.777,J32J40,2,40,1.000
2026-03-04 14:19:08.777,J39J40,9,40,1.001
2026-03-04 14:19:09.779,J34J40,4,40,1.001
2026-03-04 14:19:10.778,J37J40,7,40,0.999
2026-03-04 14:19:11.779,J35J40,5,40,1.001
2026-03-04 14:19:12.779,J34J40,4,40,1.000
2026-03-04 14:19:13.779,J32J40,2,40,0.999
2026-03-04 14:19:14.779,J36J40,6,40,1.001
2026-03-04 14:19:15.779,J34J40,4,40,1.000
2026-03-04 14:19:16.780,J34J40,4,40,1.001
2026-03-04 14:19:17.780,J33J40,3,40,1.000
2026-03-04 14:19:18.780,J35J40,5,40,1.000
2026-03-04 14:19:19.780,J34J40,4,40,1.000
2026-03-04 14:19:20.781,J38J40,8,40,1.001
2026-03-04 14:19:21.781,J33J40,3,40,0.999
2026-03-04 14:19:22.781,J31J40,1,40,1.001
2026-03-04 14:19:23.781,J35J40,5,40,1.000
2026-03-04 14:19:24.782,J37J40,7,40,1.000
2026-03-04 14:19:25.782,J35J40,5,40,1.000
2026-03-04 14:19:26.782,J35J40,5,40,1.000
2026-03-04 14:19:27.782,J32J40,2,40,1.000
2026-03-04 14:19:28.782,J33J40,3,40,1.000
2026-03-04 14:19:29.783,J36J40,6,40,1.000
2026-03-04 14:19:30.783,J33J40,3,40,1.000
2026-03-04 14:19:31.783,J37J40,7,40,1.000
2026-03-04 14:19:32.783,J37J40,7,40,1.000
2026-03-04 14:19:33.785,J310J40,16,40,1.001
2026-03-04 14:19:34.784,J35J40,5,40,0.999
2026-03-04 14:19:35.784,J33J40,3,40,1.000
2026-03-04 14:19:36.785,J38J40,8,40,1.001
2026-03-04 14:19:37.785,J32J40,2,40,1.000
